datetime,date,open,high,low,close,quantity,turnover
2026-09-02,2026-09-02,9.253,9.291,9.14,9.284,561123,5159523.502
2026-09-01,2026-09-01,9.516,9.516,9.2,9.317,831659,7725454.815
2026-08-31,2026-08-31,9.5,9.509,9.402,9.402,194394,1837530.17
2026-08-28,2026-08-28,9.531,9.662,9.482,9.65,326692,3125020.131
2026-08-27,2026-08-27,9.445,9.536,9.413,9.484,982219,9313324.049
2026-08-26,2026-08-26,9.267,9.302,9.205,9.276,800125,7382845.933
2026-08-25,2026-08-25,9.295,9.373,9.226,9.276,784653,7313599.991
2026-08-24,2026-08-24,9.205,9.279,9.089,9.192,336979,3102600.676
2026-08-21,2026-08-21,9.341,9.429,9.246,9.359,822156,7703318.32
2026-08-20,2026-08-20,9.505,9.522,9.27,9.282,416836,3915221.424
2026-08-19,2026-08-19,9.499,9.605,9.36,9.481,468371,4438495.421
2026-08-18,2026-08-18,9.748,9.748,9.513,9.546,194923,1871988.255
2026-08-17,2026-08-17,10.014,10.018,9.924,9.975,148107,1476026.804
2026-08-14,2026-08-14,9.976,10.012,9.85,9.85,506478,5051874.668
2026-08-13,2026-08-13,9.782,10.018,9.753,9.964,782069,7650846.591
2026-08-12,2026-08-12,9.695,9.814,9.683,9.746,193006,1885945.329
2026-08-11,2026-08-11,9.698,9.773,9.616,9.645,599344,5797912.66
2026-08-10,2026-08-10,9.785,9.824,9.678,9.692,156817,1527319.446
2026-08-07,2026-08-07,9.571,9.726,9.561,9.726,169084,1631086.294
2026-08-06,2026-08-06,9.535,9.655,9.374,9.589,142002,1350841.818
2026-08-05,2026-08-05,9.829,9.881,9.702,9.727,179565,1756733.559
2026-08-04,2026-08-04,9.297,9.65,9.248,9.639,180153,1692244.738
2026-08-03,2026-08-03,8.976,9.106,8.809,9.099,240844,2156957.113
2026-07-31,2026-07-31,8.908,9.071,8.702,8.737,411992,3665394.891
2026-07-30,2026-07-30,8.353,8.753,8.273,8.653,413110.0,3506371.103
2026-07-29,2026-07-29,8.653,8.741,8.403,8.457,206731,1771499.431
2026-07-28,2026-07-28,8.692,8.733,8.479,8.705,531994,4599661.375
2026-07-27,2026-07-27,9.138,9.177,8.694,8.726,170426,1531993.268
2026-07-24,2026-07-24,9.073,9.149,8.887,9.041,115410.0,1042339.42
2026-07-23,2026-07-23,9.363,9.384,9.01,9.051,78696,726906.795
2026-07-22,2026-07-22,9.387,9.538,9.336,9.524,86335,813084.462
2026-07-21,2026-07-21,9.41,9.531,9.387,9.52,110539,1042412.067
2026-07-20,2026-07-20,9.196,9.426,9.187,9.342,228069,2127980.1
2026-07-17,2026-07-17,9.123,9.227,8.981,9.138,282889,2577031.844
2026-07-16,2026-07-16,9.708,9.708,9.464,9.578,167025,1599585.164
2026-07-15,2026-07-15,9.999,10,9.662,9.694,79019,775620.139
2026-07-14,2026-07-14,9.732,9.866,9.677,9.854,141829,1387631.138
2026-07-13,2026-07-13,9.756,9.829,9.667,9.788,321509,3142203.179
2026-07-10,2026-07-10,9.843,9.956,9.797,9.936,124684,1229848.434
2026-07-09,2026-07-09,9.738,9.899,9.71,9.871,116665,1140993.974
2026-07-08,2026-07-08,9.517,9.573,9.273,9.414,189200.0,1784933.4
2026-07-07,2026-07-07,9.768,9.79,9.461,9.508,146200.0,1413583.2
2026-07-06,2026-07-06,9.865,10.01,9.855,9.997,45000.0,446578.8
2026-07-03,2026-07-03,9.84,9.895,9.839,9.882,109800.0,1081310.8
2026-07-02,2026-07-02,9.939,10.1325,9.702,9.806,204400.0,2039582.2
2026-07-01,2026-07-01,10.2325,10.27,10.0675,10.2025,152800.0,1555434.5
2026-06-30,2026-06-30,10.0575,10.2375,10.015,10.2275,79800.0,811806.5
2026-06-29,2026-06-29,9.704,9.849,9.5,9.794,96200.0,935324.2
2026-06-26,2026-06-26,9.645,9.705,9.438,9.705,232800.0,2238596.2
2026-06-25,2026-06-25,10.0825,10.145,9.567,9.753,266200.0,2628082.5
2026-06-24,2026-06-24,9.877,9.933,9.725,9.882,114400.0,1125338
2026-06-23,2026-06-23,9.968,10.01,9.731,9.847,247800.0,2446274.8
2026-06-22,2026-06-22,10.445,10.6,10.2825,10.355,178400.0,1860553
2026-06-19,2026-06-19,10.32,10.3875,10.2875,10.3775,65200.0,673646.5
2026-06-18,2026-06-18,10.17,10.3425,10.16,10.305,184000.0,1887741
2026-06-17,2026-06-17,10.175,10.1875,10.06,10.105,115000.0,1165799.5
2026-06-16,2026-06-16,10.375,10.455,10.18,10.1925,138400.0,1436677.5
2026-06-15,2026-06-15,10.185,10.385,10.1825,10.37,167800.0,1720850.0
2026-06-12,2026-06-12,9.609,9.881,9.595,9.86,223800.0,2169588.8
2026-06-11,2026-06-11,9.297,9.459,9.185,9.332,145400.0,1352736.2
2026-06-10,2026-06-10,9.389,9.537,9.178,9.26,273400.0,2553821.2
2026-06-09,2026-06-09,9.876,9.933,9.319,9.319,230000.0,2231235.8
2026-06-08,2026-06-08,9.52,9.905,9.503,9.813,235800.0,2266579.6
2026-06-05,2026-06-05,10.115,10.1825,9.905,9.905,189800.0,1912572.4
2026-06-04,2026-06-04,10.4275,10.4275,10.1875,10.34,204000.0,2092409
2026-06-03,2026-06-03,10.5225,10.6,10.4225,10.505,172200.0,1814363
2026-06-02,2026-06-02,10.3825,10.5,10.38,10.5,229600.0,2391506
2026-06-01,2026-06-01,10.4075,10.4175,10.25,10.415,83000.0,858382
2026-05-29,2026-05-29,10.25,10.36,10.21,10.275,178400.0,1829846
2026-05-28,2026-05-28,10.005,10.2075,9.987,10.2075,103400.0,1039942.5
2026-05-27,2026-05-27,10.0975,10.2475,9.956,9.998,717000.0,7218938.6
2026-05-26,2026-05-26,9.914,10.0775,9.877,10.05,176400.0,1760842.6
2026-05-25,2026-05-25,10,10.015,9.979,9.982,42200.0,421688.7
2026-05-22,2026-05-22,9.763,9.87,9.707,9.86,319600.0,3127694
2026-05-21,2026-05-21,9.569,9.675,9.509,9.556,299800.0,2872583.2
2026-05-20,2026-05-20,9.419,9.589,9.419,9.589,88200.0,836525.8
2026-05-19,2026-05-19,9.377,9.417,9.198,9.265,243800.0,2270907.8
2026-05-18,2026-05-18,9.451,9.615,9.36,9.377,205800.0,1947407
2026-05-15,2026-05-15,9.647,9.659,9.484,9.619,399400.0,3826580.2
2026-05-14,2026-05-14,9.697,9.839,9.641,9.824,152000.0,1474420.2
2026-05-13,2026-05-13,9.502,9.604,9.408,9.526,176200.0,1675217.2
2026-05-12,2026-05-12,9.421,9.463,9.206,9.237,169400.0,1589453.6
2026-05-11,2026-05-11,9.479,9.539,9.446,9.524,152800.0,1448202.2
2026-05-08,2026-05-08,9.18,9.392,9.171,9.392,146600.0,1359111.8
2026-05-07,2026-05-07,9.121,9.229,9.086,9.201,164400.0,1506002.6
2026-05-06,2026-05-06,8.883,9.019,8.877,9.019,683600.0,6119974.6
2026-05-05,2026-05-05,8.642,8.777,8.632,8.772,216600.0,1882334.6
2026-05-04,2026-05-04,8.633,8.659,8.498,8.526,203400.0,1751425.2
2026-04-30,2026-04-30,8.288,8.404,8.247,8.301,176200.0,1464481.8
2026-04-29,2026-04-29,8.252,8.27,8.186,8.264,100200.0,824107.2
2026-04-28,2026-04-28,8.293,8.297,8.091,8.091,246400.0,2016742.6
2026-04-27,2026-04-27,8.32,8.351,8.258,8.273,140200.0,1163176
2026-04-24,2026-04-24,8.165,8.279,8.146,8.279,244600.0,2008142.8
2026-04-23,2026-04-23,8.082,8.164,8.041,8.164,246000.0,1992312.6
2026-04-22,2026-04-22,7.95,8.067,7.937,8.062,174000.0,1392382.6
2026-04-21,2026-04-21,7.931,7.981,7.875,7.885,82600.0,654303.8
2026-04-20,2026-04-20,7.859,7.925,7.785,7.831,190000.0,1496654.2
2026-04-17,2026-04-17,7.733,7.938,7.725,7.938,487000.0,3776574
2026-04-16,2026-04-16,7.704,7.739,7.647,7.739,305400.0,2356871.2
2026-04-15,2026-04-15,7.44,7.55,7.431,7.535,205000.0,1532077.4
2026-04-14,2026-04-14,7.225,7.354,7.225,7.354,222600.0,1618329.8
2026-04-13,2026-04-13,7.02,7.12,7,7.111,121400.0,855319.6
2026-04-10,2026-04-10,7.078,7.13,7.068,7.108,404800.0,2873697.8
2026-04-09,2026-04-09,6.975,7.005,6.945,7.005,90000.0,626883.6
2026-04-08,2026-04-08,7.037,7.08,6.909,6.964,228200.0,1596630.8
2026-04-07,2026-04-07,6.621,6.672,6.456,6.516,270200.0,1776583
2026-04-02,2026-04-02,6.402,6.616,6.346,6.578,156200.0,1006087.6
2026-04-01,2026-04-01,6.542,6.598,6.47,6.598,230800.0,1505861
2026-03-31,2026-03-31,6.148,6.25,6.142,6.235,321800.0,
2026-03-30,2026-03-30,6.179,6.261,6.154,6.214,255600.0,1585196.4
2026-03-27,2026-03-27,6.43,6.43,6.216,6.224,442400.0,
2026-03-26,2026-03-26,6.631,6.631,6.497,6.502,230400.0,1511930.0
2026-03-25,2026-03-25,6.702,6.735,6.657,6.715,148400.0,994788.2
2026-03-24,2026-03-24,6.711,6.711,6.544,6.616,291200.0,1934956.4
2026-03-23,2026-03-23,6.426,6.811,6.426,6.664,453400.0,3017658.6
2026-03-20,2026-03-20,6.798,6.798,6.628,6.633,258600.0,1723688.8
2026-03-19,2026-03-19,6.849,6.87,6.72,6.745,224200.0,1525288.8
2026-03-18,2026-03-18,7.148,7.153,6.967,6.973,176200.0,1243157
2026-03-17,2026-03-17,6.961,7.111,6.948,7.059,68800.0,486485
2026-03-16,2026-03-16,6.966,7.044,6.934,7.007,177800.0,1242645.2
2026-03-13,2026-03-13,6.901,7.08,6.893,6.926,147800.0,1030944.4
2026-03-12,2026-03-12,7.107,7.107,6.95,6.998,93800.0,658679.4
2026-03-11,2026-03-11,7.133,7.216,7.094,7.15,518200.0,3692319.4
2026-03-10,2026-03-10,7.155,7.192,7.064,7.192,312400.0,2232688
2026-03-09,2026-03-09,6.763,6.985,6.745,6.972,281600.0,1919531.8
2026-03-06,2026-03-06,7.195,7.195,6.95,7.038,263000.0,1855073.8
2026-03-05,2026-03-05,7.152,7.25,7.122,7.164,244600.0,1758419.2
2026-03-04,2026-03-04,6.934,7.185,6.925,7.185,152200.0,1073122.4
2026-03-03,2026-03-03,6.933,6.956,6.794,6.933,359800.0,2467658
2026-03-02,2026-03-02,6.794,7.075,6.782,7.031,339800.0,2363240.4
2026-02-27,2026-02-27,7.054,7.054,6.893,7.001,404800.0,2826913.4
2026-02-26,2026-02-26,7.214,7.245,6.971,7.05,130400.0,929225.6
2026-02-25,2026-02-25,7.058,7.218,7.056,7.183,275600.0,1959094.2
2026-02-24,2026-02-24,6.915,7.033,6.882,7.015,159600.0,1110742.8
2026-02-23,2026-02-23,6.946,7.031,6.836,6.882,118800.0,822576.2
