datetime,value,quantity
2026-09-02T15:35:52.040+00:00,9.284,0.0
2026-09-02T15:30:45.160+00:00,9.29,4.0
2026-09-02T15:26:37.960+00:00,9.287,34.0
2026-09-02T15:22:41.390+00:00,9.283,5.0
2026-09-02T15:10:10.060+00:00,9.258,972.0
2026-09-02T15:09:24.010+00:00,9.257,830.0
2026-09-02T15:04:51.450+00:00,9.246,429.0
2026-09-02T15:01:54.640+00:00,9.234,1993.0
2026-09-02T14:53:33.610+00:00,9.252,228.0
2026-09-02T14:53:33.600+00:00,9.252,320.0
2026-09-02T14:53:33.600+00:00,9.252,274.0
2026-09-02T14:50:00.820+00:00,9.266,2386.0
2026-09-02T14:49:51.350+00:00,9.266,430.0
2026-09-02T14:44:15.290+00:00,9.288,100.0
2026-09-02T14:44:00.890+00:00,9.291,5631.0
2026-09-02T14:44:00.890+00:00,9.291,6669.0
2026-09-02T14:42:58.100+00:00,9.284,52.0
2026-09-02T14:26:57.210+00:00,9.284,1172.0
2026-09-02T14:04:07.330+00:00,9.196,9088.0
2026-09-02T14:04:07.330+00:00,9.197,7110.0
2026-09-02T14:02:59.330+00:00,9.195,6715.0
2026-09-02T14:02:59.330+00:00,9.194,15128.0
2026-09-02T14:02:59.330+00:00,9.196,4157.0
2026-09-02T14:01:53.150+00:00,9.201,1.0
2026-09-02T14:01:35.220+00:00,9.2,3660.0
2026-09-02T14:01:35.220+00:00,9.2,10624.0
2026-09-02T14:01:32.980+00:00,9.2,11716.0
2026-09-02T14:01:18.420+00:00,9.198,1.0
2026-09-02T14:01:17.930+00:00,9.2,2376.0
2026-09-02T14:01:17.780+00:00,9.2,11030.0
2026-09-02T14:01:16.290+00:00,9.2,1200.0
2026-09-02T14:01:16.240+00:00,9.2,1200.0
2026-09-02T14:01:16.240+00:00,9.2,481.0
2026-09-02T14:01:16.130+00:00,9.2,9713.0
2026-09-02T13:59:56.610+00:00,9.236,7.0
2026-09-02T13:59:56.590+00:00,9.236,7.0
2026-09-02T13:59:56.510+00:00,9.236,17.0
2026-09-02T13:59:56.450+00:00,9.236,17.0
2026-09-02T13:59:32.620+00:00,9.16,4.0
2026-09-02T13:59:32.610+00:00,9.16,2.0
2026-09-02T13:59:31.770+00:00,9.16,8.0
2026-09-02T13:59:31.670+00:00,9.16,1.0
2026-09-02T13:59:31.650+00:00,9.16,5.0
2026-09-02T13:59:31.650+00:00,9.16,1.0
2026-09-02T13:59:31.640+00:00,9.16,3.0
2026-09-02T13:59:31.630+00:00,9.16,2.0
2026-09-02T13:59:31.610+00:00,9.16,4.0
2026-09-02T13:59:31.540+00:00,9.158,2.0
2026-09-02T13:59:17.830+00:00,9.182,1200.0
2026-09-02T13:55:16.800+00:00,9.176,8707.0
2026-09-02T13:55:16.680+00:00,9.176,746.0
2026-09-02T13:55:16.680+00:00,9.176,5258.0
2026-09-02T13:55:16.590+00:00,9.176,9919.0
2026-09-02T13:55:16.580+00:00,9.176,449.0
2026-09-02T13:55:16.580+00:00,9.176,323.0
2026-09-02T13:55:15.760+00:00,9.176,275.0
2026-09-02T13:55:15.760+00:00,9.176,323.0
2026-09-02T13:54:06.310+00:00,9.185,5.0
2026-09-02T13:54:05.640+00:00,9.185,7050.0
2026-09-02T13:54:05.640+00:00,9.185,7050.0
2026-09-02T13:54:05.530+00:00,9.185,3724.0
2026-09-02T13:54:05.530+00:00,9.185,3724.0
2026-09-02T13:54:05.390+00:00,9.185,4447.0
2026-09-02T13:53:57.390+00:00,9.19,2715.0
2026-09-02T13:53:57.130+00:00,9.19,2227.0
2026-09-02T13:53:57.130+00:00,9.19,10194.0
2026-09-02T13:53:57.080+00:00,9.19,3268.0
2026-09-02T13:53:57.080+00:00,9.19,3268.0
2026-09-02T13:53:57.080+00:00,9.19,4328.0
2026-09-02T13:53:10.350+00:00,9.193,4575.0
2026-09-02T13:50:24.240+00:00,9.205,1.0
2026-09-02T13:50:23.220+00:00,9.205,3268.0
2026-09-02T13:50:23.180+00:00,9.205,18404.0
2026-09-02T13:50:23.180+00:00,9.205,4328.0
2026-09-02T13:45:56.190+00:00,9.217,1622.0
