datetime,date,open,high,low,close,quantity,turnover
2026-09-02,2026-09-02,5.928,5.928,5.864,5.918,20925,123375.492
2026-09-01,2026-09-01,5.991,5.991,5.868,5.921,63544,376200.878
2026-08-31,2026-08-31,5.947,5.975,5.928,5.928,34537,205528.172
2026-08-28,2026-08-28,5.969,6.013,5.929,6.011,15853,94568.172
2026-08-27,2026-08-27,5.925,5.946,5.895,5.918,51040.0,302032.05
2026-08-26,2026-08-26,5.825,5.856,5.824,5.843,8841,51668.395
2026-08-25,2026-08-25,5.87,5.87,5.821,5.831,7029,41089.613
2026-08-24,2026-08-24,5.845,5.851,5.775,5.813,29128,169776.607
2026-08-21,2026-08-21,5.881,5.908,5.835,5.866,12368,72516.495
2026-08-20,2026-08-20,5.904,5.94,5.844,5.844,17681,103762.369
2026-08-19,2026-08-19,5.947,5.983,5.87,5.914,28586,169291.063
2026-08-18,2026-08-18,6.071,6.071,5.96,5.969,27619,165461.257
2026-08-17,2026-08-17,6.123,6.15,6.097,6.118,16825,103014.163
2026-08-14,2026-08-14,6.145,6.145,6.081,6.081,17653,108200.301
2026-08-13,2026-08-13,6.088,6.148,6.052,6.131,222835,1357293.154
2026-08-12,2026-08-12,6.071,6.08,6.051,6.056,8752,53121.349
2026-08-11,2026-08-11,6.071,6.075,6.026,6.031,17590.0,106517.375
2026-08-10,2026-08-10,6.066,6.11,6.047,6.05,12214,74165.339
2026-08-07,2026-08-07,6.055,6.072,6.032,6.072,11062,66968.067
2026-08-06,2026-08-06,6.034,6.073,5.979,6.052,19656,118064.098
2026-08-05,2026-08-05,6.14,6.14,6.077,6.082,24198,147744.788
2026-08-04,2026-08-04,5.927,6.074,5.927,6.065,27445,164329.256
2026-08-03,2026-08-03,5.84,5.884,5.767,5.876,15573,90560.45
2026-07-31,2026-07-31,5.812,5.841,5.733,5.733,53993,313711.782
2026-07-30,2026-07-30,5.58,5.741,5.55,5.697,41000.0,231185.354
2026-07-29,2026-07-29,5.714,5.741,5.604,5.618,35748,201807.256
2026-07-28,2026-07-28,5.753,5.762,5.644,5.719,135969,777651.802
2026-07-27,2026-07-27,5.945,5.946,5.743,5.757,29701,173676.553
2026-07-24,2026-07-24,5.93,5.942,5.85,5.89,28236,166582.939
2026-07-23,2026-07-23,6.02,6.02,5.895,5.908,18934,112297.201
2026-07-22,2026-07-22,6.04,6.067,6,6.067,29575,178245.335
2026-07-21,2026-07-21,6.034,6.06,6.005,6.058,29065,175199.289
2026-07-20,2026-07-20,5.949,6.042,5.93,6,32191,192488.721
2026-07-17,2026-07-17,5.912,5.952,5.835,5.919,60877,359908.432
2026-07-16,2026-07-16,6.146,6.146,6.028,6.072,31946,193895.462
2026-07-15,2026-07-15,6.2,6.239,6.1,6.116,190983,1173833.329
2026-07-14,2026-07-14,6.128,6.166,6.105,6.159,10666,65303.037
2026-07-13,2026-07-13,6.132,6.138,6.085,6.13,38220.0,233789.216
2026-07-10,2026-07-10,6.146,6.168,6.112,6.168,23842,146770.589
2026-07-09,2026-07-09,6.11,6.139,6.096,6.134,12588,77044.312
2026-07-08,2026-07-08,6.026,6.037,5.926,5.99,47312,283174.161
2026-07-07,2026-07-07,6.109,6.11,5.97,5.994,35908,216664.187
2026-07-06,2026-07-06,6.115,6.181,6.104,6.169,16006,98050.355
2026-07-03,2026-07-03,6.096,6.139,6.09,6.13,13120.0,80343.426
2026-07-02,2026-07-02,6.186,6.236,6.062,6.091,33036,203578.106
2026-07-01,2026-07-01,6.271,6.288,6.2,6.245,16359,102440.492
2026-06-30,2026-06-30,6.183,6.261,6.171,6.261,11500.0,71699.471
2026-06-29,2026-06-29,6.059,6.1,5.981,6.089,22480.0,136362.518
2026-06-26,2026-06-26,6.068,6.071,5.98,6.069,119261,720094.369
2026-06-25,2026-06-25,6.237,6.247,6.012,6.078,28240.0,173868.83
2026-06-24,2026-06-24,6.143,6.171,6.104,6.14,24554,150900.133
2026-06-23,2026-06-23,6.147,6.188,6.1,6.126,58541,359422.166
2026-06-22,2026-06-22,6.319,6.367,6.278,6.278,48145,303542.267
2026-06-19,2026-06-19,6.283,6.284,6.244,6.269,6648,41698.365
2026-06-18,2026-06-18,6.207,6.253,6.165,6.224,50019,311010.75
2026-06-17,2026-06-17,6.177,6.182,6.12,6.13,46515,285708.806
2026-06-16,2026-06-16,6.236,6.263,6.162,6.168,29946,186471.051
2026-06-15,2026-06-15,6.167,6.236,6.162,6.228,22571,139794.615
2026-06-12,2026-06-12,6.015,6.079,5.981,6.074,39889,240797.812
2026-06-11,2026-06-11,5.885,5.947,5.874,5.918,88794,525350.676
2026-06-10,2026-06-10,5.92,5.981,5.867,5.887,37287,220729.909
2026-06-09,2026-06-09,6.107,6.107,5.918,5.918,57251,348332.137
2026-06-08,2026-06-08,5.979,6.093,5.973,6.068,44864,270360.492
2026-06-05,2026-06-05,6.134,6.15,6.088,6.089,49882,305587.931
2026-06-04,2026-06-04,6.256,6.256,6.139,6.2,31752,196306.64
2026-06-03,2026-06-03,6.286,6.321,6.254,6.262,57529,361616.022
2026-06-02,2026-06-02,6.231,6.268,6.206,6.264,64424,401687.152
2026-06-01,2026-06-01,6.271,6.279,6.22,6.251,45379,283024.066
2026-05-29,2026-05-29,6.227,6.275,6.22,6.222,41711,260411.646
2026-05-28,2026-05-28,6.164,6.227,6.157,6.227,52462,324538.333
2026-05-27,2026-05-27,6.194,6.241,6.14,6.151,56365,349855.73
2026-05-26,2026-05-26,6.139,6.181,6.037,6.161,42854,263845.141
2026-05-25,2026-05-25,6.156,6.168,6.147,6.155,46050.0,283674.345
2026-05-22,2026-05-22,6.075,6.118,6.073,6.114,32005,195336.571
2026-05-21,2026-05-21,6.04,6.057,6.011,6.018,64566,390255.371
2026-05-20,2026-05-20,5.977,6.029,5.977,6.027,11095,66748.2
2026-05-19,2026-05-19,5.971,6.01,5.9,5.931,26675,158769.65
2026-05-18,2026-05-18,6,6.064,5.961,5.971,62706,376855.309
2026-05-15,2026-05-15,6.09,6.095,6.01,6.06,60573,366137.988
2026-05-14,2026-05-14,6.099,6.13,6.062,6.122,18003,109686.215
2026-05-13,2026-05-13,5.984,6.031,5.979,6.017,25662,154160.922
2026-05-12,2026-05-12,5.966,5.969,5.887,5.887,38906,231130.206
2026-05-11,2026-05-11,5.976,5.987,5.94,5.982,68743,410193.333
2026-05-08,2026-05-08,5.855,5.926,5.839,5.924,32268,189598.838
2026-05-07,2026-05-07,5.837,5.852,5.805,5.845,40821,237960.371
2026-05-06,2026-05-06,5.764,5.79,5.729,5.79,42483,244362.473
2026-05-05,2026-05-05,5.665,5.709,5.657,5.701,49830.0,283618.435
2026-05-04,2026-05-04,5.642,5.665,5.61,5.61,47802,269845.753
2026-04-30,2026-04-30,5.566,5.6,5.5,5.537,31458,174791.834
2026-04-29,2026-04-29,5.555,5.555,5.509,5.544,68345,377031.471
2026-04-28,2026-04-28,5.558,5.565,5.479,5.479,51910.0,286921.341
2026-04-27,2026-04-27,5.572,5.572,5.524,5.531,44581,247077.444
2026-04-24,2026-04-24,5.51,5.543,5.476,5.543,33481,184974.595
2026-04-23,2026-04-23,5.462,5.483,5.443,5.483,10957,59828.558
2026-04-22,2026-04-22,5.385,5.436,5.381,5.436,7219,39038.745
2026-04-21,2026-04-21,5.385,5.398,5.357,5.361,30159,162342.817
2026-04-20,2026-04-20,5.356,5.385,5.342,5.342,13962,74918.079
2026-04-17,2026-04-17,5.319,5.386,5.316,5.385,47800.0,254680.038
2026-04-16,2026-04-16,5.32,5.323,5.28,5.32,19696,104572.579
2026-04-15,2026-04-15,5.203,5.252,5.203,5.25,23675,123624.77
2026-04-14,2026-04-14,5.133,5.172,5.125,5.172,30712,157844.411
2026-04-13,2026-04-13,5.081,5.107,5.072,5.101,35374,180073.696
2026-04-10,2026-04-10,5.072,5.111,5.072,5.103,22494,114443.729
2026-04-09,2026-04-09,5.029,5.047,5.017,5.047,14935,75096.911
2026-04-08,2026-04-08,5.041,5.062,5,5.006,76924,387588.33
2026-04-07,2026-04-07,4.909,4.935,4.856,4.856,20018,98212.4315
2026-04-02,2026-04-02,4.8325,4.8965,4.799,4.8915,17927,87645.9585
2026-04-01,2026-04-01,4.856,4.888,4.8365,4.888,18633,90600.7865
2026-03-31,2026-03-31,4.7135,4.75,4.7135,4.75,24167,
2026-03-30,2026-03-30,4.7485,4.7595,4.7295,4.752,23560.0,111598.883
2026-03-27,2026-03-27,4.835,4.8425,4.7445,4.7485,20214,
2026-03-26,2026-03-26,4.9155,4.9155,4.852,4.852,15644,76215.125
2026-03-25,2026-03-25,4.935,5.001,4.921,4.935,9899,48899.307
2026-03-24,2026-03-24,4.9245,4.9245,4.894,4.894,17317,84952.6825
2026-03-23,2026-03-23,4.828,4.992,4.812,4.9025,8203,40370.3185
2026-03-20,2026-03-20,4.949,4.954,4.8915,4.9,24042,118051.657
2026-03-19,2026-03-19,5.004,5.005,4.946,4.946,13985,69445.7305
2026-03-18,2026-03-18,5.08,5.099,5.031,5.031,25534,129642.027
2026-03-17,2026-03-17,5.042,5.065,5.015,5.047,2179,11013.674
2026-03-16,2026-03-16,5.063,5.063,5.037,5.046,12138,61319.272
2026-03-13,2026-03-13,5.02,5.062,5.02,5.023,8625,43566.878
2026-03-12,2026-03-12,5.063,5.067,5.032,5.036,17351,87688.287
2026-03-11,2026-03-11,5.052,5.103,5.049,5.081,2848,14413.454
2026-03-10,2026-03-10,5.042,5.064,5.025,5.064,3274,16504.378
2026-03-09,2026-03-09,4.8905,4.9915,4.8905,4.9915,43005,212547.711
2026-03-06,2026-03-06,5.069,5.069,4.997,5.009,5751,28869.379
2026-03-05,2026-03-05,5.051,5.079,5.043,5.065,18457,93303.917
2026-03-04,2026-03-04,4.9675,5.051,4.9475,5.051,14476,72788.028
2026-03-03,2026-03-03,4.9655,4.9655,4.8995,4.96,21262,104421.4765
2026-03-02,2026-03-02,4.8715,4.989,4.869,4.979,9228,45206.5155
2026-02-27,2026-02-27,4.9505,4.976,4.92,4.936,8750.0,43134.892
2026-02-26,2026-02-26,5.053,5.056,4.9345,4.97,4151,20789.357
2026-02-25,2026-02-25,4.966,5.042,4.966,5.029,12528,62739.811
2026-02-24,2026-02-24,4.9515,4.97,4.9195,4.9645,32409,160227.051
2026-02-23,2026-02-23,4.942,4.9625,4.8995,4.912,4851,23956.0565
2026-02-20,2026-02-20,4.955,4.985,4.93,4.97,51828,256942.693
2026-02-19,2026-02-19,4.9505,4.971,4.9055,4.939,7313,36052.653
2026-02-18,2026-02-18,4.894,4.9595,4.888,4.9595,12955,63393.437
2026-02-17,2026-02-17,4.8575,4.863,4.8125,4.863,11261,54249.035
2026-02-16,2026-02-16,4.882,4.882,4.8395,4.849,2184,10613.755
2026-02-13,2026-02-13,4.86,4.8745,4.85,4.8605,19533,94994.1745
2026-02-12,2026-02-12,5.004,5.004,4.883,4.883,7033,35122.53
2026-02-11,2026-02-11,4.9625,5.021,4.9625,4.965,15152,75486.211
2026-02-10,2026-02-10,5.007,5.011,4.9855,4.986,25049,125040.934
2026-02-09,2026-02-09,4.949,4.996,4.92,4.9915,61853,306200.2255
2026-02-06,2026-02-06,4.87,4.9545,4.865,4.9485,17900.0,88182.2325
2026-02-05,2026-02-05,4.96,4.979,4.8685,4.91,20097,98895.641
2026-02-04,2026-02-04,5.088,5.088,4.972,4.972,40360.0,203353.711
2026-02-03,2026-02-03,5.192,5.199,5.081,5.085,27252,140413.412
2026-02-02,2026-02-02,5.023,5.166,5.023,5.163,12210.0,62667.147
2026-01-30,2026-01-30,5.088,5.14,5.079,5.124,26400.0,135096.148
2026-01-29,2026-01-29,5.177,5.177,5.028,5.056,23485,120620.806
2026-01-28,2026-01-28,5.15,5.172,5.143,5.15,5760.0,29653.744
2026-01-27,2026-01-27,5.154,5.154,5.115,5.117,15030.0,76994.887
2026-01-26,2026-01-26,5.102,5.103,5.06,5.103,8242,41887.531
2026-01-23,2026-01-23,5.099,5.153,5.09,5.137,27393,140172.39
2026-01-22,2026-01-22,5.145,5.152,5.099,5.112,12516,64215.511
2026-01-21,2026-01-21,5.019,5.096,4.994,5.076,61916,311897.564
2026-01-20,2026-01-20,5.078,5.078,5.01,5.071,21881,110209.342
2026-01-19,2026-01-19,5.097,5.111,5.08,5.08,15911,80988.166
2026-01-16,2026-01-16,5.229,5.229,5.197,5.197,4916,25634.305
2026-01-15,2026-01-15,5.173,5.235,5.169,5.219,44890.0,233745.101
2026-01-14,2026-01-14,5.192,5.22,5.112,5.136,29943,156048.183
2026-01-13,2026-01-13,5.24,5.24,5.202,5.232,11721,61148.279
2026-01-12,2026-01-12,5.188,5.215,5.136,5.207,10848,56029.075
2026-01-09,2026-01-09,5.178,5.199,5.156,5.199,4791,24809.31
2026-01-08,2026-01-08,5.177,5.185,5.13,5.133,41873,216239.055
2026-01-07,2026-01-07,5.175,5.194,5.131,5.189,36788,190390.297
2026-01-06,2026-01-06,5.109,5.144,5.109,5.135,33056,169435.303
2026-01-05,2026-01-05,5.1,5.147,5.1,5.139,30483,156571.144
2026-01-02,2026-01-02,5.165,5.171,5.054,5.069,14343,73515.786
2025-12-30,2025-12-30,5.116,5.135,5.112,5.135,12994,66649.916
2025-12-29,2025-12-29,5.133,5.137,5.093,5.109,12612,64511.91
2025-12-23,2025-12-23,5.114,5.123,5.077,5.117,5340.0,27253.717
2025-12-22,2025-12-22,5.13,5.138,5.106,5.11,14938,76487.456
2025-12-19,2025-12-19,5.05,5.085,5.048,5.085,1521,7709.34
2025-12-18,2025-12-18,4.9795,5.054,4.9745,5.054,21045,105454.8325
2025-12-17,2025-12-17,5.045,5.076,4.957,4.957,20846,104934.781
2025-12-16,2025-12-16,4.989,5.005,4.957,4.9965,10030.0,50098.3425
2025-12-15,2025-12-15,5.061,5.083,5.005,5.038,24097,121792.55
2025-12-12,2025-12-12,5.121,5.147,5.035,5.04,16428,83297.43
2025-12-11,2025-12-11,5.135,5.172,5.1,5.115,2973,15274.133
2025-12-10,2025-12-10,5.226,5.235,5.175,5.201,20904,108864.804
2025-12-09,2025-12-09,5.199,5.218,5.199,5.211,13357,69552.547
2025-12-08,2025-12-08,5.233,5.233,5.199,5.199,27226,142079.935
2025-12-05,2025-12-05,5.214,5.226,5.186,5.195,15081,78484.421
2025-12-04,2025-12-04,5.193,5.193,5.157,5.166,45750.0,236527.624
2025-12-03,2025-12-03,5.218,5.218,5.14,5.158,9632,49731.779
2025-12-02,2025-12-02,5.169,5.225,5.169,5.176,12943,67438.205
2025-12-01,2025-12-01,5.16,5.167,5.108,5.167,22055,113386.443
2025-11-28,2025-11-28,5.158,5.207,5.158,5.172,23004,119493.639
2025-11-27,2025-11-27,5.182,5.182,5.158,5.158,2276,11769.904
2025-11-26,2025-11-26,5.163,5.165,5.133,5.165,36084,185637.969
2025-11-25,2025-11-25,5.104,5.12,5.042,5.07,35521,180863.783
2025-11-24,2025-11-24,4.995,5.102,4.991,5.088,117386,592882.301
2025-11-21,2025-11-21,4.954,4.981,4.9,4.959,36724,181200.489
2025-11-20,2025-11-20,5.188,5.197,5.118,5.118,10686,55369.282
2025-11-19,2025-11-19,5.014,5.108,5,5.054,19228,97312.722
2025-11-18,2025-11-18,5.025,5.066,4.9685,5.025,20427,102076.0775
2025-11-17,2025-11-17,5.154,5.17,5.094,5.109,27787,141946.193
2025-11-14,2025-11-14,5.074,5.12,4.9875,5.12,14695,73895.407
2025-11-13,2025-11-13,5.197,5.243,5.097,5.097,7075,36746.549
2025-11-12,2025-11-12,5.271,5.277,5.191,5.191,1520.0,7963.681
2025-11-11,2025-11-11,5.263,5.263,5.175,5.175,23652,123141.494
2025-11-10,2025-11-10,5.195,5.226,5.195,5.197,24302,126892.715
2025-11-07,2025-11-07,5.198,5.198,5.031,5.031,15581,79879.024
2025-11-06,2025-11-06,5.266,5.28,5.155,5.155,11752,61235.779
2025-11-05,2025-11-05,5.231,5.285,5.213,5.285,13707,71811.882
2025-11-04,2025-11-04,5.288,5.317,5.259,5.29,57200.0,302873.539
2025-11-03,2025-11-03,5.335,5.411,5.321,5.332,34039,182098.643
2025-10-31,2025-10-31,5.367,5.373,5.31,5.313,14396,76808.264
2025-10-30,2025-10-30,5.347,5.347,5.275,5.288,11994,63731.52
2025-10-29,2025-10-29,5.33,5.33,5.284,5.288,26905,142669.852
2025-10-28,2025-10-28,5.23,5.249,5.207,5.238,13619,71143.156
2025-10-27,2025-10-27,5.2,5.204,5.17,5.2,13676,70983.535
2025-10-24,2025-10-24,5.1,5.118,5.086,5.116,8055,41134.329
2025-10-23,2025-10-23,5.056,5.056,5.022,5.054,2214,11173.171
2025-10-22,2025-10-22,5.086,5.086,5.009,5.009,11112,56039.412
2025-10-21,2025-10-21,5.08,5.087,5.058,5.066,30344,154094.191
2025-10-20,2025-10-20,5.033,5.064,5.01,5.059,4117,20685.603
2025-10-17,2025-10-17,4.8805,4.9615,4.8465,4.9255,43740.0,214514.012
2025-10-16,2025-10-16,5.015,5.015,4.9925,4.996,1809,9039.24
2025-10-15,2025-10-15,4.996,5.024,4.978,4.9905,2728,13672.416
2025-10-14,2025-10-14,4.9805,4.985,4.9185,4.963,65407,325191.3255
2025-10-13,2025-10-13,4.9795,5.049,4.972,5,80480.0,402206.6915
2025-10-10,2025-10-10,5.09,5.099,4.9455,4.9455,50196,254670.366
2025-10-09,2025-10-09,5.076,5.076,5.059,5.067,18444,93357.11
2025-10-08,2025-10-08,5.01,5.046,5.003,5.041,38474,193031.69
2025-10-07,2025-10-07,4.998,5.017,4.9735,4.9735,11958,59858.727
2025-10-06,2025-10-06,4.977,5.001,4.9605,4.972,14109,70252.867
2025-10-03,2025-10-03,4.9695,4.9795,4.9435,4.958,9571,47449.364
2025-10-02,2025-10-02,4.9595,4.9655,4.9385,4.954,1513,7495.2335
2025-10-01,2025-10-01,4.8615,4.917,4.8615,4.917,6724,32842.5145
2025-09-30,2025-09-30,4.901,4.901,4.867,4.8905,10431,50893.1765
2025-09-29,2025-09-29,4.9155,4.9275,4.9045,4.9045,5591,27468.106
