datetime,value,quantity
2026-09-02T15:36:02.690+00:00,5.918,685.0
2026-09-02T15:18:11.390+00:00,5.911,3961.0
2026-09-02T15:07:33.430+00:00,5.91,40.0
2026-09-02T15:00:13.130+00:00,5.901,16.0
2026-09-02T14:55:43.780+00:00,5.905,180.0
2026-09-02T14:29:31.800+00:00,5.919,336.0
2026-09-02T14:21:16.130+00:00,5.913,3504.0
2026-09-02T14:19:16.650+00:00,5.913,4.0
2026-09-02T14:03:18.130+00:00,5.886,3.0
2026-09-02T14:02:09.550+00:00,5.887,38.0
2026-09-02T13:52:57.530+00:00,5.883,11.0
2026-09-02T13:45:56.230+00:00,5.89,1780.0
2026-09-02T13:38:23.320+00:00,5.878,8500.0
2026-09-02T12:42:21.470+00:00,5.912,1.0
2026-09-02T12:39:50.440+00:00,5.911,55.0
2026-09-02T11:53:48.170+00:00,5.901,25.0
2026-09-02T11:13:04.830+00:00,5.877,0.0
2026-09-02T11:04:04.120+00:00,5.884,162.0
2026-09-02T10:27:44.310+00:00,5.891,1.0
2026-09-02T10:13:44.510+00:00,5.889,50.0
2026-09-02T10:11:09.480+00:00,5.889,19.0
2026-09-02T09:44:52.470+00:00,5.864,30.0
2026-09-02T09:23:01.700+00:00,5.893,10.0
2026-09-02T08:43:43.890+00:00,5.905,76.0
2026-09-02T08:37:47.950+00:00,5.905,146.0
2026-09-02T08:17:29.900+00:00,5.883,153.0
2026-09-02T08:03:51.810+00:00,5.909,4.0
2026-09-02T08:01:42.650+00:00,5.9,78.0
2026-09-02T07:50:32.540+00:00,5.912,1.0
2026-09-02T07:35:13.110+00:00,5.917,875.0
2026-09-02T07:25:35.080+00:00,5.921,7.0
2026-09-02T07:17:20.110+00:00,5.921,31.0
2026-09-02T07:14:17.440+00:00,5.921,8.0
2026-09-02T07:05:02.670+00:00,5.928,135.0
2026-09-01T15:36:08.150+00:00,5.921,440.0
2026-09-01T15:10:01.760+00:00,5.902,265.0
2026-09-01T14:42:41.570+00:00,5.907,1.0
2026-09-01T14:39:10.110+00:00,5.903,1.0
2026-09-01T14:39:05.850+00:00,5.903,1.0
2026-09-01T14:38:48.180+00:00,5.905,75.0
2026-09-01T14:29:30.760+00:00,5.893,426.0
2026-09-01T14:28:56.160+00:00,5.892,25.0
2026-09-01T14:28:19.680+00:00,5.894,106.0
2026-09-01T14:05:19.680+00:00,5.886,39.0
2026-09-01T13:50:25.810+00:00,5.887,45.0
2026-09-01T13:38:31.200+00:00,5.868,86.0
2026-09-01T13:33:56.480+00:00,5.871,2167.0
2026-09-01T13:13:59.260+00:00,5.878,3807.0
2026-09-01T13:13:59.250+00:00,5.878,13913.0
2026-09-01T13:13:59.250+00:00,5.879,7280.0
2026-09-01T12:51:49.290+00:00,5.886,514.0
2026-09-01T11:35:28.780+00:00,5.908,10.0
2026-09-01T11:13:13.970+00:00,5.905,0.0
2026-09-01T11:09:32.310+00:00,5.896,240.0
2026-09-01T11:06:18.370+00:00,5.902,1.0
2026-09-01T11:05:48.960+00:00,5.902,15.0
2026-09-01T10:53:40.650+00:00,5.906,1.0
2026-09-01T10:26:01.050+00:00,5.915,268.0
2026-09-01T10:20:51.790+00:00,5.91,153.0
2026-09-01T10:02:02.020+00:00,5.903,850.0
2026-09-01T09:46:34.220+00:00,5.908,15.0
2026-09-01T09:45:03.430+00:00,5.907,11.0
2026-09-01T09:38:18.910+00:00,5.9,94.0
2026-09-01T09:37:21.170+00:00,5.9,17.0
2026-09-01T09:13:07.810+00:00,5.915,100.0
2026-09-01T08:59:26.000+00:00,5.904,8.0
2026-09-01T08:54:27.680+00:00,5.917,30.0
2026-09-01T08:35:52.340+00:00,5.929,20.0
2026-09-01T08:33:13.520+00:00,5.931,1.0
2026-09-01T08:17:43.170+00:00,5.937,100.0
2026-09-01T08:05:16.420+00:00,5.948,3448.0
2026-09-01T08:05:05.260+00:00,5.948,4272.0
2026-09-01T08:05:05.260+00:00,5.948,7280.0
2026-09-01T08:02:24.110+00:00,5.967,89.0
2026-09-01T08:02:24.110+00:00,5.967,17188.0
2026-09-01T07:59:43.950+00:00,5.97,129.0
2026-09-01T07:05:08.530+00:00,5.991,13.0
