datetime,date,open,high,low,close,quantity,turnover
2026-09-02,2026-09-02,105.16,105.26,104.4,104.96,96749,1.013943368E7
2026-09-01,2026-09-01,105.72,105.88,104.84,105.18,193351,2.035147484E7
2026-08-31,2026-08-31,106.38,106.42,105.56,105.56,81500.0,8647067.02
2026-08-28,2026-08-28,106.48,106.54,106.24,106.42,55850.0,5941524.56
2026-08-27,2026-08-27,106.58,106.64,105.68,105.92,121999,1.29676188E7
2026-08-26,2026-08-26,106.86,107.06,106.58,106.6,47150.0,5037079.06
2026-08-25,2026-08-25,106.7,106.92,106.46,106.72,111961,1.194994234E7
2026-08-24,2026-08-24,106.2,106.5,106.1,106.28,67957,7224233.12
2026-08-21,2026-08-21,105.76,106.38,105.74,106.32,59208,6275751.8
2026-08-20,2026-08-20,105.86,105.9,105.3,105.66,81126,8575776.42
2026-08-19,2026-08-19,105.98,106.26,105.8,105.8,52822,5595713.6
2026-08-18,2026-08-18,106.44,106.52,105.92,105.94,44217,4696730.9
2026-08-17,2026-08-17,107.14,107.26,106.7,106.7,50264,5376965.26
2026-08-14,2026-08-14,107.12,107.22,106.82,106.84,48183,5157532.94
2026-08-13,2026-08-13,107.32,107.4,107.04,107.08,40399,4333678.06
2026-08-12,2026-08-12,107.28,107.42,106.86,107.02,26528,2843024.98
2026-08-11,2026-08-11,107.3,107.58,106.92,107.16,88269,9469162.32
2026-08-10,2026-08-10,107.16,107.38,106.9,107.14,46598,4992737.68
2026-08-07,2026-08-07,107,107.58,106.92,107.1,56152,6020514.8
2026-08-06,2026-08-06,106.86,107.22,106.8,106.8,36895,3947370.24
2026-08-05,2026-08-05,107,107.04,106.34,106.6,53945,5753026.1
2026-08-04,2026-08-04,106.38,106.64,106.02,106.56,47373,5038329.96
2026-08-03,2026-08-03,105.62,105.88,105.4,105.76,100225,1.058971636E7
2026-07-31,2026-07-31,106,106.5,104.9,105.28,93366,9883114.46
2026-07-30,2026-07-30,104.68,105.6,104.52,105.4,39741,4177665.94
2026-07-29,2026-07-29,105.18,105.34,104.34,104.6,95177,9979971.04
2026-07-28,2026-07-28,104.64,104.98,104.36,104.98,71517,7485134.8
2026-07-27,2026-07-27,105.04,105.62,104.54,104.54,157484,1.659807068E7
2026-07-24,2026-07-24,103.62,104.56,103.62,104.56,31983,3331432.54
2026-07-23,2026-07-23,104.28,104.4,103.28,103.62,67306,7000094.1
2026-07-22,2026-07-22,103.94,105.14,103.82,104.88,65034,6808849.3
2026-07-21,2026-07-21,103.96,104.24,103.48,104.24,67317,6996074.86
2026-07-20,2026-07-20,103.72,104.34,103.58,103.66,54284,5638881.36
2026-07-17,2026-07-17,103.68,103.98,103.38,103.94,29896,3099041.66
2026-07-16,2026-07-16,104.16,104.28,103.2,104.28,53916,5592923.28
2026-07-15,2026-07-15,104.08,104.36,103.7,104.22,147659,1.53745711E7
2026-07-14,2026-07-14,103.36,104.1,103.04,103.98,88291,9149046.08
2026-07-13,2026-07-13,103.86,104.08,103.52,103.98,68609,7122300.78
2026-07-10,2026-07-10,104.08,104.22,103.84,104.02,63101,6567380.48
2026-07-09,2026-07-09,103.8,104.08,103.24,103.98,96947,1.004750404E7
2026-07-08,2026-07-08,104.04,104.14,102.76,103.16,99699,1.032341518E7
2026-07-07,2026-07-07,105.4,105.72,104.78,104.78,51788,5455644.5
2026-07-06,2026-07-06,105.84,106.14,105.12,105.46,173021,1.824951198E7
2026-07-03,2026-07-03,105.56,105.88,105.1,105.84,66006,6961846.68
2026-07-02,2026-07-02,103.58,105.44,103.54,105.18,66657,6965313.3
2026-07-01,2026-07-01,103.86,104.14,103.34,103.72,121082,1.256662086E7
