datetime,value,quantity
2026-09-02T19:13:22.020+00:00,104.98,10.0
2026-09-02T15:35:58.030+00:00,104.96,3115.0
2026-09-02T15:29:00.000+00:00,104.96,1126.0
2026-09-02T15:27:46.720+00:00,104.94,3.0
2026-09-02T15:26:03.190+00:00,104.92,659.0
2026-09-02T15:23:35.670+00:00,104.86,183.0
2026-09-02T15:22:30.820+00:00,104.88,150.0
2026-09-02T15:22:30.820+00:00,104.88,150.0
2026-09-02T15:22:30.820+00:00,104.88,53.0
2026-09-02T15:22:30.820+00:00,104.88,150.0
2026-09-02T15:22:30.820+00:00,104.88,150.0
2026-09-02T15:22:30.820+00:00,104.88,150.0
2026-09-02T15:22:30.820+00:00,104.88,150.0
2026-09-02T15:18:22.410+00:00,104.92,10.0
2026-09-02T15:15:20.660+00:00,104.9,4.0
2026-09-02T15:13:13.510+00:00,104.9,48.0
2026-09-02T15:13:13.510+00:00,104.9,164.0
2026-09-02T15:12:24.000+00:00,104.92,4.0
2026-09-02T15:12:12.370+00:00,104.92,1778.0
2026-09-02T15:12:12.370+00:00,104.92,4510.0
2026-09-02T15:11:35.790+00:00,104.94,1.0
2026-09-02T15:09:07.050+00:00,104.96,20.0
2026-09-02T15:06:44.670+00:00,105.0,1.0
2026-09-02T15:04:14.480+00:00,104.98,1.0
2026-09-02T15:03:54.790+00:00,104.98,168.0
2026-09-02T15:03:26.300+00:00,104.98,10.0
2026-09-02T15:01:51.350+00:00,104.98,24.0
2026-09-02T14:56:30.050+00:00,104.9,8.0
2026-09-02T14:56:10.970+00:00,104.92,1.0
2026-09-02T14:51:50.480+00:00,104.94,1.0
2026-09-02T14:51:24.020+00:00,104.94,1024.0
2026-09-02T14:51:23.970+00:00,104.94,68.0
2026-09-02T14:51:23.970+00:00,104.94,95.0
2026-09-02T14:51:23.970+00:00,104.94,163.0
2026-09-02T14:51:23.970+00:00,104.94,95.0
2026-09-02T14:51:23.970+00:00,104.94,163.0
2026-09-02T14:51:23.790+00:00,104.94,31.0
2026-09-02T14:51:23.790+00:00,104.94,132.0
2026-09-02T14:51:23.790+00:00,104.94,157.0
2026-09-02T14:51:23.790+00:00,104.94,6.0
2026-09-02T14:51:13.110+00:00,104.96,1.0
2026-09-02T14:50:40.220+00:00,104.98,10.0
2026-09-02T14:50:36.400+00:00,105.0,1.0
2026-09-02T14:47:08.500+00:00,104.98,1.0
2026-09-02T14:45:56.670+00:00,105.04,1.0
2026-09-02T14:45:56.570+00:00,105.04,46.0
2026-09-02T14:44:20.590+00:00,105.02,1.0
2026-09-02T14:41:07.530+00:00,105.02,127.0
2026-09-02T14:33:57.280+00:00,105.02,42.0
2026-09-02T14:33:39.080+00:00,105.0,1.0
2026-09-02T14:33:26.940+00:00,105.0,165.0
2026-09-02T14:33:26.940+00:00,105.0,161.0
2026-09-02T14:33:26.940+00:00,105.0,163.0
2026-09-02T14:33:26.940+00:00,105.0,2.0
