datetime,value,quantity
2026-09-02T15:36:12.750+00:00,77.55,63.0
2026-09-02T15:29:59.060+00:00,77.58,18.0
2026-09-02T15:22:09.960+00:00,77.51,10.0
2026-09-02T15:22:09.960+00:00,77.5,1410.0
2026-09-02T15:01:29.820+00:00,77.51,176.0
2026-09-02T14:54:09.240+00:00,77.5,64.0
2026-09-02T14:47:27.860+00:00,77.55,2.0
2026-09-02T14:44:21.130+00:00,77.55,10.0
2026-09-02T14:29:24.320+00:00,77.56,23.0
2026-09-02T14:26:28.670+00:00,77.58,41.0
2026-09-02T14:26:18.670+00:00,77.59,153.0
2026-09-02T14:25:37.080+00:00,77.59,6.0
2026-09-02T14:24:36.010+00:00,77.59,2623.0
2026-09-02T14:24:28.410+00:00,77.59,224.0
2026-09-02T14:24:20.430+00:00,77.59,232.0
2026-09-02T14:24:13.730+00:00,77.59,324.0
2026-09-02T14:20:13.300+00:00,77.62,20.0
2026-09-02T14:02:17.660+00:00,77.63,420.0
2026-09-02T14:02:16.880+00:00,77.63,95.0
2026-09-02T14:00:08.300+00:00,77.66,624.0
2026-09-02T14:00:07.600+00:00,77.66,626.0
2026-09-02T13:54:19.300+00:00,77.59,500.0
2026-09-02T13:52:59.000+00:00,77.52,60.0
2026-09-02T13:48:12.760+00:00,77.52,149.0
2026-09-02T13:43:19.560+00:00,77.55,56.0
2026-09-02T13:43:19.560+00:00,77.55,20.0
2026-09-02T13:43:19.560+00:00,77.55,20.0
2026-09-02T13:43:19.560+00:00,77.55,140.0
2026-09-02T13:32:12.210+00:00,77.68,40.0
2026-09-02T13:32:12.210+00:00,77.68,20.0
2026-09-02T13:32:12.210+00:00,77.68,20.0
2026-09-02T13:32:11.220+00:00,77.68,40.0
2026-09-02T13:32:11.220+00:00,77.68,20.0
2026-09-02T13:26:50.890+00:00,77.63,60.0
2026-09-02T13:16:33.980+00:00,77.55,9.0
2026-09-02T13:06:16.490+00:00,77.51,387.0
2026-09-02T13:06:16.490+00:00,77.5,540.0
2026-09-02T13:06:16.490+00:00,77.49,373.0
2026-09-02T12:54:09.050+00:00,77.54,6.0
2026-09-02T12:26:21.540+00:00,77.61,4.0
2026-09-02T12:16:03.040+00:00,77.59,346.0
2026-09-02T12:08:26.180+00:00,77.63,14.0
2026-09-02T12:08:26.180+00:00,77.63,14.0
2026-09-02T12:08:26.180+00:00,77.63,13.0
2026-09-02T12:08:26.180+00:00,77.63,14.0
2026-09-02T12:08:26.180+00:00,77.63,14.0
2026-09-02T12:08:26.180+00:00,77.63,6.0
2026-09-02T12:08:26.180+00:00,77.63,14.0
2026-09-02T12:08:26.180+00:00,77.63,14.0
2026-09-02T12:08:25.670+00:00,77.63,176.0
2026-09-02T11:54:24.550+00:00,77.53,181.0
2026-09-02T11:50:15.390+00:00,77.48,7.0
2026-09-02T11:44:44.730+00:00,77.51,500.0
2026-09-02T11:31:02.400+00:00,77.45,7.0
2026-09-02T11:30:54.600+00:00,77.47,116.0
2026-09-02T11:30:52.030+00:00,77.47,5.0
2026-09-02T11:30:34.660+00:00,77.46,18.0
2026-09-02T11:14:36.950+00:00,77.38,105.0
2026-09-02T11:13:10.340+00:00,77.36,0.0
2026-09-02T11:07:42.280+00:00,77.27,20.0
2026-09-02T11:07:42.280+00:00,77.27,100.0
2026-09-02T10:14:02.410+00:00,77.36,20.0
2026-09-02T10:14:02.410+00:00,77.36,81.0
2026-09-02T10:14:02.410+00:00,77.36,20.0
2026-09-02T09:56:20.890+00:00,77.41,20.0
2026-09-02T09:56:20.890+00:00,77.41,20.0
2026-09-02T09:53:53.430+00:00,77.37,40.0
2026-09-02T09:44:56.050+00:00,77.31,10.0
2026-09-02T09:44:29.140+00:00,77.32,134.0
2026-09-02T09:43:19.780+00:00,77.33,1899.0
2026-09-02T09:43:19.780+00:00,77.33,320.0
2026-09-02T09:43:19.780+00:00,77.33,1251.0
2026-09-02T09:37:53.100+00:00,77.31,58.0
2026-09-02T09:37:53.100+00:00,77.31,121.0
2026-09-02T09:37:53.100+00:00,77.31,121.0
2026-09-02T09:28:27.840+00:00,77.41,1.0
2026-09-02T09:19:10.890+00:00,77.46,38.0
2026-09-02T09:17:30.280+00:00,77.41,18.0
2026-09-02T09:14:17.750+00:00,77.46,20.0
2026-09-02T09:14:17.750+00:00,77.46,420.0
2026-09-02T09:14:17.750+00:00,77.46,20.0
2026-09-02T09:14:17.750+00:00,77.46,21.0
2026-09-02T09:14:17.750+00:00,77.46,20.0
2026-09-02T09:14:17.750+00:00,77.46,20.0
2026-09-02T09:14:17.750+00:00,77.46,20.0
2026-09-02T09:14:17.750+00:00,77.46,20.0
2026-09-02T09:12:17.090+00:00,77.49,278.0
2026-09-02T09:09:20.540+00:00,77.54,2.0
2026-09-02T09:06:11.760+00:00,77.54,60.0
2026-09-02T09:06:11.760+00:00,77.54,16.0
2026-09-02T09:06:11.760+00:00,77.54,119.0
2026-09-02T09:02:45.790+00:00,77.52,237.0
2026-09-02T09:01:47.300+00:00,77.5,253.0
2026-09-02T09:01:47.300+00:00,77.5,110.0
2026-09-02T09:01:01.620+00:00,77.49,137.0
2026-09-02T09:01:01.190+00:00,77.49,145.0
2026-09-02T09:01:00.370+00:00,77.49,152.0
2026-09-02T09:00:50.370+00:00,77.49,155.0
2026-09-02T09:00:18.490+00:00,77.47,20.0
2026-09-02T09:00:18.490+00:00,77.47,157.0
2026-09-02T09:00:18.490+00:00,77.47,60.0
2026-09-02T09:00:18.490+00:00,77.47,121.0
2026-09-02T09:00:18.490+00:00,77.47,41.0
2026-09-02T09:00:17.960+00:00,77.47,20.0
2026-09-02T09:00:17.090+00:00,77.47,20.0
2026-09-02T09:00:17.090+00:00,77.47,101.0
2026-09-02T09:00:17.090+00:00,77.47,20.0
2026-09-02T09:00:17.090+00:00,77.47,20.0
2026-09-02T09:00:17.090+00:00,77.47,40.0
2026-09-02T09:00:17.090+00:00,77.47,21.0
2026-09-02T09:00:16.480+00:00,77.46,13.0
2026-09-02T09:00:16.480+00:00,77.45,62.0
2026-09-02T08:47:16.430+00:00,77.52,81.0
2026-09-02T08:03:27.160+00:00,77.7,20.0
2026-09-02T08:03:27.160+00:00,77.7,20.0
2026-09-02T08:03:27.160+00:00,77.7,20.0
2026-09-02T08:03:27.160+00:00,77.7,120.0
2026-09-02T08:03:27.160+00:00,77.7,17.0
