datetime,date,open,high,low,close,quantity,turnover
2026-09-02,2026-09-02,1443,1445,1434,1444,7124,1.02531766E7
2026-09-01,2026-09-01,1460.6,1461,1436.4,1446.2,10099,1.46259474E7
2026-08-31,2026-08-31,1460.2,1461,1450.6,1451,7986,11625518
2026-08-28,2026-08-28,1458.8,1471.8,1456,1470.6,5140.0,7519200.0
2026-08-27,2026-08-27,1451,1459.4,1448,1455.2,15971,23246743
2026-08-26,2026-08-26,1437,1442.4,1432.4,1438.2,6898,9911571.6
2026-08-25,2026-08-25,1439.4,1444.8,1432.6,1437.6,15905,2.28862922E7
2026-08-24,2026-08-24,1431.2,1436.8,1422.4,1430.4,12913,1.84754522E7
2026-08-21,2026-08-21,1440.2,1447.6,1433.6,1442.8,16407,2.366891E7
2026-08-20,2026-08-20,1453.8,1454.6,1434,1437.2,10829,15630164
2026-08-19,2026-08-19,1458.6,1464.4,1443,1452.8,12190.0,17744029
2026-08-18,2026-08-18,1478.6,1479.2,1459.4,1462.6,17664,2.59491096E7
2026-08-17,2026-08-17,1497,1497.6,1489,1494.6,12197,18226533
2026-08-14,2026-08-14,1497.6,1499.4,1485.6,1485.6,7061,1.05561286E7
2026-08-13,2026-08-13,1483.8,1501.6,1480.4,1497,7936,1.18342618E7
2026-08-12,2026-08-12,1475.8,1485.8,1474.8,1479.8,10962,1.62192286E7
2026-08-11,2026-08-11,1476,1481.6,1469,1471.6,15518,2.29193378E7
2026-08-10,2026-08-10,1481.8,1484,1472.4,1475,7736,1.14374848E7
2026-08-07,2026-08-07,1467.4,1476.8,1464.2,1476.8,7028,1.03357442E7
2026-08-06,2026-08-06,1463,1472.8,1450.0,1468.2,12777,1.86737848E7
2026-08-05,2026-08-05,1484.6,1490.2,1474,1477.6,17097,2.53325176E7
2026-08-04,2026-08-04,1445.8,1473.2,1442,1471.6,19129,2.78042642E7
2026-08-03,2026-08-03,1419,1431,1404.2,1430.0,12633,1.79080574E7
2026-07-31,2026-07-31,1413.8,1429,1397.6,1401,26774,3.79280078E7
2026-07-30,2026-07-30,1372.4,1401.8,1366.4,1393,15315,2.12149474E7
2026-07-29,2026-07-29,1399.2,1406.4,1379.8,1384.8,17154,2.39519626E7
2026-07-28,2026-07-28,1404.6,1409.2,1386.8,1403.8,25342,35397717
2026-07-27,2026-07-27,1438.4,1441.6,1403.8,1406.6,11556,1.64583908E7
2026-07-24,2026-07-24,1433.2,1441,1419,1430.4,7131,10204791
2026-07-23,2026-07-23,1453.4,1458.2,1428.6,1433.2,11472,16597363
2026-07-22,2026-07-22,1455.6,1467.6,1450.0,1466.6,8872,1.29334124E7
2026-07-21,2026-07-21,1456.6,1466.6,1453.4,1465.6,10138,1.47898556E7
2026-07-20,2026-07-20,1438.4,1459,1437.6,1451.8,13381,1.93729724E7
2026-07-17,2026-07-17,1432.4,1441.6,1418.4,1434.4,31840.0,4.56164376E7
2026-07-16,2026-07-16,1476,1476,1458.2,1467.8,6005,8815366
2026-07-15,2026-07-15,1500.2,1500.8,1473.6,1476.8,8922,13295007
2026-07-14,2026-07-14,1481.8,1489.8,1474.4,1488.2,7878,1.16822512E7
2026-07-13,2026-07-13,1482.4,1487.4,1475,1486,12996,19267693
2026-07-10,2026-07-10,1487,1496.4,1483,1493.8,14110.0,2.10125484E7
2026-07-09,2026-07-09,1476.8,1492,1476,1489.8,18358,27195169
2026-07-08,2026-07-08,1462.2,1468.4,1445,1456,15054,2.19450124E7
2026-07-07,2026-07-07,1481.4,1482.4,1456.2,1462,15928,2.34659916E7
2026-07-06,2026-07-06,1489.2,1500.2,1485.8,1499,13031,1.94273742E7
2026-07-03,2026-07-03,1484.4,1491.4,1483.8,1488.8,10850.0,1.61466126E7
2026-07-02,2026-07-02,1495.6,1507,1474.6,1481.6,14396,2.15162892E7
2026-07-01,2026-07-01,1516.8,1520.8,1504.4,1516,14602,2.21194474E7
2026-06-30,2026-06-30,1502.8,1517.8,1497.6,1515.4,8139,1.22556572E7
2026-06-29,2026-06-29,1476,1486.8,1459.8,1481.2,13800.0,2.03956424E7
2026-06-26,2026-06-26,1472.6,1477.4,1454,1475,12461,1.82797522E7
2026-06-25,2026-06-25,1507.8,1515.2,1467,1480.4,20733,3.10016428E7
