datetime,value,quantity
2026-09-01T07:05:09.550+00:00,435.35,16.0
2026-09-01T07:09:25.850+00:00,435.25,9.0
2026-09-01T07:10:57.130+00:00,434.9,20.0
2026-09-01T07:12:07.280+00:00,434.95,1.0
2026-09-01T07:17:20.830+00:00,435.15,1.0
2026-09-01T07:30:36.940+00:00,435.35,23.0
2026-09-01T07:30:37.560+00:00,435.35,2.0
2026-09-01T07:31:35.620+00:00,435.4,46.0
2026-09-01T07:32:21.220+00:00,435.3,131.0
2026-09-01T07:45:03.200+00:00,434.4,22.0
2026-09-01T07:45:09.620+00:00,434.4,1.0
2026-09-01T07:48:47.810+00:00,434.5,1.0
2026-09-01T07:50:08.360+00:00,434.5,2.0
2026-09-01T07:51:16.190+00:00,434.3,5.0
2026-09-01T08:01:07.280+00:00,433.85,1.0
2026-09-01T08:06:03.090+00:00,433.55,5.0
2026-09-01T08:06:22.560+00:00,433.4,5.0
2026-09-01T08:06:33.590+00:00,433.25,246.0
2026-09-01T08:06:33.590+00:00,432.95,449.0
2026-09-01T08:06:33.590+00:00,433.0,2.0
2026-09-01T08:06:33.590+00:00,433.3,182.0
2026-09-01T08:06:33.610+00:00,432.9,1894.0
2026-09-01T08:10:09.200+00:00,432.65,8.0
2026-09-01T08:17:17.760+00:00,432.65,75.0
2026-09-01T08:27:41.910+00:00,431.9,4.0
2026-09-01T08:27:41.910+00:00,431.9,15.0
2026-09-01T08:27:41.910+00:00,431.9,89.0
2026-09-01T08:28:12.860+00:00,431.85,1.0
2026-09-01T08:39:15.450+00:00,431.5,5.0
2026-09-01T08:47:44.200+00:00,431.5,2.0
2026-09-01T08:50:31.200+00:00,431.25,3.0
2026-09-01T08:57:24.070+00:00,431.45,3.0
2026-09-01T09:05:54.020+00:00,430.75,11.0
2026-09-01T09:11:18.890+00:00,430.55,1.0
2026-09-01T09:14:00.810+00:00,430.4,2.0
2026-09-01T09:19:05.180+00:00,430.5,2.0
2026-09-01T09:23:22.620+00:00,430.2,1.0
2026-09-01T09:27:17.710+00:00,430.15,1.0
2026-09-01T09:36:06.550+00:00,430.35,2.0
2026-09-01T09:50:46.940+00:00,430.5,1.0
2026-09-01T09:50:47.020+00:00,430.5,1.0
2026-09-01T10:07:37.830+00:00,430.65,1.0
2026-09-01T10:16:04.100+00:00,430.8,10.0
2026-09-01T10:16:07.620+00:00,430.8,17.0
2026-09-01T10:16:10.650+00:00,430.8,169.0
2026-09-01T10:25:53.440+00:00,431.15,2.0
2026-09-01T10:31:18.330+00:00,431.15,1.0
2026-09-01T10:47:57.470+00:00,430.95,5.0
2026-09-01T10:51:27.790+00:00,430.55,6.0
2026-09-01T10:55:38.480+00:00,430.75,2.0
2026-09-01T11:06:58.870+00:00,430.35,1.0
2026-09-01T11:12:48.750+00:00,430.5,0.0
2026-09-01T11:21:38.730+00:00,430.4,3.0
2026-09-01T11:29:38.880+00:00,430.4,1.0
2026-09-01T11:37:00.890+00:00,430.8,1.0
2026-09-01T11:40:34.600+00:00,430.95,207.0
2026-09-01T11:42:14.810+00:00,431.05,7.0
2026-09-01T11:51:52.770+00:00,430.65,1.0
2026-09-01T11:57:40.910+00:00,430.0,5.0
2026-09-01T12:00:20.700+00:00,430.0,5.0
2026-09-01T12:04:41.490+00:00,430.2,2.0
2026-09-01T12:10:59.160+00:00,430.05,1.0
2026-09-01T12:18:28.840+00:00,429.95,1.0
2026-09-01T12:23:02.480+00:00,429.9,1.0
2026-09-01T12:26:29.180+00:00,429.85,1.0
2026-09-01T12:31:56.480+00:00,429.85,2.0
2026-09-01T12:32:47.090+00:00,429.75,1.0
2026-09-01T12:39:21.380+00:00,429.7,10.0
2026-09-01T12:39:21.610+00:00,429.7,15.0
2026-09-01T12:42:56.030+00:00,429.65,1.0
2026-09-01T12:58:14.240+00:00,429.3,1.0
2026-09-01T13:31:48.400+00:00,428.6,5.0
2026-09-01T13:33:11.590+00:00,429.05,2.0
2026-09-01T13:33:11.600+00:00,429.05,1.0
2026-09-01T13:41:00.900+00:00,428.25,150.0
2026-09-01T13:41:11.270+00:00,428.0,10.0
2026-09-01T13:44:22.160+00:00,428.55,5.0
2026-09-01T13:51:40.850+00:00,429.35,6.0
2026-09-01T13:51:40.850+00:00,429.35,5.0
2026-09-01T13:51:55.080+00:00,429.4,45.0
2026-09-01T13:52:32.220+00:00,429.25,1.0
2026-09-01T13:52:57.610+00:00,429.05,100.0
2026-09-01T13:53:27.540+00:00,429.05,100.0
2026-09-01T13:53:43.810+00:00,429.1,46.0
2026-09-01T13:54:35.850+00:00,429.15,33.0
2026-09-01T13:58:07.890+00:00,428.85,1.0
2026-09-01T13:58:28.540+00:00,428.85,5.0
2026-09-01T13:58:42.470+00:00,428.75,3.0
2026-09-01T13:59:12.530+00:00,428.95,5.0
2026-09-01T13:59:12.530+00:00,428.95,5.0
