datetime,date,open,high,low,close,quantity,turnover
2026-09-02,2026-09-02,430.05,430.55,427.55,430.45,2128,913405.2
2026-09-01,2026-09-01,435.35,435.4,428,431,5135,2218088.05
2026-08-31,2026-08-31,435.15,435.35,432.4,432.4,3098,1343882.5
2026-08-28,2026-08-28,434.6,438.55,434.05,438.4,1072,467072.35
2026-08-27,2026-08-27,432.45,434.7,432.25,433.65,2786,1207543.25
2026-08-26,2026-08-26,428.25,429.65,427,428.75,861,368524.65
2026-08-25,2026-08-25,429.05,430.35,426.95,428.2,4968,2127642.35
2026-08-24,2026-08-24,426.5,428.35,423.85,426.35,4644,1979426.7
2026-08-21,2026-08-21,429.15,431.3,427.7,429.8,942,404854.75
2026-08-20,2026-08-20,433.2,433.45,427.3,428.35,1759,757678.4
2026-08-19,2026-08-19,434.7,436.3,429.9,432.8,3363,1460755.5
2026-08-18,2026-08-18,440.55,440.6,435,436.05,1800.0,787535.35
2026-08-17,2026-08-17,446,446.35,443.9,445.4,3054,1358669.1
2026-08-14,2026-08-14,446.2,446.75,442.8,442.8,2559,1140766
2026-08-13,2026-08-13,442.3,447.05,441.25,446.15,1383,615727.85
2026-08-12,2026-08-12,439.85,445,439.5,440.95,6501,2868000.95
2026-08-11,2026-08-11,439.8,441.55,437.7,438.4,5026,2205561.35
2026-08-10,2026-08-10,441.6,442.2,438.85,439.5,1536,676970.25
2026-08-07,2026-08-07,437.3,440.1,436.35,440.05,1500.0,657590.7
2026-08-06,2026-08-06,435.95,438.95,432.3,437.6,2931,1275699.25
2026-08-05,2026-08-05,442.5,444,439.55,440.35,2273,1003859.15
2026-08-04,2026-08-04,430.8,440.15,429.75,438.7,2927,1268661.1
2026-08-03,2026-08-03,422.95,426.45,419.85,426.35,2988,1261012.45
2026-07-31,2026-07-31,421.9,425.8,417,417.75,3147,1326329
2026-07-30,2026-07-30,409.05,418.7,407.1,414.9,5176,2131052.05
2026-07-29,2026-07-29,417.05,419.25,410.05,412.8,2158,898576.5
2026-07-28,2026-07-28,418.6,419.8,413.35,418.3,4988,2084222.9
2026-07-27,2026-07-27,428.7,429.3,418.3,419.25,2101,889497.7
2026-07-24,2026-07-24,427,429.05,422.8,426.3,1800.0,768094
2026-07-23,2026-07-23,433.05,434.5,426.5,426.9,986,424677.55
2026-07-22,2026-07-22,433.9,438.9,432.9,437.05,3255,1413988.2
2026-07-21,2026-07-21,434.15,436.8,433.15,436.8,1473,640312.95
2026-07-20,2026-07-20,428.7,434.8,428.5,432.55,2728,1177630.3
2026-07-17,2026-07-17,427.2,429.9,423.1,427.7,7518,3209191.3
2026-07-16,2026-07-16,439.8,439.8,434.7,437.15,3087,1349427.45
2026-07-15,2026-07-15,446.95,446.95,439.75,440.5,1460.0,648765.65
2026-07-14,2026-07-14,441.65,444.95,439.3,443.55,892,393600.5
2026-07-13,2026-07-13,441.85,443.3,439.75,442.55,3604,1592713.8
2026-07-10,2026-07-10,443.1,445.95,441.95,445.35,1525,677124.75
2026-07-09,2026-07-09,440.2,444.2,440.05,443.95,1201,530980.25
2026-07-08,2026-07-08,435.8,437.55,430.75,433.8,10674,4616148.25
2026-07-07,2026-07-07,441.45,441.65,434,435.7,2296,1007357.9
2026-07-06,2026-07-06,443.95,447,442.75,446.8,1551,689920.8
2026-07-03,2026-07-03,442.35,444.25,442.15,443.55,1197,530531.95
2026-07-02,2026-07-02,445.65,449.05,440,441.65,4519,2014344.55
2026-07-01,2026-07-01,451.95,453,448.4,451.9,2210.0,996983.65
2026-06-30,2026-06-30,448.2,452.75,446.5,451.6,1106,497472.05
2026-06-29,2026-06-29,439.7,442.95,436,441.65,2101,925244.75
2026-06-26,2026-06-26,438.65,440,433.35,439.65,4955,2166681.4
2026-06-25,2026-06-25,449.4,451.3,438.55,441.25,3295,1467276.1
2026-06-24,2026-06-24,444.5,446.65,441.5,444.5,2556,1136887.25
2026-06-23,2026-06-23,444.75,447.1,440.8,443.35,4923,2186114.45
2026-06-22,2026-06-22,454.9,458.75,452.7,453,5556,2527368.95
2026-06-19,2026-06-19,452.3,453.45,451.1,453.15,1959,886805.7
2026-06-18,2026-06-18,447.3,451.9,447.2,451.2,2007,902967.95
2026-06-17,2026-06-17,445.9,446.1,443,444.3,2248,1000568.75
2026-06-16,2026-06-16,450.5,451.85,445.55,446.1,1769,795975.6
2026-06-15,2026-06-15,445.4,450.1,445.35,449.9,6102,2724482.15
