datetime,value,quantity
2026-09-01T07:05:12.940+00:00,362.7,0.0
2026-09-01T07:07:09.480+00:00,362.7,40.0
2026-09-01T07:07:44.960+00:00,362.64,37.0
2026-09-01T07:08:25.750+00:00,362.74,14.0
2026-09-01T07:30:33.130+00:00,362.52,23.0
2026-09-01T07:31:10.280+00:00,362.46,1.0
2026-09-01T07:53:56.430+00:00,359.74,42.0
2026-09-01T07:55:25.000+00:00,359.52,30.0
2026-09-01T08:06:33.580+00:00,357.12,20.0
2026-09-01T08:06:33.580+00:00,357.12,20.0
2026-09-01T08:06:33.580+00:00,357.12,20.0
2026-09-01T08:06:33.590+00:00,356.66,588.0
2026-09-01T08:06:33.590+00:00,356.58,100.0
2026-09-01T08:06:33.590+00:00,356.64,443.0
2026-09-01T08:07:07.110+00:00,356.3,27.0
2026-09-01T08:15:58.910+00:00,355.92,55.0
2026-09-01T08:15:58.910+00:00,356.0,135.0
2026-09-01T08:25:40.390+00:00,354.4,14.0
2026-09-01T08:27:41.910+00:00,353.7,9.0
2026-09-01T08:27:41.910+00:00,353.7,127.0
2026-09-01T08:32:09.300+00:00,353.64,12.0
2026-09-01T08:42:04.490+00:00,352.24,42.0
2026-09-01T08:45:25.970+00:00,352.56,3.0
2026-09-01T08:45:25.970+00:00,352.56,3.0
2026-09-01T08:45:26.580+00:00,352.6,4.0
2026-09-01T08:45:26.580+00:00,352.6,7.0
2026-09-01T08:51:04.950+00:00,351.98,190.0
2026-09-01T08:55:12.890+00:00,352.96,4.0
2026-09-01T08:55:48.590+00:00,352.76,12.0
2026-09-01T09:00:59.430+00:00,351.28,169.0
2026-09-01T09:17:53.100+00:00,350.56,7.0
2026-09-01T09:19:56.900+00:00,350.12,24.0
2026-09-01T09:20:25.380+00:00,350.08,16.0
2026-09-01T09:20:29.460+00:00,349.52,3.0
2026-09-01T09:20:43.360+00:00,349.78,30.0
2026-09-01T09:21:01.470+00:00,349.86,1.0
2026-09-01T09:36:43.310+00:00,350.26,20.0
2026-09-01T09:42:36.120+00:00,350.32,22.0
2026-09-01T09:46:21.480+00:00,350.9,29.0
2026-09-01T09:50:11.100+00:00,350.82,14.0
2026-09-01T10:08:45.690+00:00,350.48,24.0
2026-09-01T10:18:24.090+00:00,350.84,2.0
2026-09-01T10:36:11.430+00:00,352.3,6.0
2026-09-01T10:43:35.570+00:00,351.54,20.0
2026-09-01T10:50:08.470+00:00,351.04,1.0
2026-09-01T10:59:02.790+00:00,350.7,14.0
2026-09-01T11:00:36.830+00:00,350.3,2.0
2026-09-01T11:00:36.840+00:00,350.3,1.0
2026-09-01T11:05:50.300+00:00,349.78,14.0
2026-09-01T11:10:30.000+00:00,350.14,34.0
2026-09-01T11:10:30.500+00:00,350.14,6.0
2026-09-01T11:13:01.140+00:00,350.24,0.0
2026-09-01T11:19:40.470+00:00,350.48,113.0
2026-09-01T11:47:35.320+00:00,350.64,66.0
2026-09-01T11:51:29.090+00:00,350.5,3.0
2026-09-01T11:56:28.010+00:00,349.96,15.0
2026-09-01T11:58:57.740+00:00,349.16,1.0
2026-09-01T12:00:39.010+00:00,348.9,1.0
2026-09-01T12:00:54.900+00:00,348.98,14.0
2026-09-01T12:00:57.810+00:00,348.7,1.0
2026-09-01T12:10:31.230+00:00,348.9,13.0
2026-09-01T12:18:19.190+00:00,349.0,68.0
2026-09-01T12:42:26.090+00:00,347.88,15.0
2026-09-01T12:49:56.120+00:00,347.74,20.0
2026-09-01T13:03:17.310+00:00,346.68,89.0
2026-09-01T13:06:19.770+00:00,346.76,21.0
2026-09-01T13:11:10.320+00:00,346.5,2.0
2026-09-01T13:11:47.380+00:00,346.48,1.0
2026-09-01T13:24:44.370+00:00,347.1,14.0
2026-09-01T13:31:09.980+00:00,346.08,47.0
2026-09-01T13:31:43.910+00:00,346.06,9.0
2026-09-01T13:33:33.380+00:00,346.26,14.0
2026-09-01T13:33:33.380+00:00,346.26,60.0
2026-09-01T13:33:51.750+00:00,347.0,12.0
2026-09-01T13:34:19.760+00:00,346.36,13.0
2026-09-01T13:38:29.060+00:00,345.9,20.0
2026-09-01T13:38:57.110+00:00,345.82,96.0
2026-09-01T13:39:02.280+00:00,345.42,20.0
2026-09-01T13:40:24.100+00:00,345.0,10.0
2026-09-01T13:40:31.050+00:00,345.26,71.0
2026-09-01T13:40:41.530+00:00,345.84,64.0
2026-09-01T13:41:14.390+00:00,344.68,28.0
2026-09-01T13:42:11.430+00:00,344.44,2.0
2026-09-01T13:44:26.800+00:00,345.74,7.0
2026-09-01T13:44:26.810+00:00,345.74,1.0
2026-09-01T13:44:27.340+00:00,345.82,3.0
2026-09-01T13:44:27.340+00:00,345.82,6.0
2026-09-01T13:44:27.340+00:00,345.82,3.0
2026-09-01T13:47:13.130+00:00,347.26,20.0
2026-09-01T13:48:01.530+00:00,347.66,97.0
2026-09-01T13:48:54.440+00:00,347.44,20.0
2026-09-01T13:49:07.110+00:00,347.22,8.0
2026-09-01T13:49:07.110+00:00,347.22,10.0
2026-09-01T13:49:07.110+00:00,347.22,3.0
2026-09-01T13:50:39.510+00:00,348.06,79.0
2026-09-01T13:58:38.580+00:00,346.52,233.0
2026-09-01T13:58:39.170+00:00,346.52,147.0
2026-09-01T14:00:51.510+00:00,346.18,1.0
2026-09-01T14:00:51.510+00:00,346.18,4.0
2026-09-01T14:02:46.100+00:00,346.08,20.0
2026-09-01T14:04:16.760+00:00,346.64,5.0
2026-09-01T14:06:35.280+00:00,347.74,2.0
2026-09-01T14:07:32.060+00:00,348.06,67.0
2026-09-01T14:11:44.390+00:00,347.54,94.0
2026-09-01T14:14:59.170+00:00,347.64,8.0
2026-09-01T14:14:59.170+00:00,347.62,95.0
2026-09-01T14:18:38.110+00:00,348.3,86.0
2026-09-01T14:18:54.070+00:00,348.04,46.0
2026-09-01T14:19:56.630+00:00,347.94,105.0
2026-09-01T14:19:56.630+00:00,347.96,95.0
2026-09-01T14:27:59.950+00:00,348.78,16.0
2026-09-01T14:29:34.270+00:00,348.52,139.0
2026-09-01T14:29:49.710+00:00,348.64,4.0
2026-09-01T14:42:42.920+00:00,350.76,170.0
2026-09-01T14:43:39.060+00:00,351.0,26.0
2026-09-01T14:44:09.470+00:00,350.6,100.0
2026-09-01T14:48:24.280+00:00,352.22,143.0
2026-09-01T14:48:40.270+00:00,352.28,22.0
2026-09-01T14:48:55.370+00:00,352.22,147.0
2026-09-01T14:59:10.540+00:00,350.68,13.0
2026-09-01T15:07:56.680+00:00,350.0,3.0
2026-09-01T15:07:56.680+00:00,350.0,3.0
2026-09-01T15:07:56.690+00:00,350.0,2.0
2026-09-01T15:07:56.870+00:00,350.0,29.0
2026-09-01T15:08:07.200+00:00,349.86,7.0
2026-09-01T15:17:14.950+00:00,349.84,8.0
2026-09-01T15:18:04.880+00:00,349.96,14.0
2026-09-01T15:23:02.530+00:00,350.52,96.0
2026-09-01T15:29:00.000+00:00,350.74,15.0
2026-09-01T15:29:00.500+00:00,350.84,6.0
2026-09-01T15:35:53.370+00:00,351.54,0.0
2026-09-01T19:55:42.680+00:00,346.98,30.0
