datetime,date,open,high,low,close,quantity,turnover
2026-09-02,2026-09-02,347.4,350.24,341.5,349.96,9997,3473873.38
2026-09-01,2026-09-01,362.7,362.74,344.44,351.54,5632,1979069.64
2026-08-31,2026-08-31,361.84,362.1,355.72,356.42,3797,1362161.08
2026-08-28,2026-08-28,364.66,372.52,361.18,370.98,8120.0,2982931
2026-08-27,2026-08-27,359.82,365.54,357.74,362.36,11559,4183664.9
2026-08-26,2026-08-26,350.5,353.34,346.66,350.6,4015,1403184.84
2026-08-25,2026-08-25,351.98,355.9,348.68,351.48,4190.0,1477616.66
2026-08-24,2026-08-24,346.96,350.74,338.32,345.98,6498,2246253.78
2026-08-21,2026-08-21,355,360.06,350.1,355.84,8154,2899925.34
2026-08-20,2026-08-20,364.36,365.3,349.88,351.96,6881,2447416.98
2026-08-19,2026-08-19,363.06,369.14,356.22,362.38,6480.0,2345477.38
2026-08-18,2026-08-18,376.92,377.48,362.4,365.06,7435,2742703.7
2026-08-17,2026-08-17,392.52,392.52,387.06,390.46,4911,1914515.12
2026-08-14,2026-08-14,390.06,393.92,383.12,383.68,8604,3355986
2026-08-13,2026-08-13,378.2,392.54,376.48,389.22,10702,4131978.26
2026-08-12,2026-08-12,373.74,381.56,372.88,376.74,7707,2914720.36
2026-08-11,2026-08-11,374,379.06,370.06,370.92,7591,2849852.24
2026-08-10,2026-08-10,379.34,381.7,371.92,373.7,5664,2137240.56
2026-08-07,2026-08-07,366.68,376.84,366.6,376.18,9753,3626908.5
2026-08-06,2026-08-06,365.12,372.1,354.14,367.84,10267,3735471.24
2026-08-05,2026-08-05,381.96,387.88,372.98,376.56,14301,5429324.58
2026-08-04,2026-08-04,351.7,374.38,348.96,371.18,14231,5129585.9
2026-08-03,2026-08-03,334.6,341.7,326.46,340.46,10191,3391485.24
2026-07-31,2026-07-31,331.56,338.5,318.12,320.94,14486,4776601.68
2026-07-30,2026-07-30,299.64,323.2,295,316.22,24876,7636315.76
2026-07-29,2026-07-29,315.08,320.82,303.1,304.56,13741,4303104.48
2026-07-28,2026-07-28,317.66,320.28,304,318.34,11611,3648686.52
2026-07-27,2026-07-27,342.38,344.7,317.1,319.24,7542,2490349.4
2026-07-24,2026-07-24,338.74,343.88,328.46,336.68,11146,3749417.54
2026-07-23,2026-07-23,355.92,358.16,334.86,337.02,9606,3324314.16
2026-07-22,2026-07-22,357.36,365.66,353,365.16,3617,1296574.3
2026-07-21,2026-07-21,359.32,365.52,356.64,365.02,3847,1385866.58
2026-07-20,2026-07-20,346.84,360,346.48,355.08,4949,1747051.94
2026-07-17,2026-07-17,344.56,348.8,334.34,344.96,14358,4913294.7
2026-07-16,2026-07-16,377.72,377.72,363.04,369.76,9895,3672280.1
2026-07-15,2026-07-15,393.62,393.62,373.88,377.06,5988,2310839.3
2026-07-14,2026-07-14,377.4,391.56,375.88,385.32,5441,2071702.66
2026-07-13,2026-07-13,379.16,385.4,374.9,380.74,3751,1428790.84
2026-07-10,2026-07-10,385.3,392.48,382.42,390.76,4609,1780676.28
2026-07-09,2026-07-09,378.02,389.96,376.66,387.54,6343,2429293.54
2026-07-08,2026-07-08,366.28,372.54,352.5,360.26,10409,3736302.24
