datetime,date,open,high,low,close,quantity,turnover
2026-09-02,2026-09-02,308.75,311.85,307.05,311.65,1098,339334.3
2026-09-01,2026-09-01,312.8,312.9,307.95,309.65,12420.0,3856857.6
2026-08-31,2026-08-31,313.7,313.9,310.8,310.95,4904,1533445.8
2026-08-28,2026-08-28,314.75,318.5,314.45,318.45,3695,1166343.35
2026-08-27,2026-08-27,312.25,314.6,312,313.75,1128,353332.45
2026-08-26,2026-08-26,309.65,311,308.95,309.65,1775,550324
2026-08-25,2026-08-25,310.2,311.25,308.35,309.1,4565,1411460.15
2026-08-24,2026-08-24,308.3,309.3,307,308.1,1016,312765.3
2026-08-21,2026-08-21,307.85,310.3,307.85,310.3,3240.0,1001252.65
2026-08-20,2026-08-20,313.25,313.25,308.85,309.8,3596,1119225.45
2026-08-19,2026-08-19,313.25,315.6,312.8,314.15,3079,966273.8
2026-08-18,2026-08-18,316.15,316.35,313.95,314,5935,1870876.4
2026-08-17,2026-08-17,322,322.3,319.85,320.05,2502,802346.95
2026-08-14,2026-08-14,323.7,324.05,321.2,321.2,1246,402306.45
2026-08-13,2026-08-13,320.4,325.2,320.4,322.55,3932,1270892.2
2026-08-12,2026-08-12,318.9,320.4,318.55,318.85,2290.0,730692.75
2026-08-11,2026-08-11,320,321.55,319.25,319.25,2180.0,697607.85
2026-08-10,2026-08-10,320.5,321,319.35,320.05,3324,1064848.35
2026-08-07,2026-08-07,317.1,320,317,319.8,2256,717981.8
2026-08-06,2026-08-06,318.2,319.1,317.05,317.05,1714,545406.55
2026-08-05,2026-08-05,321.35,323,319,319,8012,2570704.45
2026-08-04,2026-08-04,310.1,316.35,308.85,316.3,4368,1364024.6
2026-08-03,2026-08-03,302.4,307.05,301.6,306.85,3165,961711.35
2026-07-31,2026-07-31,297.9,299.65,294.25,295.45,2492,743367.45
2026-07-30,2026-07-30,290.2,293.55,288.75,291.35,4024,1171007.05
2026-07-29,2026-07-29,299.4,300.35,292.85,293.85,3027,893566.6
2026-07-28,2026-07-28,296.3,298.95,295.6,298.75,4623,1375059
2026-07-27,2026-07-27,301.9,302.95,295.9,295.9,3457,1038839.95
2026-07-24,2026-07-24,297.25,300.5,296.35,300.1,12524,3724891.85
2026-07-23,2026-07-23,301.7,302.8,295.4,295.75,4062,1218923.6
2026-07-22,2026-07-22,302.35,305,301.75,304.9,4865,1473413.25
2026-07-21,2026-07-21,302.25,303.95,301.15,303.7,1810.0,546986.05
2026-07-20,2026-07-20,299.85,303.15,299.85,302.25,7795,2345345.55
2026-07-17,2026-07-17,300.7,302.8,297.95,300.75,5218,1569237.95
2026-07-16,2026-07-16,308.2,308.45,306.05,308.35,21400.0,6570928.8
2026-07-15,2026-07-15,308.5,310,307.5,307.65,3153,973663.4
2026-07-14,2026-07-14,305.95,308,304.2,306.8,14284,4380953.6
2026-07-13,2026-07-13,307.45,309.25,307,307.95,26385,8124433
2026-07-10,2026-07-10,305.85,308.7,305.65,307.75,3890.0,1193675.1
2026-07-09,2026-07-09,303.8,305.85,302.85,305.85,11302,3442432.3
