datetime,value,quantity
2026-09-02T19:48:57.120+00:00,311.55,16.0
2026-09-02T15:36:03.370+00:00,311.65,64.0
2026-09-02T15:23:05.520+00:00,311.55,32.0
2026-09-02T15:04:37.920+00:00,311.05,1.0
2026-09-02T15:02:05.760+00:00,310.9,4.0
2026-09-02T14:43:46.950+00:00,311.85,1.0
2026-09-02T14:42:23.270+00:00,311.65,15.0
2026-09-02T14:36:03.660+00:00,311.35,54.0
2026-09-02T14:29:13.320+00:00,311.2,1.0
2026-09-02T14:28:54.190+00:00,311.15,4.0
2026-09-02T14:25:14.380+00:00,311.0,94.0
2026-09-02T14:14:01.940+00:00,309.95,1.0
2026-09-02T14:12:23.500+00:00,309.75,1.0
2026-09-02T14:06:49.780+00:00,309.7,1.0
2026-09-02T13:59:30.550+00:00,308.75,9.0
2026-09-02T13:43:20.120+00:00,308.75,1.0
2026-09-02T13:32:42.180+00:00,308.45,1.0
2026-09-02T13:27:42.630+00:00,308.85,1.0
2026-09-02T13:23:49.640+00:00,308.55,15.0
2026-09-02T12:47:18.790+00:00,308.65,10.0
2026-09-02T12:32:51.410+00:00,308.85,190.0
2026-09-02T12:32:32.230+00:00,308.8,21.0
2026-09-02T12:21:49.850+00:00,309.6,11.0
2026-09-02T11:33:57.670+00:00,308.3,121.0
2026-09-02T11:33:57.670+00:00,308.3,171.0
2026-09-02T11:27:57.440+00:00,308.15,1.0
2026-09-02T11:27:39.510+00:00,308.0,20.0
2026-09-02T11:20:51.020+00:00,307.75,30.0
2026-09-02T11:12:49.560+00:00,307.55,0.0
2026-09-02T11:09:58.520+00:00,307.5,25.0
2026-09-02T10:52:00.880+00:00,307.3,1.0
2026-09-02T10:39:09.760+00:00,307.1,20.0
2026-09-02T10:32:47.150+00:00,307.2,4.0
2026-09-02T10:19:09.860+00:00,307.35,13.0
2026-09-02T10:19:09.860+00:00,307.35,1.0
2026-09-02T09:51:10.730+00:00,307.05,40.0
2026-09-02T09:32:15.070+00:00,307.05,1.0
2026-09-02T09:04:19.550+00:00,307.6,18.0
2026-09-02T08:47:03.960+00:00,307.8,11.0
2026-09-02T08:36:44.110+00:00,307.85,5.0
2026-09-02T08:22:16.390+00:00,308.05,13.0
2026-09-02T08:15:17.300+00:00,308.45,1.0
2026-09-02T08:07:14.180+00:00,308.3,1.0
2026-09-02T07:52:40.970+00:00,308.1,5.0
2026-09-02T07:52:27.790+00:00,308.15,1.0
2026-09-02T07:40:18.870+00:00,308.3,20.0
2026-09-02T07:40:18.860+00:00,308.3,4.0
2026-09-02T07:30:52.000+00:00,308.75,5.0
2026-09-02T07:20:31.090+00:00,308.9,1.0
2026-09-02T07:04:50.750+00:00,308.75,33.0
2026-09-01T15:35:59.410+00:00,309.65,189.0
2026-09-01T15:28:57.180+00:00,309.35,403.0
2026-09-01T15:26:34.520+00:00,309.45,9.0
2026-09-01T15:22:23.230+00:00,309.4,1.0
2026-09-01T15:19:53.760+00:00,309.55,4.0
2026-09-01T15:13:12.430+00:00,308.9,1.0
2026-09-01T15:04:08.880+00:00,309.25,31.0
2026-09-01T15:04:08.880+00:00,309.25,205.0
2026-09-01T15:04:08.880+00:00,309.25,114.0
2026-09-01T14:52:02.810+00:00,309.7,1.0
2026-09-01T14:40:33.650+00:00,310.05,2.0
2026-09-01T14:35:18.160+00:00,310.3,105.0
2026-09-01T14:33:20.510+00:00,310.0,1.0
2026-09-01T14:32:06.620+00:00,310.05,3.0
2026-09-01T14:27:26.260+00:00,309.65,4.0
2026-09-01T14:27:09.530+00:00,309.75,1.0
2026-09-01T14:26:44.540+00:00,309.7,4.0
2026-09-01T14:22:30.270+00:00,309.5,50.0
2026-09-01T14:18:10.820+00:00,309.3,1.0
2026-09-01T14:17:57.760+00:00,309.25,43.0
2026-09-01T14:12:13.480+00:00,308.5,35.0
2026-09-01T14:12:13.370+00:00,308.5,135.0
2026-09-01T14:12:13.370+00:00,308.5,105.0
2026-09-01T14:12:13.370+00:00,308.5,105.0
2026-09-01T14:12:10.060+00:00,308.5,117.0
2026-09-01T14:11:09.180+00:00,308.75,356.0
2026-09-01T14:11:05.580+00:00,308.8,140.0
2026-09-01T14:11:05.580+00:00,308.8,134.0
2026-09-01T14:10:40.110+00:00,308.7,13.0
2026-09-01T14:10:39.120+00:00,308.7,139.0
2026-09-01T14:06:40.280+00:00,308.7,134.0
2026-09-01T14:04:59.170+00:00,308.35,79.0
2026-09-01T13:55:57.490+00:00,308.05,3.0
2026-09-01T13:54:52.530+00:00,307.95,148.0
2026-09-01T13:51:41.300+00:00,308.4,214.0
2026-09-01T13:50:21.720+00:00,308.65,1.0
2026-09-01T13:40:30.960+00:00,308.1,295.0
2026-09-01T13:39:47.890+00:00,308.35,1.0
2026-09-01T13:36:49.430+00:00,308.55,1.0
2026-09-01T13:30:29.070+00:00,308.0,5.0
2026-09-01T13:30:10.660+00:00,308.1,16.0
2026-09-01T13:10:00.250+00:00,308.35,1.0
2026-09-01T13:03:17.130+00:00,308.15,164.0
2026-09-01T12:50:01.760+00:00,308.65,3.0
2026-09-01T12:45:01.820+00:00,308.6,1.0
2026-09-01T12:36:09.430+00:00,308.6,1.0
2026-09-01T12:20:07.390+00:00,308.85,1.0
2026-09-01T12:07:02.870+00:00,308.9,1.0
2026-09-01T11:58:19.300+00:00,309.0,5.0
2026-09-01T11:57:32.800+00:00,309.0,2.0
2026-09-01T11:53:02.320+00:00,309.5,6.0
2026-09-01T11:51:37.460+00:00,309.35,31.0
2026-09-01T11:44:07.980+00:00,309.75,1.0
2026-09-01T11:40:57.500+00:00,309.7,1.0
2026-09-01T11:40:57.500+00:00,309.7,1.0
2026-09-01T11:39:22.090+00:00,309.4,6.0
2026-09-01T11:22:26.640+00:00,309.25,1.0
2026-09-01T11:15:12.140+00:00,309.3,1.0
2026-09-01T11:12:58.230+00:00,309.3,0.0
2026-09-01T11:06:39.010+00:00,309.3,6.0
2026-09-01T11:00:04.750+00:00,309.3,3.0
2026-09-01T10:52:41.950+00:00,309.2,1.0
2026-09-01T10:47:57.430+00:00,309.45,521.0
2026-09-01T10:47:57.430+00:00,309.5,379.0
2026-09-01T10:43:49.640+00:00,309.65,1.0
2026-09-01T10:43:49.630+00:00,309.65,1.0
2026-09-01T10:39:15.420+00:00,309.95,1.0
2026-09-01T10:32:02.340+00:00,309.6,66.0
2026-09-01T10:23:51.970+00:00,309.65,1.0
2026-09-01T10:23:09.830+00:00,309.6,46.0
2026-09-01T10:23:09.830+00:00,309.6,333.0
2026-09-01T10:23:09.830+00:00,309.55,48.0
2026-09-01T10:23:09.830+00:00,309.5,616.0
2026-09-01T10:20:15.680+00:00,309.0,16.0
2026-09-01T10:20:15.550+00:00,309.0,1.0
2026-09-01T10:16:13.590+00:00,309.1,94.0
2026-09-01T10:04:49.190+00:00,308.85,40.0
2026-09-01T10:03:19.670+00:00,309.05,5.0
2026-09-01T09:58:40.290+00:00,308.9,8.0
2026-09-01T09:43:39.140+00:00,308.8,1.0
2026-09-01T09:37:48.210+00:00,308.6,195.0
2026-09-01T09:37:28.730+00:00,308.7,1.0
2026-09-01T09:18:26.730+00:00,308.9,1.0
2026-09-01T09:00:17.480+00:00,309.3,8.0
2026-09-01T08:54:37.110+00:00,309.95,1.0
2026-09-01T08:51:15.900+00:00,309.45,390.0
2026-09-01T08:44:13.620+00:00,309.65,3.0
2026-09-01T08:43:07.210+00:00,309.5,100.0
2026-09-01T08:31:22.070+00:00,310.0,1.0
2026-09-01T08:27:41.920+00:00,310.15,96.0
2026-09-01T08:20:09.510+00:00,310.4,50.0
2026-09-01T08:20:04.830+00:00,310.45,1.0
2026-09-01T08:20:04.680+00:00,310.45,1.0
2026-09-01T08:12:04.140+00:00,311.05,1.0
2026-09-01T08:09:50.960+00:00,311.0,5.0
2026-09-01T08:06:48.000+00:00,311.25,500.0
2026-09-01T08:06:33.590+00:00,311.45,208.0
2026-09-01T08:01:04.400+00:00,311.8,491.0
2026-09-01T08:01:04.400+00:00,311.8,9.0
2026-09-01T07:52:35.700+00:00,312.15,124.0
2026-09-01T07:47:16.200+00:00,311.85,335.0
2026-09-01T07:47:16.200+00:00,311.85,165.0
2026-09-01T07:46:56.990+00:00,311.8,1.0
2026-09-01T07:44:23.290+00:00,312.0,408.0
2026-09-01T07:44:23.290+00:00,312.0,219.0
2026-09-01T07:44:23.290+00:00,312.0,219.0
2026-09-01T07:44:23.160+00:00,312.0,220.0
2026-09-01T07:44:23.160+00:00,312.0,136.0
2026-09-01T07:44:22.980+00:00,312.0,136.0
2026-09-01T07:44:22.960+00:00,312.0,162.0
2026-09-01T07:43:36.490+00:00,311.95,20.0
2026-09-01T07:43:12.260+00:00,312.2,1.0
2026-09-01T07:40:24.880+00:00,312.05,1.0
2026-09-01T07:40:24.670+00:00,312.05,24.0
2026-09-01T07:38:08.950+00:00,312.3,149.0
2026-09-01T07:38:08.950+00:00,312.3,192.0
2026-09-01T07:38:07.910+00:00,312.3,300.0
2026-09-01T07:36:25.610+00:00,312.35,1.0
2026-09-01T07:36:25.560+00:00,312.35,18.0
2026-09-01T07:21:58.330+00:00,312.85,129.0
