datetime,date,open,high,low,close,quantity,turnover
2026-09-02,2026-09-02,1.9546,1.9795,1.8902,1.9765,36186,70458.6888
2026-09-01,2026-09-01,2.1068,2.1068,1.934,1.9976,80352,160901.202
2026-08-31,2026-08-31,2.089,2.0984,2.05,2.05,25990.0,54302.74
2026-08-28,2026-08-28,2.1266,2.1968,2.0896,2.1856,21642,46246.1758
2026-08-27,2026-08-27,2.0874,2.14,2.07,2.1106,40791,85856.1762
2026-08-26,2026-08-26,2.0002,2.004,1.9697,1.9988,5871,11657.1337
2026-08-25,2026-08-25,2.0116,2.0578,1.9888,2.0072,12207,24660.682
2026-08-24,2026-08-24,1.9686,1.9958,1.8902,1.9607,91001,176589.9131
2026-08-21,2026-08-21,2.0486,2.1,1.994,2.054,10009,20370.8656
2026-08-20,2026-08-20,2.1392,2.1392,2.007,2.0158,18809,38397.3426
2026-08-19,2026-08-19,2.1134,2.1722,2.0404,2.1214,25332,53434.2822
2026-08-18,2026-08-18,2.2546,2.2546,2.1324,2.1358,27934,61059.5846
2026-08-17,2026-08-17,2.4152,2.4232,2.3698,2.3946,42148,101019.7718
2026-08-14,2026-08-14,2.3826,2.4074,2.3214,2.3214,20007,47133.725
2026-08-13,2026-08-13,2.2606,2.402,2.258,2.372,20124,46342.2184
2026-08-12,2026-08-12,2.2176,2.3214,2.2136,2.253,41850.0,93793.0032
2026-08-11,2026-08-11,2.2272,2.2736,2.19,2.1944,11887,26522.431
2026-08-10,2026-08-10,2.2794,2.295,2.223,2.2232,11775,26493.754
2026-08-07,2026-08-07,2.1556,2.257,2.1556,2.2492,60696,132005.2328
2026-08-06,2026-08-06,2.1506,2.2024,2.06,2.168,45702,97513.559
2026-08-05,2026-08-05,2.3122,2.349,2.2486,2.2594,96043,219278.1724
2026-08-04,2026-08-04,2.01,2.2088,1.9994,2.2048,91763,189943.3968
2026-08-03,2026-08-03,1.859,1.92,1.77,1.9149,27758,51375.7934
2026-07-31,2026-07-31,1.8348,1.897,1.7259,1.7366,116888,213907.0053
2026-07-30,2026-07-30,1.5504,1.7446,1.5111,1.6977,87910.0,139438.7409
2026-07-29,2026-07-29,1.6877,1.7212,1.5746,1.5895,94443,157243.8239
2026-07-28,2026-07-28,1.7024,1.7282,1.6069,1.7158,117342,197153.5328
2026-07-27,2026-07-27,1.9412,1.958,1.72,1.7203,53905,100440.9061
2026-07-24,2026-07-24,1.906,1.9447,1.81,1.8802,138489,257516.6486
2026-07-23,2026-07-23,2.0794,2.1,1.8733,1.8884,144099,289644.6632
2026-07-22,2026-07-22,2.0908,2.178,2.059,2.1696,152131,317918.399
2026-07-21,2026-07-21,2.1114,2.1668,2.0824,2.1638,13682,28876.0912
2026-07-20,2026-07-20,1.9997,2.1214,1.9974,2.0706,41452,84609.3386
2026-07-17,2026-07-17,1.975,2.02,1.88,1.9668,116166,229954.6342
2026-07-16,2026-07-16,2.313,2.313,2.1616,2.226,46581,103085.5892
2026-07-15,2026-07-15,2.4772,2.48,2.2952,2.2952,105281,248491.4256
2026-07-14,2026-07-14,2.3018,2.4104,2.29,2.391,60378,143039.7502
2026-07-13,2026-07-13,2.34,2.372,2.276,2.3424,83118,193474.6124
2026-07-10,2026-07-10,2.3998,2.46,2.3686,2.4536,65167,158929.3942
2026-07-09,2026-07-09,2.328,2.4264,2.313,2.4214,119208,284814.71
2026-07-08,2026-07-08,2.2068,2.2456,2.0652,2.144,350850.0,754709.9772
2026-07-07,2026-07-07,2.358,2.373,2.17,2.1934,96172,217503.3966
2026-07-06,2026-07-06,2.4274,2.5048,2.427,2.4996,13255,32549.1236
2026-07-03,2026-07-03,2.4426,2.4698,2.4244,2.442,79228,193351.9108
2026-07-02,2026-07-02,2.4642,2.624,2.3448,2.4084,118804,294997.639
2026-07-01,2026-07-01,2.68,2.6926,2.55,2.6442,129847,339446.2608
2026-06-30,2026-06-30,2.5644,2.6872,2.5208,2.6838,21582,55819.5418
2026-06-29,2026-06-29,2.3548,2.439,2.26,2.4132,199429,475938.608
2026-06-26,2026-06-26,2.307,2.3572,2.2,2.3572,169307,384045.0294
2026-06-25,2026-06-25,2.581,2.6212,2.2148,2.3796,140184,342300.4172
2026-06-24,2026-06-24,2.461,2.5098,2.3836,2.4618,183071,450899.9496
2026-06-23,2026-06-23,2.5648,2.578,2.39,2.4562,552902,1368377.8568
2026-06-22,2026-06-22,2.8952,2.9724,2.7972,2.8158,445701,1292804.1198
2026-06-19,2026-06-19,2.81,2.8596,2.7926,2.8342,372815,1043299.9022
2026-06-18,2026-06-18,2.7436,2.836,2.7398,2.8184,602553,1667820.8544
2026-06-17,2026-06-17,2.7914,2.7914,2.706,2.7352,36526,99114.9312
2026-06-16,2026-06-16,2.9362,3,2.7778,2.7778,427759,1262623.198
2026-06-15,2026-06-15,2.814,2.938,2.814,2.9316,281623,806333.827
2026-06-12,2026-06-12,2.4272,2.6094,2.4,2.5934,148504,375619.2716
2026-06-11,2026-06-11,2.2344,2.3338,2.19,2.253,75723,173167.319
2026-06-10,2026-06-10,2.3208,2.4216,2.1946,2.2342,184664,423178.5826
2026-06-09,2026-06-09,2.627,2.6698,2.263,2.2686,179092,464750.6754
2026-06-08,2026-06-08,2.4066,2.6358,2.4066,2.5812,209929,523648.6788
2026-06-05,2026-06-05,2.8778,2.9436,2.702,2.702,386902,1114010.3644
2026-06-04,2026-06-04,3.1128,3.1128,2.9108,3.0536,78702,235590.4394
2026-06-03,2026-06-03,3.1938,3.2348,3.099,3.1664,301288,959365.7044
2026-06-02,2026-06-02,3.0996,3.1814,3.0996,3.1814,31634,98638.2748
2026-06-01,2026-06-01,3.121,3.121,3,3.1126,163914,501284.6994
2026-05-29,2026-05-29,3,3.0826,2.9768,3.0282,54506,163905.9098
2026-05-28,2026-05-28,2.8166,2.976,2.7994,2.976,53458,152609.2304
2026-05-27,2026-05-27,2.8986,3.006,2.7806,2.8248,263293,782869.0428
2026-05-26,2026-05-26,2.7676,2.9,2.7384,2.8538,306809,851442.469
2026-05-25,2026-05-25,2.8576,2.87,2.7914,2.824,26545,75649.9974
2026-05-22,2026-05-22,2.6132,2.725,2.612,2.7218,51992,138526.791
2026-05-21,2026-05-21,2.5332,2.617,2.482,2.5064,26936,68350.581
2026-05-20,2026-05-20,2.4408,2.56,2.4408,2.5584,379758,941179.4108
2026-05-19,2026-05-19,2.4278,2.4508,2.3,2.3358,27839,66448.666
2026-05-18,2026-05-18,2.4748,2.5706,2.4068,2.4278,94710.0,231716.3264
2026-05-15,2026-05-15,2.6304,2.6304,2.4796,2.5914,349411,886587.7212
2026-05-14,2026-05-14,2.6616,2.7588,2.6296,2.7462,127562,343961.7224
2026-05-13,2026-05-13,2.5472,2.6046,2.4696,2.5608,98162,251336.2504
2026-05-12,2026-05-12,2.4996,2.5396,2.3546,2.3642,230423,573908.1188
2026-05-11,2026-05-11,2.5436,2.6124,2.5182,2.5826,65508,167733.6716
2026-05-08,2026-05-08,2.3596,2.497,2.35,2.497,45671,110112.9716
2026-05-07,2026-05-07,2.3214,2.3826,2.3,2.3736,54997,128178.1616
