datetime,value,quantity
2026-09-02T15:35:57.650+00:00,1.9765,0.0
2026-09-02T15:23:16.050+00:00,1.9774,332.0
2026-09-02T15:15:51.920+00:00,1.9697,506.0
2026-09-02T14:43:52.950+00:00,1.9671,11785.0
2026-09-02T14:43:52.950+00:00,1.9795,750.0
2026-09-02T14:43:52.950+00:00,1.9671,5338.0
2026-09-02T14:30:17.220+00:00,1.9766,2541.0
2026-09-02T13:54:27.760+00:00,1.9252,3376.0
2026-09-02T11:18:17.890+00:00,1.9224,220.0
2026-09-02T11:13:07.980+00:00,1.9138,0.0
2026-09-02T11:06:39.470+00:00,1.8983,10.0
2026-09-02T11:02:25.380+00:00,1.901,10.0
2026-09-02T11:02:25.380+00:00,1.8997,100.0
2026-09-02T10:59:02.330+00:00,1.913,100.0
2026-09-02T10:52:24.730+00:00,1.908,1059.0
2026-09-02T10:25:32.790+00:00,1.9338,198.0
2026-09-02T10:24:15.390+00:00,1.9126,1.0
2026-09-02T10:21:45.360+00:00,1.9148,10.0
2026-09-02T09:36:12.780+00:00,1.8972,500.0
2026-09-02T09:36:06.560+00:00,1.904,10.0
2026-09-02T09:14:08.180+00:00,1.9107,500.0
2026-09-02T08:58:49.690+00:00,1.9121,10.0
2026-09-02T08:55:54.700+00:00,1.9096,10.0
2026-09-02T08:55:11.970+00:00,1.9063,24.0
2026-09-02T08:54:33.670+00:00,1.9017,750.0
2026-09-02T08:54:33.670+00:00,1.8902,2750.0
2026-09-02T08:53:55.620+00:00,1.91,285.0
2026-09-02T08:53:55.550+00:00,1.91,1041.0
2026-09-02T08:53:50.530+00:00,1.91,374.0
2026-09-02T08:53:45.530+00:00,1.914,10.0
2026-09-02T08:51:37.840+00:00,1.9221,1411.0
2026-09-02T08:51:37.840+00:00,1.922,10.0
2026-09-02T08:43:17.350+00:00,1.933,10.0
2026-09-02T08:37:04.700+00:00,1.9367,100.0
2026-09-02T08:21:43.970+00:00,1.934,78.0
2026-09-02T08:21:05.300+00:00,1.9378,1.0
2026-09-02T08:19:59.140+00:00,1.94,10.0
2026-09-02T08:16:48.280+00:00,1.9461,200.0
2026-09-02T08:00:19.030+00:00,1.94,1.0
2026-09-02T08:00:19.030+00:00,1.94,299.0
2026-09-02T07:39:34.820+00:00,1.944,10.0
2026-09-02T07:29:05.640+00:00,1.9531,640.0
2026-09-02T07:05:08.680+00:00,1.9546,816.0
2026-09-01T15:36:03.420+00:00,1.9976,0.0
2026-09-01T15:23:06.770+00:00,1.9722,9270.0
2026-09-01T15:23:06.770+00:00,1.9834,730.0
2026-09-01T15:23:00.970+00:00,1.9854,928.0
2026-09-01T15:23:00.970+00:00,1.9876,4072.0
2026-09-01T15:12:09.760+00:00,1.9802,500.0
2026-09-01T15:02:06.520+00:00,1.9898,106.0
2026-09-01T14:49:47.930+00:00,1.9878,12250.0
2026-09-01T14:25:23.930+00:00,1.9732,260.0
2026-09-01T14:10:01.620+00:00,1.9864,540.0
2026-09-01T14:10:01.620+00:00,1.9694,730.0
2026-09-01T14:10:01.620+00:00,1.9684,730.0
2026-09-01T14:05:03.800+00:00,1.9528,10.0
2026-09-01T14:03:40.120+00:00,1.968,10.0
2026-09-01T14:02:09.540+00:00,1.961,250.0
2026-09-01T13:58:43.040+00:00,1.95,10.0
2026-09-01T13:50:32.840+00:00,1.9706,730.0
2026-09-01T13:50:32.840+00:00,2.0082,9270.0
2026-09-01T13:41:11.600+00:00,1.934,20.0
2026-09-01T13:40:34.260+00:00,1.9432,10.0
2026-09-01T13:34:28.140+00:00,1.9472,106.0
2026-09-01T13:32:24.070+00:00,1.944,20.0
2026-09-01T13:08:53.590+00:00,1.9516,10.0
2026-09-01T13:06:58.610+00:00,1.9498,10000.0
2026-09-01T13:06:58.600+00:00,1.95,100.0
2026-09-01T13:01:53.910+00:00,1.953,10.0
2026-09-01T12:50:26.950+00:00,1.96,10.0
2026-09-01T12:31:34.380+00:00,1.97,480.0
2026-09-01T12:19:11.610+00:00,1.9718,200.0
2026-09-01T12:00:27.910+00:00,1.97,10.0
2026-09-01T11:56:47.670+00:00,1.98,110.0
2026-09-01T11:44:51.630+00:00,1.9966,100.0
2026-09-01T11:13:11.620+00:00,1.9852,150.0
2026-09-01T10:50:10.570+00:00,1.9896,730.0
2026-09-01T10:50:10.570+00:00,1.9802,70.0
2026-09-01T09:14:34.410+00:00,1.9926,10.0
2026-09-01T08:59:21.680+00:00,2.0,1500.0
2026-09-01T08:56:17.700+00:00,2.0094,730.0
2026-09-01T08:56:17.700+00:00,2.0108,9408.0
2026-09-01T08:37:56.970+00:00,2.01,995.0
2026-09-01T08:13:36.560+00:00,2.0444,150.0
2026-09-01T08:12:14.270+00:00,2.0412,730.0
2026-09-01T08:09:51.570+00:00,2.037,5000.0
2026-09-01T08:09:51.470+00:00,2.035,982.0
2026-09-01T08:06:33.610+00:00,2.05,66.0
2026-09-01T07:05:06.770+00:00,2.1068,8249.0
