"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.08.2026","445,97","442,35","447,31","441,27","1,47K","1,15%"
"12.08.2026","440,92","439,70","442,41","439,61","7,93K","0,50%"
"11.08.2026","438,74","439,76","441,36","437,01","3,75K","-0,16%"
"10.08.2026","439,46","441,44","442,19","438,82","0,60K","-0,12%"
"07.08.2026","439,98","437,38","439,89","436,68","2,97K","0,45%"
"06.08.2026","438,03","435,94","441,73","432,49","3,26K","-0,53%"
"05.08.2026","440,37","442,58","443,78","440,00","4,26K","0,44%"
"04.08.2026","438,46","430,91","438,66","429,89","12,66K","2,92%"
"03.08.2026","426,02","422,63","426,21","418,58","2,31K","2,02%"
"31.07.2026","417,59","421,17","425,38","416,53","8,89K","0,59%"
"30.07.2026","415,16","409,28","417,77","407,00","12,06K","0,69%"
"29.07.2026","412,33","417,06","418,88","411,24","2,12K","-1,42%"
"28.07.2026","418,26","418,67","419,88","413,64","3,24K","-0,43%"
"27.07.2026","420,08","428,59","429,44","418,66","1,72K","-1,42%"
"24.07.2026","426,11","427,32","429,28","423,44","2,45K","-0,15%"
"23.07.2026","426,74","433,02","434,43","426,30","1,58K","-2,36%"
"22.07.2026","437,05","433,81","437,26","432,75","2,42K","0,01%"
"21.07.2026","437,00","434,10","437,00","433,28","0,67K","1,00%"
"20.07.2026","432,66","428,68","434,68","428,38","2,85K","1,23%"
"17.07.2026","427,39","427,18","429,50","422,43","8,01K","-2,30%"
"16.07.2026","437,46","439,59","439,94","435,06","2,95K","-0,70%"
"15.07.2026","440,54","446,76","447,10","439,67","1,37K","-0,77%"
"14.07.2026","443,95","441,26","443,06","439,46","0,88K","0,24%"
"13.07.2026","442,89","442,04","442,89","440,00","2,77K","-0,59%"
"10.07.2026","445,51","443,04","445,75","441,81","3,91K","0,39%"
"09.07.2026","443,77","440,17","444,44","440,00","4,85K","2,35%"
"08.07.2026","433,59","435,80","437,47","430,90","4,01K","-0,39%"
"07.07.2026","435,28","441,53","441,53","434,11","3,59K","-2,59%"
"06.07.2026","446,84","443,76","447,13","443,00","2,26K","0,76%"
"03.07.2026","443,46","442,38","444,44","442,18","1,04K","0,42%"
"02.07.2026","441,62","445,70","449,07","439,30","4,65K","-2,31%"
"01.07.2026","452,05","451,84","453,17","443,62","2,67K","0,10%"
"30.06.2026","451,59","448,14","452,33","446,40","3,24K","2,34%"
"29.06.2026","441,28","439,95","443,07","435,36","1,49K","0,33%"
"26.06.2026","439,85","438,97","439,85","433,35","1,96K","-0,35%"
"25.06.2026","441,38","449,48","450,65","437,49","5,48K","-0,63%"
"24.06.2026","444,17","444,55","446,28","442,00","1,94K","0,27%"
"23.06.2026","442,98","444,32","449,54","440,69","9,54K","-2,22%"
"22.06.2026","453,02","454,77","458,58","452,62","7,82K","-0,06%"
"19.06.2026","453,28","452,30","453,43","451,21","1,46K","0,45%"
"18.06.2026","451,26","447,39","453,24","447,04","3,26K","1,59%"
"17.06.2026","444,20","445,69","446,11","443,00","2,14K","-0,36%"
"16.06.2026","445,80","450,59","452,04","445,80","1,34K","-0,90%"
"15.06.2026","449,85","445,51","450,19","445,07","8,36K","2,60%"
"12.06.2026","438,45","433,42","439,13","432,78","5,47K","2,52%"
"11.06.2026","427,66","426,57","430,41","424,77","10,07K","0,43%"
"10.06.2026","425,81","428,62","431,65","423,89","12,56K","-0,22%"
"09.06.2026","426,73","439,33","439,50","426,68","4,73K","-2,63%"
"08.06.2026","438,26","431,88","440,10","431,69","5,03K","-0,26%"
"05.06.2026","439,42","442,61","444,18","439,42","7,14K","-1,75%"
"04.06.2026","447,24","449,32","449,56","443,01","4,22K","-0,78%"
"03.06.2026","450,76","451,43","456,61","449,91","4,57K","0,15%"
"02.06.2026","450,10","447,50","450,10","446,83","4,80K","0,33%"
"01.06.2026","448,60","447,94","448,60","445,04","3,69K","0,93%"
"29.05.2026","444,47","444,68","450,47","443,74","1,55K","0,25%"
"28.05.2026","443,35","440,00","443,35","439,22","1,75K","0,84%"
