"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.08.2026","637,90","631,70","639,00","630,50","1,96K","1,25%"
"12.08.2026","630,00","628,20","632,10","627,90","8,06K","0,56%"
"11.08.2026","626,50","628,30","630,60","625,60","4,25K","-0,18%"
"10.08.2026","627,60","630,60","631,60","627,40","2,35K","-0,14%"
"07.08.2026","628,50","624,60","628,50","624,10","4,05K","0,56%"
"06.08.2026","625,00","622,70","626,40","617,60","6,10K","-0,64%"
"05.08.2026","629,00","631,90","634,10","628,10","6,27K","0,38%"
"04.08.2026","626,60","615,50","626,70","614,00","28,12K","2,91%"
"03.08.2026","608,90","604,00","609,00","597,70","3,99K","2,08%"
"31.07.2026","596,50","601,70","610,00","595,00","13,49K","0,61%"
"30.07.2026","592,90","584,20","596,70","581,50","8,07K","0,59%"
"29.07.2026","589,40","595,70","598,30","588,50","3,04K","-1,34%"
"28.07.2026","597,40","597,90","603,10","590,40","5,01K","-0,22%"
"27.07.2026","598,70","612,10","613,50","597,50","2,46K","-1,66%"
"24.07.2026","608,80","610,10","613,20","604,00","3,55K","-0,20%"
"23.07.2026","610,00","618,50","620,70","608,60","3,20K","-2,24%"
"22.07.2026","624,00","619,60","624,40","617,50","5,16K","0,00%"
"21.07.2026","624,00","619,80","624,00","619,00","2,33K","1,00%"
"20.07.2026","617,80","612,10","620,50","612,00","3,52K","1,23%"
"17.07.2026","610,30","609,70","615,20","604,20","8,10K","-2,26%"
"16.07.2026","624,40","628,20","629,00","620,70","3,29K","-0,75%"
"15.07.2026","629,10","638,50","638,50","627,40","3,57K","-0,68%"
"14.07.2026","633,40","630,70","633,80","627,40","5,50K","0,21%"
"13.07.2026","632,10","630,90","633,20","627,80","3,87K","-0,60%"
"10.07.2026","635,90","632,80","636,60","631,20","2,33K","0,30%"
"09.07.2026","634,00","628,60","635,10","628,50","2,63K","2,32%"
"08.07.2026","619,60","622,50","628,40","615,50","5,58K","-0,37%"
"07.07.2026","621,90","630,60","630,60","619,80","3,19K","-2,48%"
"06.07.2026","637,70","633,70","638,50","633,00","10,00K","0,65%"
"03.07.2026","633,60","631,50","634,30","631,50","1,42K","0,51%"
"02.07.2026","630,40","636,40","641,40","627,70","6,03K","-2,25%"
"01.07.2026","644,90","645,60","647,10","640,00","3,41K","0,00%"
"30.06.2026","644,90","639,80","645,90","637,40","3,29K","2,22%"
"29.06.2026","630,90","628,20","632,20","621,90","1,93K","0,41%"
"26.06.2026","628,30","626,70","628,50","619,70","5,14K","-0,27%"
"25.06.2026","630,00","641,80","644,00","624,80","9,19K","-0,82%"
"24.06.2026","635,20","634,90","637,40","630,70","3,44K","0,35%"
"23.06.2026","633,00","635,80","638,10","629,10","7,25K","-2,22%"
"22.06.2026","647,40","649,60","654,80","646,00","7,82K","0,02%"
"19.06.2026","647,30","646,00","647,60","644,60","1,37K","0,53%"
"18.06.2026","643,90","638,90","646,30","638,40","2,43K","1,43%"
"17.06.2026","634,80","636,50","637,10","632,90","3,90K","-0,28%"
"16.06.2026","636,60","643,40","645,70","636,60","7,62K","-0,92%"
"15.06.2026","642,50","636,20","642,60","635,90","12,39K","2,54%"
"12.06.2026","626,60","619,00","628,60","618,10","7,10K","2,59%"
"11.06.2026","610,80","608,90","614,80","606,30","13,35K","0,44%"
"10.06.2026","608,10","612,30","617,90","605,90","9,12K","-0,43%"
"09.06.2026","610,70","627,80","629,50","609,90","4,57K","-2,46%"
"08.06.2026","626,10","617,60","629,00","617,20","7,56K","-0,30%"
"05.06.2026","628,00","632,60","634,50","627,90","7,01K","-1,74%"
"04.06.2026","639,10","642,20","642,50","633,00","7,64K","-0,85%"
"03.06.2026","644,60","645,40","649,30","643,00","3,82K","0,17%"
"02.06.2026","643,50","639,80","643,50","637,90","4,32K","0,33%"
"01.06.2026","641,40","640,20","641,40","635,80","10,56K","0,94%"
"29.05.2026","635,40","635,60","639,60","634,30","1,77K","0,22%"
"28.05.2026","634,00","628,80","634,00","627,80","10,19K","0,99%"
"27.05.2026","627,80","630,60","635,30","626,20","4,61K","-0,33%"
"26.05.2026","629,90","625,10","631,70","623,80","3,69K","0,46%"
"25.05.2026","627,00","627,90","628,40","626,90","1,29K","0,45%"
"22.05.2026","624,20","620,80","624,20","619,00","3,30K","1,48%"
"21.05.2026","615,10","614,70","617,20","613,20","11,59K","0,05%"
"20.05.2026","614,80","610,20","615,10","609,90","1,31K","1,62%"
"19.05.2026","605,00","607,70","609,40","603,40","2,93K","-0,40%"
"18.05.2026","607,40","610,10","615,00","607,00","4,10K","-1,32%"
"15.05.2026","615,50","616,00","616,50","611,10","5,33K","-0,82%"
"14.05.2026","620,60","615,50","621,10","613,70","9,40K","1,77%"
"13.05.2026","609,80","609,10","612,60","605,70","4,42K","1,57%"
"12.05.2026","600,40","605,60","607,90","599,80","2,64K","-1,23%"
"11.05.2026","607,90","607,00","608,50","605,10","5,80K","0,71%"
"08.05.2026","603,60","597,40","603,70","596,90","3,76K","1,00%"
"07.05.2026","597,60","595,30","598,00","593,90","3,05K","0,98%"
"06.05.2026","591,80","588,10","592,00","587,70","5,16K","1,18%"
"05.05.2026","584,90","580,80","585,10","580,50","4,59K","1,40%"
"04.05.2026","576,80","579,60","580,50","576,20","8,68K","1,55%"
"30.04.2026","568,00","569,10","572,90","565,80","1,56K","0,05%"
"29.04.2026","567,70","567,30","568,30","565,00","2,30K","1,12%"
"28.04.2026","561,40","568,90","568,90","561,40","10,81K","-1,01%"
"27.04.2026","567,10","568,50","569,50","566,10","2,36K","-0,09%"
"24.04.2026","567,60","564,30","567,60","563,40","6,45K","0,73%"
"23.04.2026","563,50","560,80","563,50","559,40","4,45K","0,68%"
"22.04.2026","559,70","555,20","560,00","554,50","5,46K","1,25%"
"21.04.2026","552,80","553,60","555,60","552,30","5,87K","0,51%"
"20.04.2026","550,00","551,60","553,10","549,10","3,29K","-0,54%"
"17.04.2026","553,00","546,30","553,00","546,20","2,85K","1,13%"
"16.04.2026","546,80","545,10","546,80","542,60","6,55K","1,45%"
"15.04.2026","539,00","535,80","539,10","535,30","5,97K","1,24%"
"14.04.2026","532,40","527,60","532,40","527,50","2,11K","1,35%"
"13.04.2026","525,30","522,10","525,60","521,10","2,39K","0,13%"
"10.04.2026","524,60","524,40","525,30","523,70","2,07K","0,61%"
"09.04.2026","521,40","520,80","521,50","519,20","3,02K","0,27%"
"08.04.2026","520,00","522,90","524,50","518,00","3,34K","2,91%"
"07.04.2026","505,30","510,30","512,10","502,90","2,56K","-0,55%"
"02.04.2026","508,10","501,40","509,50","499,00","2,17K","0,16%"
"01.04.2026","507,30","506,10","507,30","502,90","4,19K","2,50%"
"31.03.2026","494,95","492,80","495,65","492,00","4,32K","-0,10%"
"30.03.2026","495,45","492,65","496,60","492,65","6,33K","0,23%"
"27.03.2026","494,30","502,50","502,50","493,40","4,99K","-2,08%"
"26.03.2026","504,80","509,30","509,60","504,80","3,72K","-1,41%"
"25.03.2026","512,00","511,10","512,50","509,10","4,08K","0,85%"
"24.03.2026","507,70","510,90","511,30","506,00","2,53K","-0,41%"
"23.03.2026","509,80","501,90","516,70","501,70","11,95K","0,18%"
"20.03.2026","508,90","514,80","515,60","508,90","5,59K","-0,95%"
"19.03.2026","513,80","519,70","520,40","513,40","4,88K","-1,72%"
"18.03.2026","522,80","528,80","529,20","522,50","3,35K","-0,53%"
"17.03.2026","525,60","522,60","527,40","521,30","0,82K","0,23%"
"16.03.2026","524,40","524,50","525,90","522,40","4,13K","0,44%"
"13.03.2026","522,10","521,10","527,10","521,00","4,57K","-0,21%"
"12.03.2026","523,20","526,20","526,60","521,70","3,10K","-0,87%"
"11.03.2026","527,80","526,20","530,00","525,00","3,64K","0,08%"
"10.03.2026","527,40","525,60","527,70","523,50","4,20K","1,35%"
"09.03.2026","520,40","513,70","521,10","513,00","5,56K","-0,38%"
"06.03.2026","522,40","528,20","528,40","520,40","5,21K","-1,02%"
"05.03.2026","527,80","527,20","530,60","526,00","8,97K","0,08%"
"04.03.2026","527,40","518,40","527,50","518,40","7,42K","1,64%"
"03.03.2026","518,90","517,60","519,90","513,80","7,06K","-0,33%"
"02.03.2026","520,60","511,20","521,90","510,60","5,32K","0,89%"
"27.02.2026","516,00","518,20","518,90","512,50","5,26K","-0,54%"
"26.02.2026","518,80","524,20","525,30","515,70","3,88K","-0,80%"
"25.02.2026","523,00","518,40","524,60","518,30","2,96K","1,16%"
"24.02.2026","517,00","513,90","518,40","511,70","5,83K","1,04%"
"23.02.2026","511,70","513,70","517,60","511,00","3,27K","-1,29%"
"20.02.2026","518,40","517,60","520,00","512,90","5,72K","0,45%"
"19.02.2026","516,10","517,30","517,80","513,90","2,99K","-0,39%"
"18.02.2026","518,10","512,20","518,10","511,40","3,68K","1,67%"
"17.02.2026","509,60","509,00","510,90","504,70","4,43K","0,28%"
