"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.08.2026","43,47","43,64","44,50","43,13","24,73K","2,33%"
"24.08.2026","42,48","42,79","43,24","41,30","5,12K","-4,61%"
"21.08.2026","44,54","44,52","45,49","43,32","19,48K","1,13%"
"20.08.2026","44,04","46,36","46,58","43,39","21,39K","-4,93%"
"19.08.2026","46,32","46,00","47,34","44,41","26,48K","-0,49%"
"18.08.2026","46,55","48,78","48,90","46,19","19,80K","-10,37%"
"17.08.2026","51,94","52,38","52,50","51,33","9,36K","2,93%"
"14.08.2026","50,46","51,66","52,38","49,47","9,11K","-2,03%"
"13.08.2026","51,50","49,01","52,19","48,90","16,44K","5,14%"
"12.08.2026","48,98","48,11","49,75","47,93","15,68K","2,55%"
"11.08.2026","47,76","48,18","49,20","47,22","19,53K","-1,08%"
"10.08.2026","48,29","49,19","49,87","47,89","9,26K","-1,35%"
"07.08.2026","48,95","46,62","49,13","46,51","16,28K","3,47%"
"06.08.2026","47,31","46,50","47,93","43,95","56,33K","-2,97%"
"05.08.2026","48,76","49,95","51,53","48,36","135,11K","1,55%"
"04.08.2026","48,01","43,09","48,01","43,00","90,15K","16,10%"
"03.08.2026","41,36","40,23","41,54","38,22","20,84K","10,94%"
"31.07.2026","37,28","39,42","41,30","36,79","21,08K","1,82%"
"30.07.2026","36,61","33,53","37,73","33,00","15,71K","5,94%"
"29.07.2026","34,56","36,42","37,21","34,00","9,97K","-6,64%"
"28.07.2026","37,02","36,83","37,49","34,61","12,73K","-1,46%"
"27.07.2026","37,56","42,01","42,31","36,90","13,17K","-7,61%"
"24.07.2026","40,66","41,24","42,43","39,10","15,15K","-0,85%"
"23.07.2026","41,01","44,86","45,43","40,58","59,35K","-12,77%"
"22.07.2026","47,01","45,13","47,01","44,40","5,89K","0,18%"
"21.07.2026","46,92","45,59","46,92","45,23","7,79K","4,14%"
"20.07.2026","45,06","43,23","46,20","43,22","13,38K","5,59%"
"17.07.2026","42,67","42,70","43,86","40,14","21,48K","-10,83%"
"16.07.2026","47,85","49,99","49,99","46,80","21,62K","-4,43%"
"15.07.2026","50,07","53,47","53,50","49,27","14,87K","-3,68%"
"14.07.2026","51,99","49,73","52,01","49,18","13,72K","3,03%"
"13.07.2026","50,46","50,44","51,53","49,41","34,19K","-5,02%"
"10.07.2026","53,12","51,75","53,23","51,02","18,91K","1,85%"
"09.07.2026","52,15","49,67","52,63","49,67","37,89K","12,98%"
"08.07.2026","46,16","47,65","48,40","44,61","53,00K","-2,75%"
"07.07.2026","47,47","51,67","52,12","47,00","19,05K","-12,61%"
"06.07.2026","54,32","52,72","54,32","52,28","8,73K","2,66%"
"03.07.2026","52,92","53,36","54,11","52,78","2,01K","1,71%"
"02.07.2026","52,03","53,83","56,83","50,78","8,30K","-9,11%"
"01.07.2026","57,24","57,70","58,57","55,40","31,62K","-1,79%"
"30.06.2026","58,28","54,85","58,28","54,68","21,64K","12,24%"
"29.06.2026","51,93","50,89","51,96","49,21","4,52K","1,77%"
"26.06.2026","51,03","50,17","51,03","47,50","12,00K","-1,22%"
"25.06.2026","51,65","55,97","56,60","49,38","8,87K","-3,31%"
"24.06.2026","53,42","53,49","53,81","51,60","6,94K","0,69%"
"23.06.2026","53,06","55,51","55,51","51,54","16,84K","-13,02%"
"22.06.2026","61,01","62,56","64,44","61,01","8,14K","-0,92%"
"19.06.2026","61,57","60,52","61,85","60,40","1,76K","1,14%"
"18.06.2026","60,88","59,32","61,48","59,21","7,41K","2,96%"
"17.06.2026","59,13","60,25","60,50","58,41","20,95K","-2,20%"
"16.06.2026","60,46","62,71","64,38","59,78","18,11K","-4,12%"
"15.06.2026","63,05","60,51","63,15","60,47","11,82K","13,37%"
"12.06.2026","55,62","52,15","56,00","51,32","22,79K","14,44%"
"11.06.2026","48,60","48,22","50,11","46,81","16,68K","1,36%"
"10.06.2026","47,94","49,73","51,78","46,74","29,06K","-1,46%"
"09.06.2026","48,65","56,24","57,45","48,63","11,82K","-12,59%"
"08.06.2026","55,66","51,89","56,89","51,83","29,10K","-4,32%"
"05.06.2026","58,17","62,15","63,21","58,17","34,90K","-11,03%"
"04.06.2026","65,39","66,71","66,78","62,55","89,94K","-3,68%"
"03.06.2026","67,89","68,32","69,26","67,30","20,46K","-0,20%"
"02.06.2026","68,02","66,35","68,02","65,60","16,48K","1,74%"
