"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"27.08.2026","1.458,80","1.452,80","1.458,80","1.452,60","0,01K","1,28%"
"26.08.2026","1.440,40","1.434,80","1.440,40","1.433,20","0,08K","0,42%"
"25.08.2026","1.434,40","1.437,40","1.443,80","1.434,40","0,06K","0,20%"
"24.08.2026","1.431,60","1.433,20","1.436,40","1.425,20","0,01K","-0,68%"
"21.08.2026","1.441,40","1.438,60","1.447,00","1.437,00","0,00K","0,28%"
"20.08.2026","1.437,40","1.451,80","1.452,20","1.435,40","0,00K","-0,84%"
"19.08.2026","1.449,60","1.460,20","1.462,60","1.443,00","0,01K","-0,98%"
"18.08.2026","1.464,00","1.476,80","1.477,80","1.461,60","0,00K","-1,61%"
"17.08.2026","1.488,00","1.496,60","1.497,20","1.488,00","0,03K","0,01%"
"14.08.2026","1.487,80","1.495,80","1.498,80","1.484,80","0,08K","-0,85%"
"13.08.2026","1.500,60","1.484,20","1.501,40","1.481,40","0,01K","1,09%"
"12.08.2026","1.484,40","1.475,20","1.484,40","1.475,20","0,00K","1,06%"
"11.08.2026","1.468,80","1.475,60","1.479,40","1.466,80","","-0,50%"
"10.08.2026","1.476,20","1.482,80","1.483,80","1.473,00","0,02K","0,31%"
"07.08.2026","1.471,60","1.467,60","1.474,60","1.467,60","0,01K","0,42%"
"06.08.2026","1.465,40","1.464,80","1.470,80","1.456,00","0,01K","-0,53%"
"05.08.2026","1.473,20","1.485,60","1.485,60","1.473,20","0,01K","-0,75%"
"04.08.2026","1.484,40","1.445,20","1.484,40","1.441,80","0,05K","3,41%"
"03.08.2026","1.435,40","1.420,00","1.435,40","1.409,00","0,02K","1,89%"
"31.07.2026","1.408,80","1.413,80","1.424,20","1.404,40","0,01K","0,84%"
"30.07.2026","1.397,00","1.369,60","1.401,20","1.368,80","0,02K","1,97%"
"29.07.2026","1.370,00","1.392,40","1.405,20","1.370,00","0,03K","-2,35%"
"28.07.2026","1.403,00","1.404,00","1.407,40","1.391,40","0,01K","-1,00%"
"27.07.2026","1.417,20","1.438,20","1.440,20","1.405,40","0,01K","-1,02%"
"24.07.2026","1.431,80","1.436,40","1.439,40","1.419,80","0,01K","-0,33%"
"23.07.2026","1.436,60","1.451,00","1.456,80","1.432,00","0,01K","-2,02%"
"22.07.2026","1.466,20","1.454,60","1.467,80","1.452,40","0,01K","-0,12%"
"21.07.2026","1.468,00","1.456,00","1.468,00","1.454,40","0,06K","1,63%"
"20.07.2026","1.444,40","1.437,60","1.455,00","1.436,00","0,01K","-0,11%"
"17.07.2026","1.446,00","1.433,60","1.447,40","1.423,20","0,02K","-0,90%"
"16.07.2026","1.459,20","1.476,80","1.476,80","1.459,20","0,00K","-0,96%"
"15.07.2026","1.473,40","1.496,80","1.498,40","1.469,40","","-1,14%"
"14.07.2026","1.490,40","1.481,20","1.490,40","1.480,40","0,01K","0,80%"
"13.07.2026","1.478,60","1.483,40","1.485,40","1.477,80","0,08K","-1,39%"
"10.07.2026","1.499,40","1.485,40","1.499,40","1.485,40","","0,37%"
"09.07.2026","1.493,80","1.475,20","1.493,80","1.475,20","0,05K","1,85%"
