"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"07.08.2026","73,96","73,66","74,63","72,54","44,59M","2,68%"
"06.08.2026","72,03","70,85","73,44","70,16","60,89M","-1,11%"
"05.08.2026","72,84","75,61","76,33","72,74","70,89M","-2,65%"
"04.08.2026","74,82","70,31","75,41","70,14","73,73M","10,09%"
"03.08.2026","67,96","64,71","68,41","63,99","62,22M","5,17%"
"31.07.2026","64,62","65,74","66,77","62,39","86,71M","2,09%"
"30.07.2026","63,30","61,13","63,84","60,74","75,88M","9,61%"
"29.07.2026","57,75","61,51","62,74","57,59","103,58M","-6,19%"
"28.07.2026","61,56","61,77","62,61","59,40","73,24M","-2,90%"
"27.07.2026","63,40","66,06","66,23","61,64","70,53M","-0,94%"
"24.07.2026","64,00","65,78","66,40","63,49","69,27M","-3,47%"
"23.07.2026","66,30","67,11","68,27","65,02","80,28M","-5,66%"
"22.07.2026","70,28","69,77","71,59","69,77","36,06M","-1,53%"
"21.07.2026","71,37","70,71","71,72","69,61","37,77M","5,50%"
"20.07.2026","67,65","69,47","70,50","67,50","50,08M","0,18%"
"17.07.2026","67,53","66,38","69,56","64,91","75,47M","-4,54%"
"16.07.2026","70,74","72,61","73,12","69,69","66,95M","-4,97%"
"15.07.2026","74,44","76,29","76,47","72,06","68,55M","-0,77%"
"14.07.2026","75,02","75,20","75,85","73,41","58,10M","3,28%"
"13.07.2026","72,64","74,54","74,85","72,09","63,32M","-5,70%"
"10.07.2026","77,03","75,53","77,32","74,33","46,03M","0,90%"
"09.07.2026","76,34","74,85","76,68","73,89","51,73M","4,98%"
"08.07.2026","72,72","70,79","73,01","69,57","70,75M","0,68%"
"07.07.2026","72,23","73,70","74,39","70,76","70,99M","-5,48%"
"06.07.2026","76,42","75,54","77,45","75,11","54,55M","4,19%"
"02.07.2026","73,35","77,45","79,14","71,72","87,99M","-5,31%"
"01.07.2026","77,46","78,72","79,64","77,23","63,35M","-4,37%"
"30.06.2026","81,00","77,24","81,54","77,15","58,47M","4,94%"
"29.06.2026","77,19","74,12","77,38","71,45","79,13M","7,46%"
"26.06.2026","71,83","72,08","74,69","70,72","70,43M","-4,16%"
"25.06.2026","74,95","77,96","78,24","71,60","106,91M","2,25%"
"24.06.2026","73,30","74,79","76,18","71,35","72,01M","-1,53%"
"23.06.2026","74,44","75,12","77,74","73,91","82,34M","-9,86%"
"22.06.2026","82,58","83,95","85,11","81,39","61,89M","-0,35%"
"18.06.2026","82,87","82,10","83,60","80,63","61,06M","6,87%"
"17.06.2026","77,54","81,67","81,81","76,94","78,09M","-2,99%"
"16.06.2026","79,93","84,19","84,83","79,86","67,09M","-5,51%"
"15.06.2026","84,59","82,88","85,03","82,64","59,76M","9,12%"
"12.06.2026","77,52","76,34","78,36","74,29","94,48M","1,99%"
"11.06.2026","76,01","70,89","76,60","69,59","116,29M","9,73%"
"10.06.2026","69,27","71,68","74,70","69,00","91,47M","-6,04%"
"09.06.2026","73,72","78,48","79,34","66,79","132,49M","-3,34%"
"08.06.2026","76,27","76,86","78,47","75,38","77,32M","4,41%"
"05.06.2026","73,05","81,57","82,08","72,68","118,96M","-14,28%"
"04.06.2026","85,22","83,47","86,25","82,47","59,61M","-1,55%"
"03.06.2026","86,56","87,68","88,09","85,41","62,15M","-0,76%"
"02.06.2026","87,22","85,94","87,32","84,83","48,36M","1,37%"
"01.06.2026","86,04","84,14","87,06","83,75","57,22M","1,75%"
"29.05.2026","84,56","84,41","85,70","83,53","67,64M","1,05%"
"28.05.2026","83,68","81,74","84,05","80,65","55,27M","2,46%"
"27.05.2026","81,67","82,87","82,91","80,33","66,22M","-0,34%"
"26.05.2026","81,95","80,59","82,27","79,98","62,58M","5,28%"
"22.05.2026","77,84","78,04","79,33","77,33","58,33M","1,16%"
"21.05.2026","76,95","75,18","77,79","74,47","74,96M","0,58%"
"20.05.2026","76,51","74,09","76,53","73,61","70,65M","4,91%"
"19.05.2026","72,93","72,41","74,50","70,96","85,97M","-1,87%"
"18.05.2026","74,32","76,13","76,27","72,10","87,71M","-1,35%"
"15.05.2026","75,34","75,73","77,36","74,23","81,26M","-4,57%"
"14.05.2026","78,95","77,29","79,68","77,15","58,47M","2,21%"
