date;EUNK;SXRV;CL2_FLEURY;CL2_DAY;CL2_GAP;L8I7;L8I7_GAP;QQQ3
2020-12-08;0.00000000;0.00000000;0.00560000;0.00560000;-0.00040000;0.00000000;0.00000000;0.01490000
2020-12-09;0.00000000;0.00000000;-0.00130000;-0.00130000;0.00390000;0.00000000;0.01120000;0.00000000
2020-12-10;0.00000000;0.00000000;-0.00220000;-0.00220000;-0.01540000;-0.00380000;-0.04070000;0.00000000
2020-12-11;0.00000000;-0.02000000;0.00000000;0.00000000;-0.00760000;0.00000000;0.00390000;0.00000000
2020-12-14;0.00000000;0.00000000;-0.00240000;-0.00240000;0.01370000;0.01520000;0.01950000;0.00000000
2020-12-15;0.00000000;0.00000000;0.00190000;0.00190000;-0.00690000;-0.00750000;-0.00370000;0.01700000
2020-12-16;0.00000000;0.00000000;0.00110000;0.00110000;0.01290000;0.00000000;0.01890000;0.00000000
2020-12-17;0.00000000;0.01700000;-0.00370000;-0.00370000;0.00010000;0.00000000;0.01110000;0.00000000
2020-12-18;0.00540000;0.00000000;-0.00670000;-0.00670000;0.00080000;0.00000000;0.00740000;0.00000000
2020-12-21;0.00000000;0.00000000;0.00000000;0.00000000;0.00730000;0.00000000;0.00000000;0.00000000
2020-12-22;0.00000000;0.00000000;0.00810000;0.00810000;0.01280000;0.00000000;0.03000000;-0.01070000
2020-12-23;0.01490000;0.00000000;0.00200000;0.00200000;0.00240000;0.00000000;0.01480000;0.00000000
2020-12-24;0.00000000;0.00000000;0.00100000;0.00100000;-0.00360000;0.00000000;0.00000000;0.00000000
2020-12-28;0.00000000;0.00000000;0.00270000;0.00270000;0.00700000;0.00360000;0.01100000;0.00000000
2020-12-29;0.01500000;0.00000000;-0.01030000;-0.01030000;0.00520000;-0.00710000;0.00720000;0.02330000
2020-12-30;0.00000000;0.00170000;-0.00510000;-0.00510000;-0.00110000;0.00000000;0.00000000;0.00000000
2020-12-31;0.00000000;0.00000000;0.00320000;0.00320000;-0.00510000;0.00000000;0.00000000;0.00000000
2021-01-04;0.00000000;0.00000000;0.00000000;0.00000000;0.01990000;0.00000000;0.01080000;0.00000000
2021-01-05;0.00000000;0.00000000;0.00410000;0.00410000;-0.00050000;0.00000000;0.00000000;0.00000000
2021-01-06;0.00000000;0.00000000;0.03560000;0.03560000;-0.00600000;0.01110000;-0.03580000;0.00000000
2021-01-07;0.00000000;0.00000000;0.02550000;0.02550000;-0.00760000;0.02940000;-0.00730000;0.00000000
2021-01-08;0.01900000;0.00710000;0.00000000;0.00000000;0.01700000;0.00350000;0.01430000;0.01490000
2021-01-11;0.00000000;0.00000000;0.00390000;0.00390000;0.01020000;0.00000000;0.01050000;0.00000000
2021-01-12;0.00000000;0.00000000;-0.00260000;-0.00260000;-0.00110000;-0.01050000;-0.00700000;0.00000000
2021-01-13;0.00000000;0.00000000;0.00760000;0.00760000;-0.00390000;0.01060000;0.00000000;0.00000000
2021-01-14;0.00000000;0.00000000;-0.00100000;-0.00100000;0.00540000;0.00000000;-0.00350000;0.00000000
2021-01-15;-0.00640000;-0.00940000;0.00000000;0.00000000;-0.01360000;-0.00350000;-0.01050000;-0.04190000
2021-01-18;0.00000000;0.00000000;0.00440000;0.00440000;-0.00220000;0.00000000;-0.01410000;0.00000000
2021-01-19;0.00000000;0.00000000;-0.00760000;-0.00760000;0.00530000;0.00000000;0.01790000;0.02970000
2021-01-20;0.00000000;0.01500000;0.02690000;0.02690000;0.00430000;0.00000000;0.06030000;0.00000000
2021-01-21;0.01490000;0.00000000;0.00000000;0.00000000;0.00910000;0.00000000;0.01670000;0.00000000
2021-01-22;0.00000000;0.00000000;0.00000000;0.00000000;-0.01070000;0.00000000;-0.00330000;0.00000000
2021-01-25;0.00000000;0.00000000;-0.01130000;-0.01130000;0.00960000;-0.01300000;0.01660000;0.00000000
