TP,TPH,SL,OPEN_GAP,SHARPE,CAGR,MAX_DD,CALMAR,FINAL_EQUITY,TRADES,WIN_RATE
0.03300,0.03600,0.99000,0.00500,1.658054,0.642151,-0.367448,1.747600,4824473.13,521,63.7236
0.03300,0.03500,0.99000,0.00500,1.655907,0.637246,-0.368653,1.728580,4647966.88,521,63.9155
0.03300,0.01200,0.99000,0.00500,1.635389,0.606650,-0.337265,1.798733,3674581.05,521,67.7543
0.03300,0.03400,0.99000,0.00500,1.614283,0.611939,-0.401933,1.522490,3828150.92,521,63.9155
0.03300,0.07000,0.99000,0.00500,1.608753,0.666676,-0.345680,1.928594,5802935.98,521,59.6929
0.03300,0.06900,0.99000,0.00500,1.607203,0.666230,-0.346253,1.924114,5783619.57,521,59.6929
0.03300,0.06600,0.99000,0.00500,1.606249,0.660869,-0.348053,1.898761,5556069.07,521,59.6929
0.03300,0.06400,0.99000,0.00500,1.604059,0.658813,-0.349276,1.886225,5470992.99,521,59.6929
0.03300,0.06500,0.99000,0.00500,1.602662,0.658338,-0.348706,1.887946,5451504.72,521,59.6929
0.03300,0.02500,0.99000,0.00500,1.601886,0.591028,-0.327335,1.805578,3253460.09,521,65.8349
0.03300,0.02600,0.99000,0.00500,1.601242,0.590131,-0.325280,1.814224,3230682.41,521,65.8349
0.03300,0.09000,0.99000,0.00500,1.600763,0.663320,-0.333367,1.989757,5659066.49,521,59.5010
0.03300,0.08900,0.99000,0.00500,1.600240,0.662944,-0.334016,1.984769,5643134.44,521,59.5010
0.03300,0.06800,0.99000,0.00500,1.599968,0.661600,-0.346802,1.907719,5586610.81,521,59.6929
0.03300,0.08800,0.99000,0.00500,1.599724,0.662568,-0.334593,1.980223,5627283.23,521,59.5010
0.03300,0.07900,0.99000,0.00500,1.599437,0.662017,-0.340094,1.946569,5604082.31,521,59.5010
0.03300,0.07700,0.99000,0.00500,1.599251,0.661671,-0.341324,1.938541,5589562.96,521,59.5010
0.03300,0.07500,0.99000,0.00500,1.599249,0.662383,-0.342555,1.933656,5619483.69,521,59.5010
0.03300,0.08700,0.99000,0.00500,1.599215,0.662206,-0.335263,1.975184,5612015.85,521,59.5010
0.03300,0.08200,0.99000,0.00500,1.598737,0.661691,-0.338293,1.955969,5590402.42,521,59.5010
0.03300,0.08600,0.99000,0.00500,1.598720,0.661850,-0.335828,1.970802,5597092.45,521,59.5010
0.03300,0.07800,0.99000,0.00500,1.598559,0.661401,-0.340759,1.940967,5578263.40,521,59.5010
