WINDOW,IS_START,IS_END,OOS_START,OOS_END,TP,TPH,SL,IS_CAGR,IS_SHARPE,IS_MAX_DD,OOS_CAGR,OOS_SHARPE,OOS_MAX_DD,OOS_FINAL_EQUITY,OOS_TRADES,OOS_WIN_RATE,OOS_TO_IS_CAGR
1,2014-02-25,2016-02-24,2016-02-25,2017-02-24,0.050000,0.060000,0.016000,0.48674699,1.086403,-0.37887323,0.89334405,2.193380,-0.18536855,18925.17,49,57.1429,1.835336
2,2014-03-25,2016-03-24,2016-03-29,2017-03-24,0.050000,0.065000,0.006000,0.54549127,1.167693,-0.40720372,0.62326336,1.716421,-0.18644003,16120.00,49,51.0204,1.142573
3,2014-04-25,2016-04-22,2016-04-25,2017-04-24,0.040000,0.075000,0.006000,0.43052218,1.005823,-0.43585767,0.56087995,1.674725,-0.17033196,15585.03,49,51.0204,1.302790
4,2014-05-26,2016-05-24,2016-05-25,2017-05-24,0.050000,0.065000,0.006000,0.44920774,1.021247,-0.40724878,0.66503015,2.056458,-0.17028204,16621.27,48,52.0833,1.480451
5,2014-06-25,2016-06-24,2016-06-27,2017-06-23,0.050000,0.065000,0.016000,0.30842678,0.806845,-0.37874050,1.17624919,3.160839,-0.18537452,21566.47,48,64.5833,3.813706
6,2014-07-25,2016-07-22,2016-07-25,2017-07-24,0.040000,0.075000,0.016000,0.39613276,0.947301,-0.38369584,0.59781417,1.893443,-0.18533716,15952.54,48,60.4167,1.509126
7,2014-08-25,2016-08-24,2016-08-25,2017-08-24,0.050000,0.065000,0.016000,0.43632725,1.002074,-0.37883396,0.39742290,1.344820,-0.18528313,13958.23,49,55.1020,0.910837
8,2014-09-25,2016-09-23,2016-09-26,2017-09-22,0.050000,0.065000,0.016000,0.46721732,1.044745,-0.37891982,0.40523061,1.393351,-0.19183862,13996.79,49,55.1020,0.867328
9,2014-10-27,2016-10-24,2016-10-25,2017-10-24,0.050000,0.065000,0.016000,0.52417025,1.158340,-0.37887870,0.39751455,1.376394,-0.19179754,13959.15,49,53.0612,0.758369
10,2014-11-25,2016-11-24,2016-11-25,2017-11-24,0.050000,0.065000,0.016000,0.36941841,0.912893,-0.37872737,0.49231021,1.623959,-0.19191328,14902.67,49,53.0612,1.332663
11,2014-12-29,2016-12-23,2016-12-27,2017-12-22,0.010000,0.025000,0.016000,0.36927966,1.041745,-0.24891006,0.47431804,2.057660,-0.15561623,14661.15,49,71.4286,1.284441
12,2015-01-26,2017-01-24,2017-01-25,2018-01-24,0.010000,0.060000,0.016000,0.40633011,1.117297,-0.24865306,0.49294715,2.126735,-0.15558757,14909.01,48,72.9167,1.213169
13,2015-02-25,2017-02-24,2017-02-27,2018-02-23,0.010000,0.060000,0.016000,0.42272904,1.143047,-0.24873877,0.20846714,0.850465,-0.19377396,12058.07,48,70.8333,0.493146
14,2015-03-25,2017-03-24,2017-03-27,2018-03-23,0.010000,0.060000,0.016000,0.51934752,1.334946,-0.22592755,0.09755908,0.383904,-0.19377298,10963.71,48,68.7500,0.187849
15,2015-04-27,2017-04-24,2017-04-25,2018-04-24,0.010000,0.060000,0.016000,0.52660824,1.342821,-0.22596382,0.18404098,0.674929,-0.22275322,11833.57,48,70.8333,0.349484
