"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.08.2026","381,70","379,34","381,70","379,22","1,06K","1,47%"
"07.08.2026","376,18","366,68","376,84","366,60","9,75K","2,27%"
"06.08.2026","367,84","365,12","372,10","354,14","10,32K","-2,32%"
"05.08.2026","376,56","381,96","387,88","372,98","14,30K","1,45%"
"04.08.2026","371,18","351,70","374,38","348,96","14,23K","9,02%"
"03.08.2026","340,46","334,60","341,70","326,46","10,19K","6,08%"
"31.07.2026","320,94","331,56","338,50","318,12","14,49K","1,49%"
"30.07.2026","316,22","299,64","323,20","295,00","24,88K","3,83%"
"29.07.2026","304,56","315,08","320,82","303,10","13,74K","-4,33%"
"28.07.2026","318,34","317,66","320,28","304,00","11,61K","-0,28%"
"27.07.2026","319,24","343,14","344,70","317,10","7,54K","-5,18%"
"24.07.2026","336,68","338,74","343,88","328,46","11,16K","-0,10%"
"23.07.2026","337,02","355,92","358,16","334,86","9,61K","-7,71%"
"22.07.2026","365,16","357,36","365,66","353,00","3,62K","0,04%"
"21.07.2026","365,02","359,32","365,52","356,64","3,85K","2,80%"
"20.07.2026","355,08","346,84","360,00","346,48","4,95K","2,93%"
"17.07.2026","344,96","344,56","348,80","334,34","14,36K","-6,71%"
"16.07.2026","369,76","377,72","377,72","363,04","9,90K","-1,94%"
"15.07.2026","377,06","393,62","393,62","373,88","6,02K","-2,14%"
"14.07.2026","385,32","377,40","391,56","375,88","5,44K","1,20%"
"13.07.2026","380,74","379,16","385,40","374,90","3,79K","-2,56%"
"10.07.2026","390,76","385,30","392,48","382,42","4,61K","0,83%"
"09.07.2026","387,54","378,02","389,96","376,66","6,34K","7,57%"
"08.07.2026","360,26","366,28","372,54","352,50","10,42K","-1,40%"
"07.07.2026","365,38","381,60","382,38","363,18","7,78K","-7,43%"
"06.07.2026","394,70","387,80","394,88","386,00","6,59K","1,54%"
"03.07.2026","388,70","386,14","390,22","385,68","5,26K","1,02%"
"02.07.2026","384,78","391,18","403,66","376,12","11,83K","-5,55%"
"01.07.2026","407,40","409,10","411,38","400,00","5,44K","-0,61%"
"30.06.2026","409,92","398,90","410,82","394,60","12,46K","6,82%"
"29.06.2026","383,76","378,72","387,00","368,92","5,54K","1,27%"
"26.06.2026","378,96","375,00","379,74","362,64","6,03K","-0,56%"
"25.06.2026","381,08","400,38","403,50","370,32","8,93K","-1,94%"
"24.06.2026","388,60","388,12","392,50","377,98","6,21K","0,43%"
"23.06.2026","386,94","396,10","397,80","380,80","6,99K","-7,59%"
"22.06.2026","418,74","425,08","433,12","417,00","6,16K","-0,58%"
"19.06.2026","421,20","417,28","421,76","415,94","5,85K","1,06%"
"18.06.2026","416,78","410,02","421,00","408,98","4,35K","2,19%"
