"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.08.2026","2,0035","1,9960","2,0080","1,9650","167,22K","-0,15%"
"25.08.2026","2,0065","1,9940","2,0360","1,9800","60,72K","2,69%"
"24.08.2026","1,9540","1,9900","2,0020","1,9070","129,49K","-4,24%"
"21.08.2026","2,0405","2,0770","2,0940","2,0770","15,80K","0,42%"
"20.08.2026","2,0320","2,0430","2,0430","2,0100","62,53K","-4,62%"
"19.08.2026","2,1305","2,1220","2,1590","2,0630","206,57K","-0,54%"
"18.08.2026","2,1420","2,2580","2,2580","2,1280","125,94K","-10,88%"
"17.08.2026","2,4035","2,4170","2,4170","2,3770","61,13K","3,22%"
"14.08.2026","2,3285","2,3800","2,4020","2,3800","26,89K","-2,39%"
"13.08.2026","2,3855","2,2680","2,2680","2,2680","0,06K","5,25%"
"12.08.2026","2,2665","2,2420","2,2660","2,2420","8,97K","2,81%"
"11.08.2026","2,2045","2,2045","2,2045","2,2045","","-1,19%"
"10.08.2026","2,2310","2,2730","2,2730","2,2240","7,97K","-0,82%"
"07.08.2026","2,2495","2,1590","2,2260","2,1590","32,85K","3,21%"
"06.08.2026","2,1795","2,1360","2,1360","2,1360","1,83K","-3,20%"
"05.08.2026","2,2515","2,2670","2,2670","2,2370","132,18K","2,22%"
"04.08.2026","2,2025","2,0160","2,1670","2,0160","30,74K","15,68%"
"03.08.2026","1,9040","1,7950","1,8080","1,7950","0,37K","10,57%"
"31.07.2026","1,7220","1,8410","1,8410","1,8410","3,15K","2,23%"
"30.07.2026","1,6845","1,5340","1,5380","1,5340","0,00K","6,48%"
"29.07.2026","1,5820","1,5820","1,5820","1,5820","","-7,13%"
"28.07.2026","1,7035","1,7070","1,7070","1,6630","115,02K","-2,07%"
"27.07.2026","1,7395","1,7100","1,7100","1,7100","3,00K","-7,55%"
"24.07.2026","1,8815","1,8990","1,9250","1,8290","125,92K","0,61%"
"23.07.2026","1,8700","2,0840","2,0840","1,9630","8,96K","-14,08%"
"22.07.2026","2,1765","2,0670","2,0840","2,0670","30,06K","0,32%"
"21.07.2026","2,1695","2,1010","2,1170","2,1010","2,29K","4,83%"
"20.07.2026","2,0695","2,0310","2,0790","2,0310","26,06K","4,71%"
"17.07.2026","1,9765","2,0100","2,0100","1,8800","78,19K","-10,93%"
"16.07.2026","2,2190","2,2930","2,2930","2,1640","51,98K","-3,98%"
"15.07.2026","2,3110","2,4390","2,4390","2,4010","22,51K","-3,95%"
"14.07.2026","2,4060","2,3460","2,3930","2,3460","83,79K","2,14%"
"13.07.2026","2,3555","2,3280","2,3700","2,2890","150,10K","-4,40%"
"10.07.2026","2,4640","2,3950","2,4170","2,3890","114,07K","1,63%"
"09.07.2026","2,4245","2,3260","2,3840","2,3260","135,08K","14,47%"
"08.07.2026","2,1180","2,2040","2,2460","2,0620","1,19M","-3,81%"
"07.07.2026","2,2020","2,2600","2,2600","2,1790","11,03K","-12,25%"
"06.07.2026","2,5095","2,4660","2,4700","2,4650","100,00K","2,55%"
"03.07.2026","2,4470","2,4420","2,4480","2,4420","10,33K","3,55%"
"02.07.2026","2,3630","2,3630","2,3630","2,3630","","-11,40%"
"01.07.2026","2,6670","2,6670","2,6670","2,6670","","-0,67%"
"30.06.2026","2,6850","2,6110","2,6660","2,6110","12,73K","11,09%"
"29.06.2026","2,4170","2,3930","2,4110","2,2400","112,51K","2,61%"
"26.06.2026","2,3555","2,3250","2,3250","2,2100","7,37K","-0,76%"
"25.06.2026","2,3735","2,3800","2,3800","2,3800","2,06K","-3,40%"
"24.06.2026","2,4570","2,4720","2,4720","2,4720","0,30K","1,09%"
"23.06.2026","2,4305","2,4305","2,4305","2,4305","","-13,92%"
"22.06.2026","2,8235","2,8235","2,8235","2,8235","","-1,50%"
"19.06.2026","2,8665","2,8090","2,8530","2,8050","71,74K","1,63%"
"18.06.2026","2,8205","2,7620","2,8400","2,7620","22,22K","3,49%"
"17.06.2026","2,7255","2,7970","2,7970","2,7540","0,26K","-2,38%"
"16.06.2026","2,7920","2,9530","2,9530","2,8010","94,75K","-5,24%"
"15.06.2026","2,9465","2,8280","2,8280","2,8280","0,45K","12,89%"
"12.06.2026","2,6100","2,6100","2,6100","2,6100","","16,75%"
"11.06.2026","2,2355","2,2780","2,2780","2,2780","3,95K","-0,71%"
"10.06.2026","2,2515","2,2920","2,2920","2,2100","2,19K","-0,79%"
"09.06.2026","2,2695","2,5360","2,5360","2,2910","2,23K","-12,76%"
"08.06.2026","2,6015","2,4230","2,5400","2,4200","103,71K","-4,09%"
"05.06.2026","2,7125","2,8910","2,8910","2,8910","0,29K","-11,27%"
"04.06.2026","3,0570","2,9040","3,0280","2,9010","179,15K","-3,82%"
"03.06.2026","3,1785","3,2300","3,2350","3,2300","0,24K","0,11%"
"02.06.2026","3,1750","3,1430","3,1430","3,1430","0,10K","3,03%"
"01.06.2026","3,0815","3,0750","3,0750","3,0580","0,20K","1,88%"
"29.05.2026","3,0245","3,0000","3,0930","2,9970","0,34K","1,94%"
"28.05.2026","2,9670","2,8460","2,9590","2,8460","48,20K","4,97%"
"27.05.2026","2,8265","2,9220","2,9220","2,9220","0,30K","-1,00%"
"26.05.2026","2,8550","2,7900","2,8950","2,7730","0,89K","4,60%"
"22.05.2026","2,7295","2,6800","2,6870","2,6790","130,70K","8,16%"
"21.05.2026","2,5235","2,5235","2,5235","2,5235","","-0,77%"
"20.05.2026","2,5430","2,5430","2,5430","2,5430","","9,14%"
"19.05.2026","2,3300","2,3300","2,3300","2,3300","","-2,98%"
"18.05.2026","2,4015","2,4015","2,4015","2,4015","","-6,57%"
"15.05.2026","2,5705","2,5705","2,5705","2,5705","","-6,66%"
"14.05.2026","2,7540","2,7540","2,7540","2,7540","","7,98%"
"13.05.2026","2,5505","2,5750","2,6060","2,5240","24,41K","8,21%"
"12.05.2026","2,3570","2,5130","2,5150","2,4060","84,92K","-8,96%"
"11.05.2026","2,5890","2,5400","2,5400","2,5400","0,74K","3,79%"
"08.05.2026","2,4945","2,4945","2,4945","2,4945","","5,61%"
"07.05.2026","2,3620","2,3180","2,3810","2,3140","37,49K","4,61%"
"06.05.2026","2,2580","2,1810","2,2530","2,1810","63,84K","7,52%"
"05.05.2026","2,1000","2,0150","2,0760","2,0150","25,83K","5,13%"
"01.05.2026","1,9975","1,8980","1,9900","1,8980","21,06K","8,03%"
"30.04.2026","1,8490","1,8350","1,8350","1,8150","8,86K","2,07%"
"29.04.2026","1,8115","1,8000","1,8000","1,7950","0,08K","4,47%"
"28.04.2026","1,7340","1,8280","1,8280","1,7450","87,55K","-5,27%"
"27.04.2026","1,8305","1,8305","1,8305","1,8305","","-0,11%"
"24.04.2026","1,8325","1,7610","1,8330","1,7590","61,57K","3,39%"
"23.04.2026","1,7725","1,7410","1,7410","1,7350","61,22K","2,69%"
"22.04.2026","1,7260","1,6730","1,6810","1,6700","28,08K","5,08%"
"21.04.2026","1,6425","1,6800","1,6830","1,6610","26,04K","3,17%"
"20.04.2026","1,5920","1,6230","1,6460","1,6230","10,39K","-4,87%"
"17.04.2026","1,6735","1,5670","1,6460","1,5670","94,12K","6,69%"
"16.04.2026","1,5685","1,5630","1,5630","1,5490","4,52K","5,59%"
"15.04.2026","1,4855","1,4320","1,4320","1,4210","1,86K","6,72%"
"14.04.2026","1,3920","1,3920","1,3920","1,3920","","9,65%"
"13.04.2026","1,2695","1,2695","1,2695","1,2695","","-0,67%"
"10.04.2026","1,2780","1,2540","1,2710","1,2490","22,29K","5,58%"
"09.04.2026","1,2105","1,2090","1,2090","1,2090","26,20K","0,67%"
"08.04.2026","1,2025","1,2025","1,2025","1,2025","","19,41%"
"07.04.2026","1,0070","1,0400","1,0400","1,0400","5,52K","-3,03%"
"02.04.2026","1,0385","0,9720","0,9720","0,9720","0,00K","-0,81%"
"01.04.2026","1,0470","1,0310","1,0310","1,0220","2,50K","15,37%"
"31.03.2026","0,9075","0,8880","0,8880","0,8880","53,05K","2,60%"
"30.03.2026","0,8845","0,9010","0,9080","0,8860","34,95K","-3,02%"
"27.03.2026","0,9120","0,9900","0,9920","0,9290","209,05K","-10,85%"
"26.03.2026","1,0230","1,0720","1,0720","1,0720","30,53K","-7,92%"
"25.03.2026","1,1110","1,1210","1,1210","1,1110","0,96K","1,74%"
"24.03.2026","1,0920","1,1400","1,1400","1,0920","3,00K","0,28%"
"23.03.2026","1,0890","1,1410","1,1410","1,1410","15,26K","-0,68%"
"20.03.2026","1,0965","1,1600","1,1660","1,0950","95,76K","-3,56%"
"19.03.2026","1,1370","1,1780","1,1780","1,1370","8,56K","-8,45%"
"18.03.2026","1,2420","1,2380","1,2380","1,2380","15,73K","-2,36%"
"17.03.2026","1,2720","1,2680","1,2680","1,2680","23,54K","2,83%"
"16.03.2026","1,2370","1,2610","1,2610","1,2610","29,34K","3,17%"
"13.03.2026","1,1990","1,1950","1,2350","1,1950","13,95K","-3,35%"
"12.03.2026","1,2405","1,2860","1,2860","1,2860","14,96K","-5,81%"
"11.03.2026","1,3170","1,3100","1,3150","1,3100","26,20K","-2,91%"
"10.03.2026","1,3565","1,3580","1,3580","1,3080","75,00K","8,52%"
"09.03.2026","1,2500","1,1520","1,1840","1,1470","109,30K","-3,36%"
"06.03.2026","1,2935","1,3660","1,3660","1,2430","84,14K","-2,78%"
"05.03.2026","1,3305","1,3570","1,3570","1,3305","1,20K","-2,06%"
"04.03.2026","1,3585","1,2480","1,3585","1,2480","3,97K","9,64%"
"03.03.2026","1,2390","1,2500","1,2500","1,1770","135,23K","-4,21%"
"02.03.2026","1,2935","1,2030","1,3140","1,1990","119,94K","-1,15%"
"27.02.2026","1,3085","1,3440","1,3440","1,2770","71,00K","-1,95%"
"26.02.2026","1,3345","1,4170","1,4170","1,3345","3,12K","-4,85%"
"25.02.2026","1,4025","1,4060","1,4060","1,4060","27,95K","5,61%"
"24.02.2026","1,3280","1,2980","1,2980","1,2980","33,93K","4,86%"
"23.02.2026","1,2665","1,2430","1,2430","1,2430","18,47K","-4,49%"
"20.02.2026","1,3260","1,3160","1,3220","1,2860","135,66K","1,88%"
