"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"29.01.2026","7,32","7,62","7,64","7,24","1,34M","-3,61%"
"28.01.2026","7,59","7,65","7,66","7,59","630,60K","0,85%"
"27.01.2026","7,53","7,55","7,55","7,45","474,80K","0,72%"
"26.01.2026","7,47","7,38","7,48","7,30","825,60K","-0,08%"
"23.01.2026","7,48","7,44","7,52","7,36","524,60K","0,73%"
"22.01.2026","7,42","7,43","7,49","7,36","880,80K","1,74%"
"21.01.2026","7,30","7,18","7,35","7,07","1,23M","0,15%"
"20.01.2026","7,29","7,22","7,29","7,11","1,47M","-0,16%"
"19.01.2026","7,30","7,33","7,36","7,25","1,29M","-3,35%"
"16.01.2026","7,55","7,62","7,63","7,49","803,20K","-1,16%"
"15.01.2026","7,64","7,51","7,68","7,51","959,20K","3,10%"
"14.01.2026","7,41","7,61","7,61","7,38","915,80K","-3,20%"
"13.01.2026","7,66","7,63","7,70","7,57","486,20K","0,30%"
"12.01.2026","7,63","7,51","7,64","7,45","799,80K","0,33%"
"09.01.2026","7,61","7,49","7,63","7,48","680,40K","2,00%"
"08.01.2026","7,46","7,52","7,56","7,42","1,08M","-1,89%"
"07.01.2026","7,60","7,52","7,61","7,49","617,00K","1,79%"
"06.01.2026","7,47","7,41","7,51","7,36","568,00K","0,34%"
"05.01.2026","7,44","7,35","7,46","7,35","674,00K","2,46%"
"02.01.2026","7,26","7,41","7,51","7,22","579,40K","-1,76%"
"31.12.2025","7,39","7,38","7,39","7,36","322,80K","-0,94%"
"30.12.2025","7,46","7,43","7,47","7,41","394,20K","0,32%"
"29.12.2025","7,44","7,47","7,48","7,39","578,60K","-0,41%"
"24.12.2025","7,47","7,46","7,48","7,45","245,00K","0,50%"
"23.12.2025","7,43","7,40","7,44","7,35","392,00K","0,20%"
"22.12.2025","7,42","7,44","7,47","7,38","525,80K","0,87%"
"19.12.2025","7,36","7,26","7,38","7,20","808,00K","1,41%"
"18.12.2025","7,25","7,05","7,26","7,05","401,20K","3,07%"
"17.12.2025","7,04","7,27","7,33","7,03","687,00K","-1,65%"
"16.12.2025","7,16","7,10","7,21","7,09","641,20K","-1,47%"
"15.12.2025","7,26","7,32","7,39","7,18","649,00K","-0,14%"
"12.12.2025","7,27","7,56","7,57","7,24","1,23M","-2,39%"
"11.12.2025","7,45","7,49","7,59","7,39","638,60K","-2,04%"
"10.12.2025","7,61","7,65","7,66","7,54","245,20K","-0,51%"
"09.12.2025","7,64","7,64","7,64","7,57","350,80K","0,42%"
"08.12.2025","7,61","7,68","7,71","7,61","635,40K","-0,26%"
"05.12.2025","7,63","7,65","7,72","7,56","664,80K","0,94%"
"04.12.2025","7,56","7,60","7,63","7,51","210,60K","-0,08%"
"03.12.2025","7,57","7,61","7,61","7,45","677,00K","0,81%"
"02.12.2025","7,51","7,44","7,63","7,43","564,20K","0,48%"
"01.12.2025","7,47","7,40","7,47","7,34","625,40K","-0,23%"
"28.11.2025","7,49","7,44","7,53","7,44","651,80K","0,92%"
"27.11.2025","7,42","7,43","7,45","7,42","267,00K","-0,28%"
"26.11.2025","7,44","7,37","7,44","7,33","1,31M","3,45%"
"25.11.2025","7,19","7,24","7,25","7,03","814,60K","-0,07%"
"24.11.2025","7,20","6,99","7,22","6,93","1,26M","5,50%"
"21.11.2025","6,82","6,77","6,89","6,67","3,18M","-5,25%"
"20.11.2025","7,20","7,38","7,47","7,20","1,31M","1,54%"
"19.11.2025","7,09","7,02","7,27","7,01","1,02M","0,52%"
"18.11.2025","7,05","7,10","7,16","6,90","1,42M","-3,21%"
"17.11.2025","7,29","7,43","7,45","7,22","766,00K","-0,99%"
"14.11.2025","7,36","7,22","7,39","7,01","2,06M","-0,07%"
"13.11.2025","7,37","7,63","7,64","7,33","1,03M","-3,03%"
"12.11.2025","7,60","7,71","7,75","7,54","865,40K","0,41%"
"11.11.2025","7,57","7,66","7,68","7,54","592,40K","0,00%"
"10.11.2025","7,56","7,55","7,66","7,53","2,28M","5,83%"
"07.11.2025","7,15","7,49","7,50","7,12","2,68M","-4,16%"
"06.11.2025","7,46","7,68","7,77","7,44","1,06M","-3,98%"
"05.11.2025","7,77","7,60","7,77","7,56","1,16M","0,00%"
"04.11.2025","7,77","7,74","7,86","7,69","981,40K","-2,05%"
"03.11.2025","7,93","7,90","8,06","7,90","609,60K","0,51%"
"31.10.2025","7,89","7,99","8,03","7,86","854,40K","0,00%"
"30.10.2025","7,89","8,00","8,02","7,83","1,13M","-0,70%"
"29.10.2025","7,95","8,00","8,01","7,92","1,44M","1,08%"
"28.10.2025","7,86","7,78","7,87","7,76","841,80K","1,38%"
"27.10.2025","7,76","7,70","7,76","7,68","1,35M","2,92%"
"24.10.2025","7,54","7,45","7,55","7,43","1,15M","2,53%"
"23.10.2025","7,35","7,32","7,35","7,22","474,20K","1,35%"
"22.10.2025","7,25","7,41","7,43","7,25","672,60K","-2,08%"
