"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.08.2026","43,72","43,94","44,99","43,74","4,24K","2,97%"
"24.08.2026","42,47","43,10","43,10","41,41","6,01K","-4,43%"
"21.08.2026","44,44","45,30","45,45","43,87","0,46K","0,57%"
"20.08.2026","44,19","46,41","46,41","43,42","0,09K","-4,68%"
"19.08.2026","46,35","45,90","47,32","44,17","0,78K","-0,27%"
"18.08.2026","46,48","48,81","49,28","45,90","16,64K","-10,63%"
"17.08.2026","52,01","52,70","52,86","51,15","3,29K","2,77%"
"14.08.2026","50,61","52,12","52,34","49,80","3,49K","-2,15%"
"13.08.2026","51,72","49,00","52,80","49,00","6,19K","5,57%"
"12.08.2026","48,99","49,22","49,76","49,00","4,74K","2,63%"
"11.08.2026","47,74","48,83","48,83","47,60","0,42K","-1,47%"
"10.08.2026","48,44","49,09","50,40","47,81","5,16K","-0,62%"
"07.08.2026","48,74","47,00","49,21","46,88","5,30K","3,37%"
"06.08.2026","47,15","47,00","47,29","44,99","15,80K","-3,13%"
"05.08.2026","48,68","49,88","51,20","47,53","11,14K","2,50%"
"04.08.2026","47,49","43,74","47,00","42,92","7,01K","15,48%"
"03.08.2026","41,13","39,95","41,55","39,20","5,33K","10,37%"
"31.07.2026","37,26","39,25","41,26","36,76","14,18K","1,84%"
"30.07.2026","36,59","33,50","37,50","32,56","11,07K","6,13%"
"29.07.2026","34,47","37,10","37,39","34,26","20,27K","-6,94%"
"28.07.2026","37,04","36,92","37,71","34,70","10,65K","-1,54%"
"27.07.2026","37,63","41,97","42,67","37,58","3,56K","-7,65%"
"24.07.2026","40,74","42,19","42,19","39,00","9,82K","0,52%"
"23.07.2026","40,53","45,74","45,74","41,00","0,33K","-13,96%"
"22.07.2026","47,10","45,60","46,50","45,00","1,78K","0,47%"
"21.07.2026","46,88","45,04","46,88","45,04","8,16K","4,94%"
"20.07.2026","44,68","44,44","45,44","44,00","5,26K","4,75%"
"17.07.2026","42,65","42,73","43,65","40,40","20,61K","-10,99%"
"16.07.2026","47,92","49,87","49,87","47,24","3,49K","-4,04%"
"15.07.2026","49,94","54,31","54,31","49,15","1,07K","-3,92%"
"14.07.2026","51,97","50,52","52,09","49,95","4,78K","2,48%"
"13.07.2026","50,71","50,30","51,57","49,20","8,44K","-4,37%"
"10.07.2026","53,03","51,63","53,26","51,42","19,36K","1,63%"
"09.07.2026","52,18","50,25","52,59","49,82","32,82K","14,08%"
"08.07.2026","45,74","47,71","48,50","44,70","19,02K","-3,88%"
"07.07.2026","47,58","51,50","51,50","46,87","27,24K","-11,04%"
"06.07.2026","53,49","53,30","54,24","52,68","7,18K","2,65%"
"03.07.2026","52,11","52,20","53,58","52,11","1,90K","1,70%"
"02.07.2026","51,24","54,91","57,16","50,70","13,57K","-10,90%"
"01.07.2026","57,51","58,11","58,11","54,77","9,25K","-1,05%"
"30.06.2026","58,12","54,54","58,31","54,54","10,96K","11,28%"
"29.06.2026","52,23","50,87","52,75","50,87","5,12K","2,31%"
"26.06.2026","51,05","50,54","50,97","48,13","15,74K","-0,60%"
"25.06.2026","51,36","55,95","56,65","49,37","7,08K","-3,80%"
"24.06.2026","53,39","53,38","54,00","51,94","4,91K","1,64%"
"23.06.2026","52,53","54,62","55,50","51,86","16,60K","-13,90%"
"22.06.2026","61,01","62,58","64,43","60,50","5,45K","-1,36%"
"19.06.2026","61,85","60,53","61,80","60,38","1,10K","1,43%"
"18.06.2026","60,98","59,43","61,61","59,03","3,68K","3,27%"
"17.06.2026","59,05","60,41","60,41","58,16","7,13K","-1,75%"
"16.06.2026","60,10","63,08","64,52","59,99","4,43K","-5,13%"
"15.06.2026","63,35","60,50","63,01","60,32","9,38K","14,43%"
"12.06.2026","55,36","52,03","56,00","51,10","7,46K","15,15%"
"11.06.2026","48,08","48,72","50,17","47,13","11,92K","-0,21%"
"10.06.2026","48,17","49,83","51,98","46,83","17,86K","-0,96%"
"09.06.2026","48,64","56,30","56,97","48,64","14,05K","-13,05%"
"08.06.2026","55,94","51,66","56,83","51,66","15,95K","-4,02%"
"05.06.2026","58,28","61,81","63,20","57,80","21,43K","-11,24%"
"04.06.2026","65,66","66,01","66,01","62,11","43,67K","-3,47%"
"03.06.2026","68,02","68,42","69,55","68,33","7,82K","0,25%"
"02.06.2026","67,85","66,36","67,86","65,57","44,47K","1,82%"
"01.06.2026","66,64","66,85","67,00","64,39","16,34K","2,62%"
"29.05.2026","64,94","64,38","66,70","63,93","22,06K","2,22%"
"28.05.2026","63,53","60,13","63,53","60,00","3,65K","4,92%"
"27.05.2026","60,55","62,00","63,88","60,00","29,48K","-0,84%"
"26.05.2026","61,06","59,78","61,98","58,50","7,22K","1,11%"
"25.05.2026","60,39","60,70","60,85","60,15","14,59K","3,51%"
"22.05.2026","58,34","56,07","58,42","55,86","18,80K","8,18%"
"21.05.2026","53,93","54,24","55,29","53,10","4,38K","-0,85%"
"20.05.2026","54,39","52,21","54,90","52,21","4,81K","8,56%"
"19.05.2026","50,10","52,35","52,36","49,46","6,77K","-2,64%"
"18.05.2026","51,46","52,87","55,55","51,88","5,23K","-6,54%"
