year,hour,avg_spread
2017,0,43
2017,1,43
2017,2,30
2017,3,28
2017,4,20
2017,5,26
2017,6,38
2017,7,67
2017,8,79
2017,9,57
2017,10,49
2017,11,48
2017,12,61
2017,13,78
2017,14,85
2017,15,73
2017,16,88
2017,17,45
2017,18,48
2017,19,76
2017,20,30
2017,21,25
2017,22,42
2017,23,47
2018,0,48
2018,1,46
2018,2,46
2018,3,35
2018,4,34
2018,5,47
2018,6,66
2018,7,80
2018,8,84
2018,9,67
2018,10,65
2018,11,75
2018,12,91
2018,13,106
2018,14,91
2018,15,90
2018,16,66
2018,17,63
2018,18,80
2018,19,97
2018,20,58
2018,21,40
2018,22,34
2018,23,39
2019,0,32
2019,1,28
2019,2,24
2019,3,20
2019,4,20
2019,5,23
2019,6,36
2019,7,51
2019,8,60
2019,9,45
2019,10,39
2019,11,49
2019,12,66
2019,13,66
2019,14,75
2019,15,64
2019,16,52
2019,17,42
2019,18,77
2019,19,52
2019,20,27
2019,21,26
2019,22,35
2019,23,25
2020,0,74
2020,1,69
2020,2,61
2020,3,48
2020,4,47
2020,5,52
2020,6,72
2020,7,98
2020,8,92
2020,9,81
2020,10,74
2020,11,71
2020,12,109
2020,13,98
2020,14,109
2020,15,105
2020,16,81
2020,17,72
2020,18,71
2020,19,62
2020,20,51
2020,21,38
2020,22,54
2020,23,61
2021,0,180
2021,1,157
2021,2,159
2021,3,162
2021,4,151
2021,5,144
2021,6,107
2021,7,153
2021,8,209
2021,9,204
2021,10,186
2021,11,156
2021,12,167
2021,13,183
2021,14,188
2021,15,223
2021,16,205
2021,17,187
2021,18,189
2021,19,159
2021,20,199
2021,21,274
2021,22,92
2021,23,223
2022,0,62
2022,1,60
2022,2,47
2022,3,46
2022,4,43
2022,5,51
2022,6,77
2022,7,105
2022,8,93
2022,9,84
2022,10,82
2022,11,81
2022,12,114
2022,13,128
2022,14,120
2022,15,105
2022,16,79
2022,17,72
2022,18,106
2022,19,77
2022,20,42
2022,21,31
2022,22,48
2022,23,46
2023,0,39
2023,1,39
2023,2,40
2023,3,26
2023,4,26
2023,5,34
2023,6,49
2023,7,71
2023,8,70
2023,9,66
2023,10,52
2023,11,54
2023,12,102
2023,13,100
2023,14,99
2023,15,94
2023,16,61
2023,17,56
2023,18,77
2023,19,66
2023,20,34
2023,21,26
2023,22,31
2023,23,32
2024,0,109
2024,1,92
2024,2,93
2024,3,83
2024,4,87
2024,5,93
2024,6,131
2024,7,137
2024,8,125
2024,9,125
2024,10,110
2024,11,114
2024,12,153
2024,13,141
2024,14,140
2024,15,123
2024,16,104
2024,17,95
2024,18,117
2024,19,114
2024,20,77
2024,21,56
2024,22,103
2024,23,93
2025,0,76
2025,1,54
2025,2,44
2025,3,42
2025,4,42
2025,5,50
2025,6,68
2025,7,93
2025,8,72
2025,9,60
2025,10,66
2025,11,68
2025,12,97
2025,13,92
2025,14,96
2025,15,94
2025,16,65
2025,17,63
2025,18,79
2025,19,57
2025,20,46
2025,21,51
2025,22,66
2025,23,60
2026,0,59
2026,1,54
2026,2,41
2026,3,30
2026,4,30
2026,5,49
2026,6,51
2026,7,62
2026,8,63
2026,9,69
2026,10,49
2026,11,86
2026,12,79
2026,13,84
2026,14,67
2026,15,88
2026,16,65
2026,17,54
2026,18,68
2026,19,65
2026,20,70
2026,21,38
2026,22,82
2026,23,56
