datetime,value,quantity
2026-09-04T15:36:04.930+00:00,360.3,0.0
2026-09-04T15:29:56.760+00:00,360.84,15.0
2026-09-04T15:29:00.000+00:00,360.36,12.0
2026-09-04T15:26:43.060+00:00,360.4,3.0
2026-09-04T15:20:48.520+00:00,359.84,15.0
2026-09-04T15:16:26.190+00:00,361.78,13.0
2026-09-04T15:08:59.800+00:00,361.14,20.0
2026-09-04T15:07:21.360+00:00,360.76,6.0
2026-09-04T15:04:31.580+00:00,360.52,20.0
2026-09-04T15:04:31.580+00:00,360.52,69.0
2026-09-04T14:58:31.000+00:00,361.2,29.0
2026-09-04T14:58:30.990+00:00,361.2,206.0
2026-09-04T14:58:30.240+00:00,361.2,196.0
2026-09-04T14:58:29.770+00:00,361.2,217.0
2026-09-04T14:45:02.280+00:00,361.64,95.0
2026-09-04T14:44:47.330+00:00,361.32,15.0
2026-09-04T14:42:38.740+00:00,361.9,35.0
2026-09-04T14:42:38.740+00:00,361.88,133.0
2026-09-04T14:31:48.360+00:00,362.16,35.0
2026-09-04T14:13:31.880+00:00,364.72,173.0
2026-09-04T14:08:28.860+00:00,365.66,15.0
2026-09-04T14:08:28.860+00:00,365.68,5.0
2026-09-04T14:06:15.440+00:00,366.34,16.0
2026-09-04T14:00:25.280+00:00,366.98,80.0
2026-09-04T13:57:03.750+00:00,366.88,15.0
2026-09-04T13:55:49.750+00:00,366.34,15.0
2026-09-04T13:50:34.230+00:00,365.0,72.0
2026-09-04T13:41:30.040+00:00,364.88,12.0
2026-09-04T13:39:29.740+00:00,364.88,3.0
2026-09-04T13:39:29.740+00:00,364.88,15.0
2026-09-04T13:36:23.180+00:00,364.86,23.0
2026-09-04T13:36:06.190+00:00,365.5,77.0
2026-09-04T13:34:57.700+00:00,364.84,84.0
2026-09-04T13:33:29.410+00:00,364.54,23.0
2026-09-04T13:33:29.410+00:00,364.52,117.0
2026-09-04T13:33:12.460+00:00,365.2,197.0
2026-09-04T13:31:30.150+00:00,362.8,12.0
2026-09-04T13:31:27.380+00:00,362.5,6.0
2026-09-04T13:31:27.380+00:00,362.5,8.0
2026-09-04T13:31:27.180+00:00,362.48,10.0
2026-09-04T13:31:27.180+00:00,362.48,22.0
2026-09-04T13:31:27.180+00:00,362.48,4.0
2026-09-04T13:30:45.640+00:00,363.02,81.0
2026-09-04T13:23:34.770+00:00,363.36,53.0
2026-09-04T13:21:59.590+00:00,363.22,1.0
2026-09-04T13:17:39.710+00:00,363.0,18.0
2026-09-04T13:03:08.970+00:00,362.24,39.0
2026-09-04T13:02:13.660+00:00,361.92,56.0
2026-09-04T12:56:10.610+00:00,361.84,60.0
2026-09-04T12:54:21.560+00:00,362.48,12.0
2026-09-04T12:52:04.480+00:00,362.2,14.0
2026-09-04T12:51:50.970+00:00,362.38,198.0
2026-09-04T12:47:24.070+00:00,361.22,13.0
2026-09-04T12:46:29.870+00:00,361.94,17.0
2026-09-04T12:44:06.480+00:00,363.4,28.0
2026-09-04T12:40:42.160+00:00,363.5,12.0
2026-09-04T12:40:42.160+00:00,363.54,148.0
2026-09-04T12:39:21.420+00:00,363.1,19.0
2026-09-04T12:39:03.590+00:00,362.46,100.0
2026-09-04T12:38:50.410+00:00,362.98,40.0
2026-09-04T12:38:50.410+00:00,362.98,20.0
2026-09-04T12:38:50.400+00:00,362.98,53.0
2026-09-04T12:33:13.880+00:00,363.3,100.0
2026-09-04T12:32:57.350+00:00,363.02,100.0
2026-09-04T12:31:24.820+00:00,364.36,4.0
2026-09-04T12:31:24.730+00:00,364.36,8.0
