entryDate;exitDate;entryPrice;exitPrice;quantity;profit%;closeReason;buyType
2019-10-28;2019-11-01;121.80;121.27;82;-0,44;WEEKLY_CLOSE;LUNES
2019-11-04;2019-11-08;122.50;124.40;81;1,55;WEEKLY_CLOSE;LUNES
2019-11-11;2019-11-15;124.30;125.49;81;0,96;WEEKLY_CLOSE;LUNES
2019-11-18;2019-11-21;124.93;124.55;81;-0,30;SLL THURSDAY;LUNES
2019-11-25;2019-11-29;125.82;127.54;80;1,37;WEEKLY_CLOSE;LUNES
2019-12-02;2019-12-06;128.00;126.73;80;-0,99;WEEKLY_CLOSE;LUNES
2019-12-09;2019-12-13;126.58;126.88;80;0,24;WEEKLY_CLOSE;LUNES
2019-12-16;2019-12-20;128.54;130.72;79;1,70;WEEKLY_CLOSE;LUNES
2019-12-23;2019-12-27;131.05;131.33;78;0,21;WEEKLY_CLOSE;LUNES
2019-12-30;2020-01-03;130.90;131.54;78;0,49;WEEKLY_CLOSE;LUNES
2020-01-06;2020-01-10;130.14;135.28;79;3,95;WEEKLY_CLOSE;LUNES
2020-01-13;2020-01-17;135.03;137.32;79;1,70;WEEKLY_CLOSE;LUNES
2020-01-20;2020-01-24;137.96;139.50;79;1,12;WEEKLY_CLOSE;LUNES
2020-01-27;2020-01-31;136.54;135.88;80;-0,48;WEEKLY_CLOSE;LUNES
2020-02-03;2020-02-07;137.74;144.02;79;4,56;WEEKLY_CLOSE;LUNES
2020-02-10;2020-02-14;143.54;148.25;79;3,28;WEEKLY_CLOSE;LUNES
2020-02-17;2020-02-21;148.76;146.36;79;-1,61;WEEKLY_CLOSE;LUNES
2020-02-24;2020-02-28;140.90;126.51;82;-10,21;WEEKLY_CLOSE;LUNES
2020-03-02;2020-03-06;130.60;124.86;79;-4,40;WEEKLY_CLOSE;LUNES
2020-03-09;2020-03-10;119.23;118.87;83;-0,30;SLL TUESDAY;LUNES
2020-03-16;2020-03-19;106.79;114.25;93;6,99;OTP THURSDAY;LUNES
2020-03-23;2020-03-25;109.59;119.90;96;9,41;OTP WEDNESDAY;LUNES
2020-03-30;2020-04-03;118.75;116.84;97;-1,61;WEEKLY_CLOSE;LUNES
2020-04-06;2020-04-09;121.39;125.71;93;3,56;WEEKLY_CLOSE;LUNES
2020-04-20;2020-04-24;135.00;133.98;87;-0,76;WEEKLY_CLOSE;LUNES
2020-04-27;2020-04-30;136.50;137.31;85;0,59;WEEKLY_CLOSE;LUNES
2020-05-04;2020-05-07;132.86;141.02;88;6,14;OTP THURSDAY;LUNES
2020-05-11;2020-05-12;143.22;142.79;86;-0,30;SLL TUESDAY;LUNES
2020-05-18;2020-05-19;143.58;143.14;86;-0,31;SLL TUESDAY;LUNES
2020-05-25;2020-05-26;146.12;145.68;84;-0,30;SLL TUESDAY;LUNES
2020-06-01;2020-06-05;143.28;142.85;85;-0,30;SLL FRIDAY;LUNES
2020-06-08;2020-06-12;145.26;143.35;84;-1,31;WEEKLY_CLOSE;LUNES
2020-06-15;2020-06-17;140.64;149.22;85;6,10;OTP WEDNESDAY;LUNES
2020-06-22;2020-06-26;149.68;149.23;85;-0,30;SLL FRIDAY;LUNES
2020-06-29;2020-07-03;146.99;154.82;86;5,33;OTP FRIDAY;LUNES
2020-07-06;2020-07-10;155.70;158.94;86;2,08;WEEKLY_CLOSE;LUNES
2020-07-13;2020-07-17;161.42;155.61;84;-3,60;WEEKLY_CLOSE;LUNES
2020-07-20;2020-07-24;154.64;151.48;85;-2,04;WEEKLY_CLOSE;LUNES
2020-07-27;2020-07-30;150.70;150.24;85;-0,31;SLL THURSDAY;LUNES
2020-08-03;2020-08-07;155.68;159.24;82;2,29;WEEKLY_CLOSE;LUNES
2020-08-10;2020-08-11;158.38;157.90;82;-0,30;SLL TUESDAY;LUNES
2020-08-17;2020-08-21;158.16;164.07;82;3,74;WEEKLY_CLOSE;LUNES
2020-08-24;2020-08-25;165.28;164.78;81;-0,30;SLL TUESDAY;LUNES
2020-08-31;2020-09-03;169.72;169.21;79;-0,30;SLL THURSDAY;LUNES
2020-09-07;2020-09-08;162.00;161.51;82;-0,30;SLL TUESDAY;LUNES
2020-09-14;2020-09-18;159.06;154.90;84;-2,62;WEEKLY_CLOSE;LUNES
2020-09-21;2020-09-25;153.65;159.13;84;3,57;WEEKLY_CLOSE;LUNES
2020-09-28;2020-10-02;162.83;162.34;82;-0,30;SLL FRIDAY;LUNES
2020-10-05;2020-10-09;161.57;165.53;82;2,45;WEEKLY_CLOSE;LUNES
2020-10-12;2020-10-16;167.35;170.42;81;1,83;WEEKLY_CLOSE;LUNES
2020-10-19;2020-10-23;170.78;164.26;81;-3,82;WEEKLY_CLOSE;LUNES
2020-10-26;2020-10-28;164.03;163.53;81;-0,30;SLL WEDNESDAY;LUNES
2020-11-02;2020-11-03;160.64;160.15;83;-0,31;SLL TUESDAY;LUNES
2020-11-16;2020-11-20;169.72;169.21;78;-0,30;SLL FRIDAY;LUNES
2020-11-23;2020-11-27;168.76;172.34;78;2,12;WEEKLY_CLOSE;LUNES
2020-11-30;2020-12-04;171.26;172.86;78;0,93;WEEKLY_CLOSE;LUNES
2020-12-07;2020-12-11;172.94;170.11;78;-1,64;WEEKLY_CLOSE;LUNES
2020-12-14;2020-12-18;171.30;174.01;78;1,58;WEEKLY_CLOSE;LUNES
2020-12-21;2020-12-23;174.74;174.32;77;-0,24;WEEKLY_CLOSE;LUNES
2020-12-28;2020-12-30;175.52;175.57;77;0,03;WEEKLY_CLOSE;LUNES
2021-01-04;2021-01-08;176.92;178.51;76;0,90;WEEKLY_CLOSE;LUNES
2021-01-11;2021-01-15;179.94;178.34;75;-0,89;WEEKLY_CLOSE;LUNES
2021-01-18;2021-01-22;177.92;183.95;75;3,39;WEEKLY_CLOSE;LUNES
2021-01-25;2021-01-27;185.78;185.22;75;-0,30;SLL WEDNESDAY;LUNES
