entryDate;exitDate;entryPrice;exitPrice;quantity;profit%;closeReason;buyType
2006-07-03;2006-07-07;0.08;0.08;124937;0,00;WEEKLY_CLOSE;LUNES
2006-07-10;2006-07-11;0.08;0.07;124812;-12,50;SLL TUESDAY;LUNES
2006-07-17;2006-07-21;0.07;0.07;124688;0,00;WEEKLY_CLOSE;LUNES
2006-07-24;2006-07-28;0.07;0.07;124563;0,00;WEEKLY_CLOSE;LUNES
2006-07-31;2006-08-04;0.07;0.07;124438;0,00;WEEKLY_CLOSE;LUNES
2006-08-07;2006-08-11;0.07;0.07;124314;0,00;WEEKLY_CLOSE;LUNES
2006-08-14;2006-08-17;0.07;0.08;124190;14,29;OTP THURSDAY;LUNES
2006-08-21;2006-08-25;0.08;0.08;124066;0,00;WEEKLY_CLOSE;LUNES
2006-08-28;2006-09-01;0.08;0.08;123942;0,00;WEEKLY_CLOSE;LUNES
2006-09-04;2006-09-08;0.08;0.08;123818;0,00;WEEKLY_CLOSE;LUNES
2006-09-11;2006-09-15;0.08;0.09;123694;12,50;WEEKLY_CLOSE;LUNES
2006-09-18;2006-09-22;0.09;0.08;123570;-11,11;SLL FRIDAY;LUNES
2006-09-25;2006-09-26;0.08;0.09;123447;12,50;OTP TUESDAY;LUNES
2006-10-02;2006-10-06;0.09;0.09;123323;0,00;WEEKLY_CLOSE;LUNES
2006-10-09;2006-10-13;0.09;0.10;123200;11,11;WEEKLY_CLOSE;LUNES
2006-10-16;2006-10-17;0.10;0.09;123077;-10,00;SLL TUESDAY;LUNES
2006-10-23;2006-10-24;0.09;0.10;122954;11,11;OTP TUESDAY;LUNES
2006-10-30;2006-11-03;0.09;0.09;136479;0,00;WEEKLY_CLOSE;LUNES
2006-11-06;2006-11-08;0.09;0.10;136343;11,11;OTP WEDNESDAY;LUNES
2006-11-13;2006-11-17;0.10;0.10;136206;0,00;WEEKLY_CLOSE;LUNES
2006-11-20;2006-11-24;0.10;0.10;136070;0,00;WEEKLY_CLOSE;LUNES
2006-11-27;2006-11-28;0.10;0.09;135934;-10,00;SLL TUESDAY;LUNES
2006-12-04;2006-12-05;0.09;0.10;135798;11,11;OTP TUESDAY;LUNES
2006-12-11;2006-12-14;0.10;0.09;135663;-10,00;SLL THURSDAY;LUNES
2006-12-18;2006-12-19;0.10;0.09;121974;-10,00;SLL TUESDAY;LUNES
2007-01-08;2007-01-12;0.10;0.10;109667;0,00;WEEKLY_CLOSE;LUNES
2007-01-15;2007-01-19;0.10;0.10;109557;0,00;WEEKLY_CLOSE;LUNES
2007-01-22;2007-01-26;0.10;0.09;109448;-10,00;SLL FRIDAY;LUNES
2007-01-29;2007-01-31;0.10;0.09;98405;-10,00;SLL WEDNESDAY;LUNES
2007-02-05;2007-02-09;0.10;0.10;88476;0,00;WEEKLY_CLOSE;LUNES
2007-02-12;2007-02-16;0.10;0.10;88387;0,00;WEEKLY_CLOSE;LUNES
2007-02-19;2007-02-23;0.10;0.10;88299;0,00;WEEKLY_CLOSE;LUNES
