entryDate;exitDate;entryPrice;exitPrice;quantity;profit%;closeReason;buyType
1985-09-30;1985-10-04;110.62;110.08;90;-0,49;WEEKLY_CLOSE;LUNES
1985-10-07;1985-10-09;108.20;107.76;91;-0,41;SLL WEDNESDAY;LUNES
1985-10-14;1985-10-18;113.19;114.32;87;1,00;WEEKLY_CLOSE;LUNES
1985-10-21;1985-10-25;113.68;113.91;87;0,20;WEEKLY_CLOSE;LUNES
1985-10-28;1985-11-01;113.82;116.66;87;2,50;TPH FRIDAY;LUNES
1985-11-04;1985-11-08;116.04;119.26;88;2,77;WEEKLY_CLOSE;LUNES
1985-11-11;1985-11-15;120.40;122.17;87;1,47;WEEKLY_CLOSE;LUNES
1985-11-18;1985-11-22;121.95;123.97;87;1,66;WEEKLY_CLOSE;LUNES
1985-11-25;1985-11-27;123.14;125.77;87;2,14;WEEKLY_CLOSE;LUNES
1985-12-02;1985-12-06;125.19;128.31;88;2,49;TPH FRIDAY;LUNES
1985-12-09;1985-12-13;127.48;132.12;88;3,64;OTP FRIDAY;LUNES
1985-12-16;1985-12-20;132.61;132.07;88;-0,41;SLL FRIDAY;LUNES
1985-12-23;1985-12-24;130.72;130.03;88;-0,53;WEEKLY_CLOSE;LUNES
1985-12-30;1985-12-31;131.94;132.29;87;0,27;WEEKLY_CLOSE;LUNES
1986-01-06;1986-01-08;130.35;133.60;88;2,49;TPH WEDNESDAY;LUNES
1986-01-13;1986-01-16;129.09;133.06;91;3,08;OTP THURSDAY;LUNES
1986-01-20;1986-01-21;131.60;131.07;92;-0,40;SLL TUESDAY;LUNES
1986-01-27;1986-01-29;130.79;134.05;92;2,49;TPH WEDNESDAY;LUNES
1986-02-03;1986-02-07;134.24;137.42;92;2,37;WEEKLY_CLOSE;LUNES
1986-02-10;1986-02-14;138.12;140.16;91;1,48;WEEKLY_CLOSE;LUNES
1986-02-24;1986-02-27;140.20;139.63;91;-0,41;SLL THURSDAY;LUNES
1986-03-03;1986-03-07;139.74;140.71;91;0,69;WEEKLY_CLOSE;LUNES
1986-03-10;1986-03-13;142.44;147.01;90;3,21;OTP THURSDAY;LUNES
1986-03-17;1986-03-21;146.37;148.00;90;1,11;WEEKLY_CLOSE;LUNES
1986-03-24;1986-03-27;147.09;148.38;91;0,88;WEEKLY_CLOSE;LUNES
1986-03-31;1986-04-01;148.86;148.26;90;-0,40;SLL TUESDAY;LUNES
1986-04-07;1986-04-09;146.06;149.71;92;2,50;TPH WEDNESDAY;LUNES
1986-04-14;1986-04-16;153.93;158.90;89;3,23;OTP WEDNESDAY;LUNES
1986-04-21;1986-04-24;158.53;157.89;89;-0,40;SLL THURSDAY;LUNES
1986-04-28;1986-05-02;159.90;155.01;88;-3,06;WEEKLY_CLOSE;LUNES
1986-05-05;1986-05-08;157.14;156.51;87;-0,40;SLL THURSDAY;LUNES
1986-05-12;1986-05-16;157.75;155.00;86;-1,74;WEEKLY_CLOSE;LUNES
1986-05-19;1986-05-23;155.31;160.16;86;3,12;OTP FRIDAY;LUNES
1986-06-02;1986-06-03;162.03;161.38;84;-0,40;SLL TUESDAY;LUNES
1986-06-09;1986-06-10;158.61;157.97;86;-0,40;SLL TUESDAY;LUNES
1986-06-16;1986-06-20;160.80;159.59;84;-0,75;WEEKLY_CLOSE;LUNES
1986-06-23;1986-06-27;159.56;161.62;84;1,29;WEEKLY_CLOSE;LUNES
1986-06-30;1986-07-03;162.62;163.96;84;0,82;WEEKLY_CLOSE;LUNES
1986-07-07;1986-07-11;157.62;152.85;87;-3,03;WEEKLY_CLOSE;LUNES
1986-07-14;1986-07-18;149.28;147.76;89;-1,02;WEEKLY_CLOSE;LUNES
1986-07-21;1986-07-25;147.07;148.26;89;0,81;WEEKLY_CLOSE;LUNES
1986-07-28;1986-08-01;145.50;144.19;91;-0,90;WEEKLY_CLOSE;LUNES
1986-08-04;1986-08-08;142.53;141.95;92;-0,41;SLL FRIDAY;LUNES
1986-08-11;1986-08-13;145.44;149.07;90;2,50;TPH WEDNESDAY;LUNES
1986-08-18;1986-08-19;149.07;148.47;89;-0,40;SLL TUESDAY;LUNES
1986-08-25;1986-08-29;149.91;151.70;88;1,19;WEEKLY_CLOSE;LUNES
1986-09-08;1986-09-12;146.55;135.03;92;-7,86;WEEKLY_CLOSE;LUNES
1986-09-15;1986-09-16;134.94;134.40;91;-0,40;SLL TUESDAY;LUNES
1986-09-22;1986-09-23;140.12;139.55;88;-0,41;SLL TUESDAY;LUNES
1986-09-29;1986-10-01;135.53;138.91;90;2,49;TPH WEDNESDAY;LUNES
1986-10-06;1986-10-08;139.12;138.56;90;-0,40;SLL WEDNESDAY;LUNES
1986-10-13;1986-10-17;140.68;141.19;88;0,36;WEEKLY_CLOSE;LUNES
1986-10-20;1986-10-21;140.10;139.53;89;-0,41;SLL TUESDAY;LUNES
1986-10-27;1986-10-31;141.76;144.48;88;1,92;WEEKLY_CLOSE;LUNES
1986-11-03;1986-11-07;144.81;144.91;87;0,07;WEEKLY_CLOSE;LUNES
1986-11-10;1986-11-14;144.29;143.50;88;-0,55;WEEKLY_CLOSE;LUNES
