entryDate;exitDate;entryPrice;exitPrice;quantity;profit%;closeReason;buyType
2014-03-03;2014-03-05;5.98;6.32;1671;5,69;OTP WEDNESDAY;LUNES
2014-03-10;2014-03-14;6.13;5.86;1721;-4,40;WEEKLY_CLOSE;LUNES
2014-03-17;2014-03-21;5.87;6.06;1716;3,24;WEEKLY_CLOSE;LUNES
2014-03-24;2014-03-28;5.92;5.65;1755;-4,56;WEEKLY_CLOSE;LUNES
2014-03-31;2014-04-02;5.60;5.96;1769;6,43;OTP WEDNESDAY;LUNES
2014-04-07;2014-04-10;5.33;5.61;1976;5,25;OTP THURSDAY;LUNES
2014-04-14;2014-04-17;5.01;5.29;2211;5,59;WEEKLY_CLOSE;LUNES
2014-04-28;2014-04-30;5.32;5.41;2196;1,69;WEEKLY_CLOSE;LUNES
2014-05-05;2014-05-09;5.50;5.27;2158;-4,18;WEEKLY_CLOSE;LUNES
2014-05-12;2014-05-15;5.57;5.55;2040;-0,36;SLL THURSDAY;LUNES
2014-05-19;2014-05-23;5.54;5.93;2041;7,04;OTP FRIDAY;LUNES
2014-05-26;2014-05-30;6.07;6.32;1992;4,12;WEEKLY_CLOSE;LUNES
2014-06-02;2014-06-06;6.23;6.60;2019;5,94;WEEKLY_CLOSE;LUNES
2014-06-09;2014-06-11;6.59;6.56;2020;-0,46;SLL WEDNESDAY;LUNES
2014-06-16;2014-06-20;6.51;6.67;2033;2,46;WEEKLY_CLOSE;LUNES
2014-06-23;2014-06-27;6.69;6.80;2025;1,64;WEEKLY_CLOSE;LUNES
2014-06-30;2014-07-04;6.88;7.29;2000;5,96;OTP FRIDAY;LUNES
2014-07-07;2014-07-11;7.27;7.13;2003;-1,93;WEEKLY_CLOSE;LUNES
2014-07-14;2014-07-18;7.37;7.31;1936;-0,81;WEEKLY_CLOSE;LUNES
2014-07-21;2014-07-24;7.31;7.73;1934;5,75;OTP THURSDAY;LUNES
2014-07-28;2014-07-31;7.57;7.54;1973;-0,40;SLL THURSDAY;LUNES
2014-08-04;2014-08-05;7.23;7.20;2056;-0,41;SLL TUESDAY;LUNES
2014-08-11;2014-08-14;7.27;7.64;2034;5,09;WEEKLY_CLOSE;LUNES
2014-08-18;2014-08-22;7.87;8.26;1972;4,96;OTP FRIDAY;LUNES
