entryDate;exitDate;entryPrice;exitPrice;quantity;profit%;closeReason;buyType
2010-01-04;2010-01-05;46.10;45.96;216;-0,30;SLL TUESDAY;LUNES
2010-01-11;2010-01-15;46.38;45.64;214;-1,60;WEEKLY_CLOSE;LUNES
2010-01-25;2010-01-26;44.18;44.04;221;-0,32;SLL TUESDAY;LUNES
2010-02-01;2010-02-04;42.71;42.58;228;-0,30;SLL THURSDAY;LUNES
2010-02-08;2010-02-09;42.72;42.59;227;-0,30;SLL TUESDAY;LUNES
2010-02-22;2010-02-26;44.80;44.55;215;-0,56;WEEKLY_CLOSE;LUNES
2010-03-01;2010-03-05;44.74;46.22;214;3,31;WEEKLY_CLOSE;LUNES
2010-03-08;2010-03-12;46.24;47.14;214;1,95;WEEKLY_CLOSE;LUNES
2010-03-15;2010-03-19;47.04;47.27;214;0,49;WEEKLY_CLOSE;LUNES
2010-03-22;2010-03-26;47.09;47.78;215;1,47;WEEKLY_CLOSE;LUNES
2010-03-29;2010-03-30;48.01;47.86;213;-0,31;SLL TUESDAY;LUNES
2010-04-05;2010-04-09;48.04;48.80;212;1,58;WEEKLY_CLOSE;LUNES
2010-04-12;2010-04-13;48.82;48.67;212;-0,31;SLL TUESDAY;LUNES
2010-04-19;2010-04-23;49.13;50.28;210;2,34;WEEKLY_CLOSE;LUNES
2010-04-26;2010-04-30;50.29;49.01;210;-2,55;WEEKLY_CLOSE;LUNES
2010-05-03;2010-05-04;49.20;49.05;209;-0,30;SLL TUESDAY;LUNES
2010-05-10;2010-05-11;47.20;47.05;217;-0,32;SLL TUESDAY;LUNES
2010-05-17;2010-05-18;46.82;46.67;217;-0,32;SLL TUESDAY;LUNES
2010-05-24;2010-05-26;44.60;44.46;227;-0,31;SLL WEDNESDAY;LUNES
2010-06-07;2010-06-11;45.13;45.29;224;0,35;WEEKLY_CLOSE;LUNES
2010-06-14;2010-06-18;45.70;46.78;222;2,36;WEEKLY_CLOSE;LUNES
2010-06-21;2010-06-25;47.38;45.06;218;-4,90;WEEKLY_CLOSE;LUNES
2010-06-28;2010-07-02;45.08;42.27;218;-6,23;WEEKLY_CLOSE;LUNES
2010-07-12;2010-07-16;44.37;44.23;208;-0,32;SLL FRIDAY;LUNES
2010-07-19;2010-07-23;44.27;45.85;207;3,57;WEEKLY_CLOSE;LUNES
2010-07-26;2010-07-28;45.91;45.77;207;-0,30;SLL WEDNESDAY;LUNES
2010-08-02;2010-08-06;46.16;46.02;205;-0,30;SLL FRIDAY;LUNES
2010-08-09;2010-08-13;46.79;44.51;201;-4,87;WEEKLY_CLOSE;LUNES
2010-08-16;2010-08-20;44.27;44.71;202;0,99;WEEKLY_CLOSE;LUNES
2010-08-23;2010-08-27;45.04;43.86;201;-2,62;WEEKLY_CLOSE;LUNES
2010-08-30;2010-09-03;43.67;45.80;201;4,88;WEEKLY_CLOSE;LUNES
2010-09-13;2010-09-17;46.73;47.77;197;2,23;WEEKLY_CLOSE;LUNES
2010-09-20;2010-09-24;47.96;49.43;196;3,07;WEEKLY_CLOSE;LUNES
2010-09-27;2010-09-28;49.42;49.27;196;-0,30;SLL TUESDAY;LUNES
2010-10-04;2010-10-08;48.63;49.52;198;1,83;WEEKLY_CLOSE;LUNES
2010-10-11;2010-10-12;49.55;49.40;198;-0,30;SLL TUESDAY;LUNES
2010-10-18;2010-10-21;51.28;51.12;190;-0,31;SLL THURSDAY;LUNES
2010-10-25;2010-10-27;51.61;51.45;188;-0,31;SLL WEDNESDAY;LUNES
2010-11-01;2010-11-05;52.14;53.42;186;2,45;WEEKLY_CLOSE;LUNES
2010-11-08;2010-11-09;53.32;53.16;186;-0,30;SLL TUESDAY;LUNES
2010-11-15;2010-11-19;52.53;52.23;188;-0,57;WEEKLY_CLOSE;LUNES
2010-11-22;2010-11-23;52.01;51.85;189;-0,31;SLL TUESDAY;LUNES
2010-11-29;2010-12-03;52.45;53.62;186;2,23;WEEKLY_CLOSE;LUNES
2010-12-06;2010-12-08;53.61;53.44;186;-0,32;SLL WEDNESDAY;LUNES
2010-12-13;2010-12-17;54.46;54.27;182;-0,35;WEEKLY_CLOSE;LUNES
2010-12-20;2010-12-23;54.34;54.49;182;0,28;WEEKLY_CLOSE;LUNES
2010-12-27;2010-12-31;54.37;54.20;182;-0,31;SLL FRIDAY;LUNES
2011-01-03;2011-01-07;54.70;55.61;180;1,66;WEEKLY_CLOSE;LUNES
2011-01-10;2011-01-14;55.46;56.73;181;2,29;WEEKLY_CLOSE;LUNES
2011-01-24;2011-01-28;55.53;55.36;184;-0,31;SLL FRIDAY;LUNES
2011-01-31;2011-02-04;55.55;57.11;183;2,81;WEEKLY_CLOSE;LUNES
2011-02-07;2011-02-11;57.22;58.17;183;1,66;WEEKLY_CLOSE;LUNES
2011-02-14;2011-02-15;58.16;57.98;183;-0,31;SLL TUESDAY;LUNES
2011-02-28;2011-03-01;57.60;57.42;184;-0,31;SLL TUESDAY;LUNES
2011-03-07;2011-03-11;57.94;56.23;182;-2,95;WEEKLY_CLOSE;LUNES
2011-03-14;2011-03-18;55.92;54.20;183;-3,08;WEEKLY_CLOSE;LUNES
2011-03-21;2011-03-23;55.03;54.86;180;-0,31;SLL WEDNESDAY;LUNES
2011-03-28;2011-04-01;56.82;57.19;173;0,65;WEEKLY_CLOSE;LUNES
2011-04-04;2011-04-06;57.35;57.17;173;-0,31;SLL WEDNESDAY;LUNES
