entryDate;exitDate;entryPrice;exitPrice;quantity;profit%;closeReason;buyType
2013-10-21;2013-10-22;1.06;1.05;9429;-0,94;SLL TUESDAY;LUNES
2013-10-28;2013-10-29;1.08;1.07;9158;-0,93;SLL TUESDAY;LUNES
2013-11-04;2013-11-06;1.09;1.08;8981;-0,92;SLL WEDNESDAY;LUNES
2013-11-11;2013-11-15;1.06;1.11;9141;4,72;OTP FRIDAY;LUNES
2013-11-18;2013-11-22;1.12;1.12;9050;0,00;WEEKLY_CLOSE;LUNES
2013-11-25;2013-11-26;1.13;1.12;8961;-0,88;SLL TUESDAY;LUNES
2013-12-02;2013-12-06;1.19;1.18;8426;-0,84;SLL FRIDAY;LUNES
2013-12-09;2013-12-11;1.21;1.20;8208;-0,83;SLL WEDNESDAY;LUNES
2013-12-16;2013-12-17;1.17;1.16;8411;-0,85;SLL TUESDAY;LUNES
2013-12-23;2013-12-24;1.26;1.27;7735;0,79;WEEKLY_CLOSE;LUNES
2013-12-30;2013-12-31;1.27;1.29;7728;1,57;WEEKLY_CLOSE;LUNES
2014-01-06;2014-01-07;1.24;1.23;8031;-0,81;SLL TUESDAY;LUNES
2014-01-13;2014-01-17;1.26;1.28;7832;1,59;WEEKLY_CLOSE;LUNES
2014-01-27;2014-01-31;1.23;1.21;8142;-1,63;WEEKLY_CLOSE;LUNES
2014-02-03;2014-02-07;1.20;1.25;8202;4,17;WEEKLY_CLOSE;LUNES
2014-02-10;2014-02-12;1.25;1.32;8194;5,60;OTP WEDNESDAY;LUNES
2014-02-24;2014-02-26;1.37;1.36;7887;-0,73;SLL WEDNESDAY;LUNES
2014-03-03;2014-03-05;1.36;1.43;7879;5,15;OTP WEDNESDAY;LUNES
2014-03-10;2014-03-11;1.40;1.39;8040;-0,71;SLL TUESDAY;LUNES
2014-03-17;2014-03-19;1.35;1.41;8270;4,44;OTP WEDNESDAY;LUNES
2014-03-24;2014-03-28;1.36;1.26;8565;-7,35;WEEKLY_CLOSE;LUNES
2014-03-31;2014-04-02;1.28;1.37;8423;7,03;OTP WEDNESDAY;LUNES
2014-04-07;2014-04-09;1.20;1.28;9607;6,67;TPH WEDNESDAY;LUNES
2014-04-14;2014-04-15;1.15;1.14;10682;-0,87;SLL TUESDAY;LUNES
2014-04-21;2014-04-24;1.21;1.29;10054;6,61;OTP THURSDAY;LUNES
2014-04-28;2014-04-29;1.22;1.21;10620;-0,82;SLL TUESDAY;LUNES
2014-05-05;2014-05-06;1.24;1.23;10353;-0,81;SLL TUESDAY;LUNES
2014-05-12;2014-05-15;1.25;1.24;10177;-0,80;SLL THURSDAY;LUNES
2014-05-19;2014-05-22;1.25;1.32;10085;5,60;OTP THURSDAY;LUNES
2014-06-02;2014-06-05;1.43;1.42;9300;-0,70;SLL THURSDAY;LUNES
2014-06-09;2014-06-13;1.50;1.47;8795;-2,00;WEEKLY_CLOSE;LUNES
2014-06-16;2014-06-18;1.46;1.45;8847;-0,68;SLL WEDNESDAY;LUNES
2014-06-23;2014-06-24;1.50;1.49;8543;-0,67;SLL TUESDAY;LUNES
