window,isStart,isEnd,oosStart,oosEnd,tp,tph,sl,initialEquity,finalEquity,returnPct,trades,winPercentage
1,2014-02-25,2017-02-24,2017-02-27,2017-03-24,0.039999999999999994,0.07500000000000001,0.015,10000.0,10154.089999999998,0.015408999999999784,4,75.0
2,2014-03-25,2017-03-24,2017-03-27,2017-04-24,0.039999999999999994,0.07500000000000001,0.015,10154.089999999998,10675.700000000003,0.05136944817310107,4,50.0
3,2014-04-25,2017-04-24,2017-04-25,2017-05-24,0.039999999999999994,0.07500000000000001,0.015,10675.700000000003,11108.320000000002,0.0405238064014537,3,66.66666666666667
4,2014-05-26,2017-05-24,2017-05-25,2017-06-23,0.039999999999999994,0.07500000000000001,0.015,11108.320000000002,11301.180000000004,0.01736176127443234,4,50.0
5,2014-06-25,2017-06-23,2017-06-26,2017-07-24,0.039999999999999994,0.07500000000000001,0.015,11301.180000000004,10730.840000000004,-0.0504672963354269,5,60.0
6,2014-07-25,2017-07-24,2017-07-25,2017-08-24,0.039999999999999994,0.07500000000000001,0.015,10730.840000000004,10117.840000000004,-0.05712507128985245,4,25.0
7,2014-08-25,2017-08-24,2017-08-25,2017-09-22,0.039999999999999994,0.07500000000000001,0.015,10117.840000000004,10420.720000000007,0.02993524309536455,5,60.0
8,2014-09-25,2017-09-22,2017-09-25,2017-10-24,0.039999999999999994,0.07500000000000001,0.015,10420.720000000007,10913.760000000004,0.04731342939835215,5,60.0
9,2014-10-27,2017-10-24,2017-10-25,2017-11-24,0.039999999999999994,0.07500000000000001,0.015,10913.760000000004,11701.520000000008,0.07218044010496882,5,60.0
10,2014-11-25,2017-11-24,2017-11-27,2017-12-22,0.039999999999999994,0.07500000000000001,0.015,11701.520000000008,11743.53000000001,0.0035901318803028825,5,40.0
11,2014-12-29,2017-12-22,2017-12-27,2018-01-24,0.039999999999999994,0.07500000000000001,0.015,11743.53000000001,12730.390000000016,0.08403435764203815,4,75.0
12,2015-01-26,2018-01-24,2018-01-25,2018-02-23,0.039999999999999994,0.07500000000000001,0.015,12730.390000000016,12189.320000000014,-0.042502232845969434,5,60.0
13,2015-02-25,2018-02-23,2018-02-26,2018-03-23,0.039999999999999994,0.07500000000000001,0.015,12189.320000000014,10227.870000000019,-0.16091545713788735,5,40.0
14,2015-03-25,2018-03-23,2018-03-26,2018-04-24,0.039999999999999994,0.07500000000000001,0.015,10227.870000000019,12204.07000000002,0.19321716056226723,5,60.0
15,2015-04-27,2018-04-24,2018-04-25,2018-05-24,0.039999999999999994,0.07500000000000001,0.015,12204.07000000002,13106.020000000022,0.07390567245189517,5,60.0
16,2015-05-25,2018-05-24,2018-05-25,2018-06-22,0.039999999999999994,0.07500000000000001,0.015,13106.020000000022,14948.45000000002,0.14057890953927998,5,60.0
17,2015-06-25,2018-06-22,2018-06-25,2018-07-24,0.039999999999999994,0.07500000000000001,0.015,14948.45000000002,15806.270000000024,0.057385213851603556,5,60.0
18,2015-07-27,2018-07-24,2018-07-25,2018-08-24,0.039999999999999994,0.07500000000000001,0.015,15806.270000000024,16643.200000000026,0.052949241029034644,4,75.0
