window,isStart,isEnd,oosStart,oosEnd,tp,tph,sl,initialEquity,finalEquity,returnPct,trades,winPercentage
1,2013-10-18,2015-10-16,2015-10-19,2015-11-17,0.034999999999999996,0.08000000000000002,0.02,10000.0,12319.309999999998,0.23193099999999967,5,80.0
2,2013-11-18,2015-11-17,2015-11-18,2015-12-17,0.034999999999999996,0.08000000000000002,0.02,12319.309999999998,11616.49,-0.057050273107828064,5,40.0
3,2013-12-18,2015-12-17,2015-12-18,2016-01-15,0.034999999999999996,0.08000000000000002,0.02,11616.49,10618.520000000002,-0.08590977136811528,5,40.0
4,2014-01-21,2016-01-15,2016-01-19,2016-02-17,0.034999999999999996,0.08000000000000002,0.02,10618.520000000002,10988.270000000004,0.03482123685786731,3,66.66666666666667
5,2014-02-18,2016-02-17,2016-02-18,2016-03-17,0.034999999999999996,0.08000000000000002,0.02,10988.270000000004,11257.660000000007,0.02451614312353101,5,40.0
6,2014-03-18,2016-03-17,2016-03-18,2016-04-15,0.034999999999999996,0.07,0.02,11257.660000000007,11033.030000000006,-0.019953524977659787,5,20.0
7,2014-04-21,2016-04-15,2016-04-18,2016-05-17,0.04999999999999999,0.07,0.01,11033.030000000006,10395.820000000009,-0.05775476002512425,5,0.0
8,2014-05-19,2016-05-17,2016-05-18,2016-06-17,0.034999999999999996,0.08000000000000002,0.01,10395.820000000009,11028.030000000012,0.06081386557289403,4,50.0
9,2014-06-18,2016-06-17,2016-06-20,2016-07-15,0.034999999999999996,0.08000000000000002,0.01,11028.030000000012,11960.15000000001,0.08452280235001153,5,60.0
10,2014-07-18,2016-07-15,2016-07-18,2016-08-17,0.04999999999999999,0.07,0.01,11960.15000000001,12671.360000000011,0.05946497326538558,5,40.0
11,2014-08-18,2016-08-17,2016-08-18,2016-09-16,0.034999999999999996,0.07,0.015,12671.360000000011,13643.660000000016,0.0767320950553061,4,50.0
12,2014-09-18,2016-09-16,2016-09-19,2016-10-17,0.034999999999999996,0.07,0.015,13643.660000000016,13383.75000000002,-0.01904987371423772,4,25.0
13,2014-10-20,2016-10-17,2016-10-18,2016-11-17,0.034999999999999996,0.07,0.015,13383.75000000002,14501.18000000002,0.08349154758569144,4,50.0
14,2014-11-18,2016-11-17,2016-11-18,2016-12-16,0.034999999999999996,0.07,0.015,14501.18000000002,16315.010000000018,0.1250815450880547,6,66.66666666666667
15,2014-12-18,2016-12-16,2016-12-19,2017-01-17,0.034999999999999996,0.07,0.015,16315.010000000018,16950.19000000002,0.03893224705348031,2,100.0
16,2015-01-20,2017-01-17,2017-01-18,2017-02-17,0.034999999999999996,0.07,0.015,16950.19000000002,19998.960000000032,0.17986642037640932,6,100.0
17,2015-02-18,2017-02-17,2017-02-21,2017-03-17,0.034999999999999996,0.07,0.015,19998.960000000032,21040.500000000036,0.052079708144823655,3,100.0
18,2015-03-18,2017-03-17,2017-03-20,2017-04-17,0.034999999999999996,0.07,0.015,21040.500000000036,21300.29000000004,0.012347140039447924,5,40.0
19,2015-04-20,2017-04-17,2017-04-18,2017-05-17,0.034999999999999996,0.07,0.015,21300.29000000004,23268.060000000038,0.09238231028779387,4,75.0
20,2015-05-18,2017-05-17,2017-05-18,2017-06-16,0.034999999999999996,0.07,0.01,23268.060000000038,25339.940000000042,0.08904395123615805,4,75.0
21,2015-06-18,2017-06-16,2017-06-19,2017-07-17,0.034999999999999996,0.07,0.01,25339.940000000042,25312.580000000045,-0.0010797184208012345,5,60.0
22,2015-07-20,2017-07-17,2017-07-18,2017-08-17,0.034999999999999996,0.07,0.015,25312.580000000045,25006.760000000053,-0.012081739593513996,4,25.0
23,2015-08-18,2017-08-17,2017-08-18,2017-09-15,0.034999999999999996,0.07,0.015,25006.760000000053,27718.470000000052,0.10843907807328867,4,75.0
